"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CABRA"	"CREO"	"BIEN"	"WINAQ"	"FUERZA"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"VIVA"	"UNIDOS"	"UNIONISTA"	"URNG_MAIZ"	"VAMOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18021"	"4"	"17"	"10"	"2"	"309"	"8"	"75"	"6"	"0"	"3"	"4"	"0"	"55"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"3"	"5"	"0"	"163"	"163"	"1"	"0"
"18022"	"4"	"17"	"10"	"2"	"380"	"78"	"39"	"2"	"1"	"9"	"0"	"0"	"56"	"1"	"0"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"19"	"2"	"0"	"215"	"215"	"1"	"0"
"18023"	"4"	"17"	"10"	"2"	"380"	"86"	"41"	"3"	"1"	"12"	"2"	"0"	"51"	"2"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"22"	"9"	"0"	"233"	"233"	"1"	"0"
"18024"	"4"	"17"	"10"	"2"	"380"	"97"	"40"	"2"	"1"	"8"	"0"	"0"	"60"	"3"	"0"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"30"	"8"	"38"	"258"	"258"	"1"	"0"
"18025"	"4"	"17"	"10"	"2"	"380"	"91"	"60"	"3"	"0"	"11"	"2"	"1"	"50"	"2"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"17"	"9"	"0"	"252"	"252"	"1"	"0"
"18026"	"4"	"17"	"10"	"2"	"380"	"74"	"49"	"6"	"3"	"9"	"0"	"0"	"61"	"4"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"22"	"3"	"0"	"236"	"236"	"1"	"0"
"18027"	"4"	"17"	"10"	"2"	"380"	"85"	"52"	"3"	"0"	"8"	"6"	"1"	"61"	"4"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"11"	"4"	"0"	"241"	"241"	"1"	"0"
"18028"	"4"	"17"	"10"	"2"	"380"	"58"	"45"	"1"	"2"	"5"	"3"	"2"	"63"	"3"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"24"	"11"	"0"	"223"	"223"	"1"	"0"
"18029"	"4"	"17"	"10"	"2"	"380"	"70"	"34"	"3"	"1"	"10"	"3"	"2"	"57"	"0"	"1"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"15"	"7"	"0"	"210"	"210"	"1"	"0"
"18030"	"4"	"17"	"10"	"2"	"380"	"77"	"35"	"6"	"2"	"16"	"1"	"0"	"47"	"3"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"20"	"6"	"0"	"217"	"217"	"1"	"0"
