"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"VAMOS"	"TODOS"	"UNE"	"UCN"	"FUERZA"	"FCN_NACION"	"PHG"	"VALOR"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12657"	"4"	"12"	"22"	"2"	"400"	"13"	"13"	"104"	"47"	"27"	"20"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"14"	"5"	"0"	"254"	"254"	"1"	"0"
"12658"	"4"	"12"	"22"	"2"	"401"	"14"	"7"	"76"	"62"	"34"	"16"	"0"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"10"	"1"	"0"	"229"	"229"	"1"	"0"
"12659"	"4"	"12"	"22"	"2"	"400"	"18"	"5"	"84"	"56"	"33"	"19"	"3"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"3"	"0"	"245"	"245"	"1"	"0"
"12660"	"4"	"12"	"22"	"2"	"400"	"7"	"10"	"97"	"51"	"30"	"12"	"6"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"13"	"5"	"0"	"238"	"238"	"1"	"0"
"12661"	"4"	"12"	"22"	"2"	"400"	"10"	"9"	"95"	"49"	"40"	"19"	"3"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"15"	"1"	"0"	"251"	"251"	"1"	"0"
"12662"	"4"	"12"	"22"	"2"	"400"	"8"	"6"	"94"	"47"	"44"	"18"	"8"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"14"	"2"	"0"	"246"	"246"	"1"	"0"
"12663"	"4"	"12"	"22"	"2"	"400"	"5"	"11"	"97"	"65"	"33"	"24"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"7"	"4"	"0"	"257"	"257"	"1"	"0"
"12664"	"4"	"12"	"22"	"2"	"400"	"8"	"11"	"103"	"52"	"41"	"26"	"3"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"6"	"3"	"0"	"265"	"265"	"1"	"0"
"12665"	"4"	"12"	"22"	"2"	"209"	"4"	"15"	"52"	"32"	"19"	"20"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"2"	"0"	"0"	"151"	"151"	"1"	"0"
"12666"	"4"	"12"	"22"	"2"	"209"	"7"	"10"	"40"	"22"	"19"	"11"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"2"	"2"	"0"	"118"	"118"	"1"	"0"
"12667"	"4"	"12"	"22"	"2"	"380"	"6"	"12"	"81"	"27"	"87"	"14"	"3"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"21"	"3"	"0"	"268"	"268"	"1"	"0"
