"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"TODOS"	"UCN"	"UNE"	"CONVERGENCIA"	"VAMOS"	"FUERZA"	"UNIONISTA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13263"	"4"	"13"	"5"	"2"	"0"	"109"	"1"	"65"	"20"	"29"	"46"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"1"	"5"	"0"	"285"	"285"	"1"	"0"
"13264"	"4"	"13"	"5"	"2"	"380"	"81"	"0"	"66"	"23"	"34"	"66"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"3"	"4"	"0"	"286"	"286"	"1"	"0"
"13265"	"4"	"13"	"5"	"2"	"380"	"104"	"2"	"53"	"10"	"23"	"68"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"3"	"2"	"0"	"283"	"283"	"1"	"0"
"13266"	"4"	"13"	"5"	"2"	"343"	"82"	"0"	"57"	"9"	"23"	"70"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"0"	"0"	"0"	"264"	"264"	"1"	"0"
"13267"	"4"	"13"	"5"	"2"	"343"	"67"	"1"	"88"	"13"	"22"	"68"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"2"	"7"	"0"	"279"	"279"	"1"	"0"
"13268"	"4"	"13"	"5"	"2"	"380"	"107"	"1"	"53"	"5"	"93"	"56"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"3"	"1"	"0"	"323"	"323"	"1"	"0"
"13269"	"4"	"13"	"5"	"2"	"380"	"115"	"0"	"8"	"3"	"124"	"49"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"4"	"4"	"0"	"310"	"310"	"1"	"0"
"13270"	"4"	"13"	"5"	"2"	"380"	"111"	"0"	"10"	"6"	"100"	"32"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"2"	"2"	"0"	"270"	"270"	"1"	"0"
"13271"	"4"	"13"	"5"	"2"	"380"	"95"	"0"	"12"	"6"	"88"	"17"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"5"	"7"	"0"	"242"	"242"	"1"	"0"
"13272"	"4"	"13"	"5"	"2"	"380"	"105"	"1"	"20"	"5"	"127"	"34"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"7"	"2"	"0"	"313"	"313"	"1"	"0"
"13273"	"4"	"13"	"5"	"2"	"0"	"119"	"0"	"13"	"3"	"83"	"26"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"5"	"2"	"0"	"261"	"261"	"1"	"0"
