"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"UNE"	"FCN_NACION"	"UCN"	"CRECER"	"VAMOS"	"LIBRE"	"CCAM"	"PHG"	"SEMILLA"	"UNIONISTA"	"MLP"	"VALOR"	"VICTORIA"	"CREO"	"VIVA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12145"	"4"	"12"	"12"	"2"	"400"	"5"	"19"	"19"	"10"	"15"	"12"	"8"	"36"	"27"	"11"	"7"	"9"	"3"	"12"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"4"	"3"	"0"	"220"	"220"	"1"	"0"
"12146"	"4"	"12"	"12"	"2"	"236"	"3"	"7"	"13"	"7"	"18"	"4"	"6"	"27"	"8"	"7"	"1"	"12"	"1"	"15"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"4"	"0"	"0"	"151"	"151"	"1"	"0"
"12147"	"4"	"12"	"12"	"2"	"225"	"3"	"5"	"8"	"10"	"14"	"6"	"1"	"16"	"6"	"8"	"0"	"7"	"3"	"13"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"6"	"2"	"0"	"119"	"119"	"1"	"0"
"12148"	"4"	"12"	"12"	"2"	"380"	"7"	"53"	"38"	"13"	"64"	"8"	"0"	"28"	"4"	"7"	"1"	"13"	"5"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"29"	"15"	"0"	"300"	"300"	"1"	"0"
"12149"	"4"	"12"	"12"	"2"	"380"	"5"	"37"	"56"	"28"	"62"	"12"	"2"	"23"	"3"	"1"	"0"	"8"	"1"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"18"	"5"	"0"	"278"	"278"	"1"	"0"
"12150"	"4"	"12"	"12"	"2"	"238"	"3"	"28"	"45"	"22"	"45"	"5"	"0"	"18"	"2"	"2"	"0"	"7"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"20"	"5"	"0"	"209"	"209"	"1"	"0"
"12151"	"4"	"12"	"12"	"2"	"288"	"5"	"34"	"48"	"21"	"45"	"3"	"0"	"13"	"4"	"6"	"1"	"9"	"2"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"7"	"5"	"0"	"214"	"214"	"1"	"0"
"12152"	"4"	"12"	"12"	"2"	"380"	"0"	"14"	"19"	"7"	"18"	"21"	"1"	"77"	"11"	"5"	"0"	"13"	"2"	"4"	"19"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"16"	"10"	"0"	"244"	"244"	"1"	"0"
"12153"	"4"	"12"	"12"	"2"	"380"	"2"	"12"	"27"	"10"	"19"	"13"	"1"	"57"	"8"	"8"	"3"	"19"	"4"	"5"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"16"	"8"	"0"	"230"	"230"	"1"	"0"
"12154"	"4"	"12"	"12"	"2"	"380"	"1"	"19"	"23"	"13"	"13"	"23"	"2"	"57"	"15"	"7"	"0"	"8"	"4"	"6"	"32"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"30"	"11"	"0"	"268"	"268"	"1"	"0"
"12155"	"4"	"12"	"12"	"2"	"380"	"4"	"10"	"17"	"7"	"17"	"27"	"0"	"50"	"13"	"4"	"1"	"7"	"2"	"7"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"8"	"6"	"2"	"205"	"205"	"1"	"0"
"12156"	"4"	"12"	"12"	"2"	"380"	"4"	"16"	"33"	"4"	"15"	"32"	"3"	"50"	"16"	"7"	"1"	"5"	"1"	"8"	"28"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"18"	"9"	"0"	"252"	"252"	"1"	"0"
"12157"	"4"	"12"	"12"	"2"	"380"	"2"	"22"	"20"	"12"	"14"	"29"	"0"	"51"	"8"	"4"	"1"	"10"	"2"	"4"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"19"	"10"	"0"	"234"	"234"	"1"	"0"
"12158"	"4"	"12"	"12"	"2"	"204"	"6"	"3"	"9"	"7"	"8"	"15"	"1"	"30"	"11"	"9"	"0"	"2"	"2"	"6"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"3"	"1"	"0"	"124"	"124"	"1"	"0"
