"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"VICTORIA"	"FCN_NACION"	"CREO"	"C_C_E_S"	"UNIONISTA"	"VALOR"	"PAN"	"MLP"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7464"	"4"	"6"	"4"	"2"	"236"	"18"	"28"	"33"	"7"	"16"	"9"	"34"	"0"	"14"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"1"	"0"	"0"	"165"	"165"	"1"	"0"
"7465"	"4"	"6"	"4"	"2"	"236"	"15"	"38"	"36"	"4"	"12"	"5"	"29"	"1"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"1"	"0"	"0"	"150"	"150"	"1"	"0"
"7466"	"4"	"6"	"4"	"2"	"375"	"101"	"5"	"22"	"3"	"3"	"3"	"19"	"10"	"22"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"18"	"8"	"0"	"220"	"220"	"1"	"0"
"7467"	"4"	"6"	"4"	"2"	"380"	"101"	"6"	"19"	"3"	"11"	"0"	"29"	"6"	"28"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"2"	"0"	"229"	"229"	"1"	"0"
"7468"	"4"	"6"	"4"	"2"	"377"	"101"	"6"	"31"	"1"	"7"	"2"	"28"	"2"	"21"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"18"	"6"	"0"	"235"	"235"	"1"	"0"
"7469"	"4"	"6"	"4"	"2"	"376"	"101"	"7"	"18"	"4"	"12"	"1"	"31"	"6"	"23"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"26"	"7"	"0"	"242"	"242"	"1"	"0"
"7470"	"4"	"6"	"4"	"2"	"380"	"92"	"6"	"39"	"6"	"10"	"3"	"17"	"6"	"18"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"22"	"6"	"0"	"233"	"233"	"1"	"0"
"7471"	"4"	"6"	"4"	"2"	"375"	"98"	"6"	"40"	"0"	"10"	"2"	"11"	"2"	"23"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"15"	"6"	"0"	"228"	"228"	"1"	"0"
"7472"	"4"	"6"	"4"	"2"	"380"	"83"	"16"	"56"	"2"	"10"	"1"	"13"	"2"	"44"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"20"	"6"	"0"	"258"	"258"	"1"	"0"
"7473"	"4"	"6"	"4"	"2"	"376"	"104"	"9"	"26"	"3"	"10"	"1"	"12"	"8"	"19"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"9"	"4"	"0"	"207"	"207"	"1"	"0"
