"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"UNE"	"SEMILLA"	"CREO"	"PODEMOS"	"PC"	"LIBRE"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8103"	"4"	"7"	"5"	"2"	"380"	"78"	"26"	"73"	"0"	"33"	"0"	"4"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"10"	"12"	"0"	"250"	"250"	"1"	"0"
"8104"	"4"	"7"	"5"	"2"	"375"	"102"	"22"	"61"	"1"	"29"	"0"	"6"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"13"	"12"	"0"	"273"	"273"	"1"	"0"
"8105"	"4"	"7"	"5"	"2"	"376"	"90"	"20"	"56"	"0"	"34"	"0"	"14"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"19"	"0"	"270"	"270"	"1"	"0"
"8106"	"4"	"7"	"5"	"2"	"366"	"76"	"24"	"55"	"0"	"36"	"1"	"13"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"4"	"10"	"0"	"243"	"243"	"1"	"0"
"8107"	"4"	"7"	"5"	"2"	"369"	"96"	"16"	"47"	"0"	"53"	"0"	"6"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"2"	"4"	"1"	"244"	"244"	"1"	"0"
"8108"	"4"	"7"	"5"	"2"	"374"	"113"	"69"	"15"	"5"	"53"	"0"	"3"	"34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"29"	"5"	"0"	"327"	"327"	"1"	"0"
"8109"	"4"	"7"	"5"	"2"	"374"	"125"	"71"	"4"	"0"	"54"	"0"	"6"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"22"	"7"	"0"	"318"	"318"	"1"	"0"
"8110"	"4"	"7"	"5"	"2"	"376"	"108"	"74"	"6"	"2"	"45"	"1"	"6"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"16"	"0"	"301"	"301"	"1"	"0"
"8111"	"4"	"7"	"5"	"2"	"367"	"102"	"66"	"7"	"3"	"60"	"0"	"8"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"34"	"8"	"0"	"310"	"310"	"1"	"0"
"8112"	"4"	"7"	"5"	"2"	"366"	"115"	"61"	"4"	"0"	"47"	"1"	"9"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"5"	"5"	"2"	"275"	"273"	"0"	"0"
