"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MANOS"	"VAMOS"	"VALOR"	"VICTORIA"	"EG"	"FCN_NACION"	"UCN"	"UNE"	"PHG"	"PC"	"CREO"	"MLP"	"TODOS"	"PAN"	"LIBRE"	"BIEN"	"AVANZA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18651"	"4"	"18"	"4"	"2"	"376"	"5"	"6"	"43"	"9"	"8"	"3"	"1"	"38"	"4"	"5"	"1"	"27"	"6"	"18"	"4"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"10"	"6"	"0"	"208"	"208"	"1"	"0"
"18652"	"4"	"18"	"4"	"2"	"376"	"1"	"15"	"34"	"11"	"5"	"0"	"0"	"32"	"8"	"3"	"0"	"25"	"6"	"14"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"16"	"8"	"0"	"193"	"193"	"1"	"0"
"18653"	"4"	"18"	"4"	"2"	"373"	"2"	"1"	"25"	"8"	"5"	"1"	"4"	"30"	"6"	"1"	"1"	"14"	"8"	"24"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"17"	"4"	"0"	"170"	"170"	"1"	"0"
"18654"	"4"	"18"	"4"	"2"	"291"	"1"	"11"	"41"	"9"	"7"	"1"	"0"	"23"	"5"	"3"	"1"	"9"	"6"	"9"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"6"	"7"	"0"	"147"	"147"	"1"	"0"
"18655"	"4"	"18"	"4"	"2"	"291"	"0"	"10"	"38"	"5"	"11"	"1"	"3"	"23"	"10"	"4"	"0"	"12"	"3"	"20"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"8"	"3"	"0"	"165"	"165"	"1"	"0"
"18656"	"4"	"18"	"4"	"2"	"373"	"2"	"5"	"18"	"2"	"11"	"2"	"8"	"48"	"8"	"3"	"3"	"2"	"11"	"67"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"15"	"9"	"0"	"226"	"226"	"1"	"0"
"18657"	"4"	"18"	"4"	"2"	"380"	"3"	"1"	"13"	"2"	"9"	"3"	"3"	"72"	"4"	"2"	"2"	"2"	"7"	"67"	"4"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"15"	"8"	"0"	"229"	"229"	"1"	"0"
"18658"	"4"	"18"	"4"	"2"	"380"	"4"	"6"	"21"	"0"	"13"	"2"	"6"	"60"	"2"	"0"	"1"	"1"	"10"	"81"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"7"	"0"	"233"	"233"	"1"	"0"
"18659"	"4"	"18"	"4"	"2"	"374"	"2"	"2"	"12"	"1"	"18"	"2"	"8"	"39"	"8"	"1"	"2"	"2"	"15"	"84"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"17"	"3"	"0"	"232"	"232"	"1"	"0"
"18660"	"4"	"18"	"4"	"2"	"380"	"2"	"5"	"24"	"2"	"16"	"1"	"2"	"40"	"2"	"2"	"3"	"2"	"11"	"70"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"193"	"9"	"8"	"0"	"215"	"210"	"0"	"0"
