"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UNE"	"UCN"	"TODOS"	"VAMOS"	"VALOR"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18960"	"4"	"19"	"4"	"2"	"400"	"11"	"47"	"171"	"30"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"2"	"4"	"0"	"273"	"273"	"1"	"0"
"18961"	"4"	"19"	"4"	"2"	"403"	"9"	"68"	"164"	"34"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"5"	"3"	"0"	"292"	"292"	"1"	"0"
"18962"	"4"	"19"	"4"	"2"	"400"	"8"	"54"	"180"	"24"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"13"	"1"	"0"	"283"	"283"	"1"	"0"
"18963"	"4"	"19"	"4"	"2"	"400"	"11"	"58"	"154"	"28"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"15"	"3"	"0"	"274"	"274"	"1"	"0"
"18964"	"4"	"19"	"4"	"2"	"402"	"10"	"70"	"127"	"38"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"2"	"0"	"262"	"262"	"1"	"0"
"18965"	"4"	"19"	"4"	"2"	"400"	"12"	"63"	"168"	"29"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"8"	"3"	"0"	"287"	"287"	"1"	"0"
"18966"	"4"	"19"	"4"	"2"	"267"	"11"	"58"	"126"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"2"	"2"	"0"	"219"	"219"	"1"	"0"
"18967"	"4"	"19"	"4"	"2"	"267"	"5"	"29"	"104"	"19"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"3"	"5"	"0"	"171"	"171"	"1"	"0"
"18968"	"4"	"19"	"4"	"2"	"403"	"4"	"62"	"209"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"42"	"9"	"0"	"331"	"331"	"1"	"0"
"18969"	"4"	"19"	"4"	"2"	"401"	"15"	"72"	"172"	"12"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"38"	"3"	"0"	"320"	"320"	"1"	"0"
"18970"	"4"	"19"	"4"	"2"	"400"	"17"	"112"	"136"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"21"	"10"	"0"	"306"	"306"	"1"	"0"
"18971"	"4"	"19"	"4"	"2"	"400"	"8"	"83"	"161"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"33"	"8"	"1"	"302"	"302"	"1"	"0"
"18972"	"4"	"19"	"4"	"2"	"400"	"2"	"63"	"192"	"18"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"11"	"4"	"0"	"307"	"307"	"1"	"0"
"18973"	"4"	"19"	"4"	"2"	"401"	"12"	"60"	"186"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"13"	"0"	"0"	"294"	"294"	"1"	"0"
