"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"EG"	"PPT"	"URNG_MAIZ"	"VALOR"	"CREO"	"SEMILLA"	"VIVA"	"LIBRE"	"FCN_NACION"	"PODEMOS"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10577"	"4"	"10"	"10"	"2"	"400"	"104"	"71"	"13"	"2"	"19"	"4"	"7"	"1"	"32"	"8"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"4"	"1"	"0"	"277"	"277"	"1"	"0"
"10578"	"4"	"10"	"10"	"2"	"400"	"81"	"57"	"9"	"6"	"18"	"8"	"2"	"5"	"45"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"29"	"132"	"0"	"400"	"400"	"1"	"0"
"10579"	"4"	"10"	"10"	"2"	"400"	"105"	"48"	"5"	"5"	"26"	"3"	"2"	"5"	"22"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"9"	"3"	"0"	"239"	"239"	"1"	"0"
"10580"	"4"	"10"	"10"	"2"	"367"	"91"	"45"	"5"	"4"	"33"	"11"	"1"	"2"	"35"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"5"	"1"	"0"	"245"	"245"	"1"	"0"
"10581"	"4"	"10"	"10"	"2"	"366"	"100"	"46"	"5"	"4"	"34"	"8"	"0"	"1"	"26"	"2"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"4"	"3"	"0"	"245"	"244"	"0"	"0"
"10582"	"4"	"10"	"10"	"2"	"400"	"151"	"49"	"8"	"1"	"24"	"10"	"3"	"1"	"17"	"7"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"18"	"5"	"0"	"301"	"301"	"1"	"1"
"10583"	"4"	"10"	"10"	"2"	"396"	"141"	"49"	"3"	"2"	"25"	"9"	"0"	"3"	"20"	"1"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"8"	"4"	"0"	"282"	"282"	"1"	"0"
"10584"	"4"	"10"	"10"	"2"	"400"	"194"	"25"	"1"	"0"	"15"	"8"	"0"	"0"	"17"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"17"	"3"	"0"	"294"	"294"	"1"	"0"
"10585"	"4"	"10"	"10"	"2"	"400"	"174"	"35"	"18"	"1"	"18"	"3"	"1"	"2"	"22"	"15"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"10"	"5"	"0"	"319"	"319"	"1"	"0"
"10586"	"4"	"10"	"10"	"2"	"396"	"178"	"0"	"2"	"1"	"9"	"0"	"3"	"0"	"27"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"225"	"18"	"1"	"0"	"281"	"244"	"0"	"0"
"10587"	"4"	"10"	"10"	"2"	"400"	"142"	"33"	"6"	"2"	"10"	"1"	"0"	"2"	"25"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"2"	"0"	"245"	"245"	"1"	"0"
"10588"	"4"	"10"	"10"	"2"	"306"	"122"	"18"	"3"	"1"	"20"	"12"	"3"	"1"	"13"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"8"	"1"	"0"	"204"	"204"	"1"	"0"
"10589"	"4"	"10"	"10"	"2"	"305"	"106"	"36"	"4"	"2"	"15"	"12"	"1"	"0"	"16"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"2"	"3"	"0"	"203"	"203"	"1"	"0"
"10590"	"4"	"10"	"10"	"2"	"396"	"123"	"57"	"1"	"2"	"22"	"6"	"1"	"2"	"26"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"5"	"0"	"263"	"263"	"1"	"0"
"10591"	"4"	"10"	"10"	"2"	"400"	"114"	"59"	"2"	"1"	"40"	"4"	"2"	"3"	"23"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"2"	"16"	"400"	"277"	"0"	"0"
"10592"	"4"	"10"	"10"	"2"	"396"	"127"	"64"	"0"	"5"	"20"	"3"	"1"	"2"	"29"	"11"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"14"	"5"	"0"	"292"	"292"	"1"	"0"
"10593"	"4"	"10"	"10"	"2"	"400"	"128"	"69"	"1"	"2"	"34"	"5"	"0"	"0"	"20"	"0"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"10"	"6"	"0"	"289"	"289"	"1"	"0"
"10594"	"4"	"10"	"10"	"2"	"396"	"137"	"47"	"4"	"2"	"68"	"4"	"2"	"0"	"8"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"4"	"0"	"295"	"295"	"1"	"0"
"10595"	"4"	"10"	"10"	"2"	"397"	"133"	"38"	"1"	"0"	"62"	"4"	"0"	"1"	"7"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"14"	"1"	"0"	"274"	"274"	"1"	"0"
"10596"	"4"	"10"	"10"	"2"	"400"	"157"	"46"	"0"	"2"	"27"	"8"	"0"	"0"	"5"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"17"	"4"	"0"	"278"	"278"	"1"	"0"
"10597"	"4"	"10"	"10"	"2"	"382"	"139"	"34"	"0"	"3"	"28"	"7"	"1"	"2"	"15"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"17"	"7"	"0"	"264"	"264"	"1"	"0"
