"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"PAN"	"VIVA"	"UCN"	"FUERZA"	"VICTORIA"	"UNIONISTA"	"LIBRE"	"MLP"	"SEMILLA"	"UNIDOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15098"	"4"	"14"	"11"	"2"	"376"	"27"	"89"	"94"	"2"	"49"	"14"	"3"	"1"	"0"	"10"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"13"	"5"	"0"	"317"	"317"	"1"	"0"
"15099"	"4"	"14"	"11"	"2"	"376"	"34"	"136"	"79"	"0"	"42"	"5"	"1"	"3"	"0"	"6"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"4"	"8"	"0"	"330"	"330"	"1"	"0"
"15100"	"4"	"14"	"11"	"2"	"375"	"12"	"101"	"81"	"2"	"55"	"13"	"1"	"1"	"0"	"4"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"278"	"19"	"10"	"0"	"327"	"307"	"0"	"0"
"15101"	"4"	"14"	"11"	"2"	"376"	"7"	"143"	"89"	"1"	"33"	"7"	"0"	"2"	"3"	"9"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"5"	"3"	"0"	"317"	"317"	"1"	"0"
"15102"	"4"	"14"	"11"	"2"	"374"	"19"	"48"	"165"	"3"	"54"	"14"	"0"	"2"	"1"	"13"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"10"	"2"	"0"	"339"	"339"	"1"	"0"
"15103"	"4"	"14"	"11"	"2"	"373"	"12"	"21"	"197"	"2"	"58"	"14"	"0"	"0"	"0"	"9"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"22"	"3"	"0"	"350"	"350"	"1"	"0"
"15104"	"4"	"14"	"11"	"2"	"376"	"33"	"46"	"150"	"0"	"69"	"13"	"0"	"1"	"0"	"5"	"5"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"6"	"4"	"0"	"341"	"341"	"1"	"0"
"15105"	"4"	"14"	"11"	"2"	"376"	"16"	"64"	"145"	"3"	"59"	"14"	"0"	"0"	"0"	"18"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"6"	"5"	"0"	"336"	"336"	"1"	"0"
"15106"	"4"	"14"	"11"	"2"	"380"	"19"	"78"	"124"	"1"	"54"	"11"	"0"	"0"	"0"	"7"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"6"	"4"	"0"	"314"	"314"	"1"	"0"
"15107"	"4"	"14"	"11"	"2"	"376"	"14"	"81"	"109"	"3"	"46"	"9"	"0"	"0"	"0"	"8"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"3"	"3"	"0"	"282"	"282"	"1"	"0"
"15108"	"4"	"14"	"11"	"2"	"376"	"16"	"86"	"128"	"1"	"35"	"7"	"0"	"0"	"0"	"11"	"3"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"2"	"3"	"0"	"309"	"309"	"1"	"0"
"15109"	"4"	"14"	"11"	"2"	"376"	"17"	"74"	"103"	"4"	"57"	"10"	"0"	"1"	"0"	"5"	"3"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"5"	"5"	"0"	"303"	"303"	"1"	"0"
"15110"	"4"	"14"	"11"	"2"	"376"	"21"	"60"	"118"	"7"	"43"	"10"	"0"	"1"	"1"	"7"	"8"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"8"	"5"	"0"	"304"	"304"	"1"	"0"
"15111"	"4"	"14"	"11"	"2"	"376"	"12"	"93"	"113"	"2"	"44"	"10"	"0"	"1"	"0"	"14"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"3"	"2"	"0"	"302"	"302"	"1"	"0"
"15112"	"4"	"14"	"11"	"2"	"295"	"10"	"63"	"119"	"0"	"33"	"6"	"0"	"1"	"0"	"7"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"3"	"0"	"0"	"252"	"252"	"1"	"0"
"15113"	"4"	"14"	"11"	"2"	"294"	"14"	"61"	"98"	"3"	"28"	"12"	"1"	"0"	"0"	"9"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"2"	"1"	"0"	"236"	"236"	"1"	"0"
