"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"UCN"	"VIVA"	"VAMOS"	"UNIONISTA"	"TODOS"	"FCN_NACION"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13542"	"4"	"13"	"10"	"2"	"254"	"91"	"0"	"12"	"61"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"2"	"3"	"0"	"172"	"172"	"1"	"0"
"13543"	"4"	"13"	"10"	"2"	"303"	"127"	"0"	"11"	"143"	"1"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"290"	"6"	"8"	"0"	"303"	"304"	"0"	"0"
"13544"	"4"	"13"	"10"	"2"	"389"	"105"	"0"	"3"	"175"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"5"	"83"	"0"	"292"	"373"	"0"	"0"
"13545"	"4"	"13"	"10"	"2"	"376"	"150"	"1"	"0"	"158"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"1"	"5"	"0"	"319"	"319"	"1"	"0"
"13546"	"4"	"13"	"10"	"2"	"400"	"185"	"0"	"1"	"134"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"3"	"3"	"0"	"330"	"330"	"1"	"0"
"13547"	"4"	"13"	"10"	"2"	"0"	"130"	"0"	"8"	"142"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"284"	"4"	"4"	"0"	"375"	"292"	"0"	"0"
"13548"	"4"	"13"	"10"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13549"	"4"	"13"	"10"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13550"	"4"	"13"	"10"	"2"	"288"	"90"	"0"	"6"	"94"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"1"	"1"	"0"	"193"	"193"	"1"	"0"
"13551"	"4"	"13"	"10"	"2"	"376"	"105"	"0"	"62"	"67"	"6"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"0"	"6"	"12"	"263"	"251"	"0"	"0"
"13552"	"4"	"13"	"10"	"2"	"373"	"132"	"1"	"45"	"85"	"1"	"0"	"2"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"12"	"7"	"0"	"291"	"291"	"1"	"0"
