"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EL_MAGUEY"	"UCN"	"PC"	"LIBRE"	"UNE"	"SEMILLA"	"BIEN"	"EG"	"CONVERGENCIA"	"UNIDOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19423"	"4"	"20"	"4"	"2"	"253"	"2"	"37"	"50"	"24"	"0"	"93"	"1"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"30"	"9"	"0"	"253"	"253"	"1"	"0"
"19424"	"4"	"20"	"4"	"2"	"376"	"7"	"35"	"27"	"68"	"1"	"94"	"0"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"39"	"4"	"0"	"281"	"281"	"1"	"0"
"19425"	"4"	"20"	"4"	"2"	"376"	"2"	"38"	"37"	"66"	"0"	"95"	"3"	"20"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"5"	"0"	"290"	"290"	"1"	"0"
"19426"	"4"	"20"	"4"	"2"	"376"	"6"	"93"	"44"	"24"	"0"	"89"	"1"	"12"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"14"	"7"	"0"	"293"	"293"	"1"	"0"
"19427"	"4"	"20"	"4"	"2"	"188"	"4"	"56"	"42"	"32"	"0"	"83"	"1"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"13"	"5"	"0"	"250"	"250"	"1"	"0"
"19428"	"4"	"20"	"4"	"2"	"380"	"1"	"36"	"50"	"28"	"2"	"90"	"0"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"27"	"4"	"0"	"246"	"246"	"1"	"0"
"19429"	"4"	"20"	"4"	"2"	"241"	"2"	"27"	"28"	"30"	"0"	"69"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"7"	"1"	"0"	"170"	"170"	"1"	"0"
"19430"	"4"	"20"	"4"	"2"	"240"	"4"	"16"	"25"	"21"	"0"	"71"	"2"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"8"	"10"	"0"	"163"	"163"	"1"	"0"
"19431"	"4"	"20"	"4"	"2"	"376"	"7"	"39"	"44"	"35"	"5"	"54"	"5"	"18"	"4"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"6"	"0"	"241"	"241"	"1"	"0"
"19432"	"4"	"20"	"4"	"2"	"376"	"4"	"32"	"68"	"52"	"0"	"72"	"4"	"7"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"25"	"5"	"0"	"278"	"278"	"1"	"0"
