"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VICTORIA"	"WINAQ"	"PC"	"PODEMOS"	"VAMOS"	"VALOR"	"FUERZA"	"LIBRE"	"CREO"	"TODOS"	"SEMILLA"	"PPT"	"FCN_NACION"	"UCN"	"UNIONISTA"	"URNG_MAIZ"	"CONVERGENCIA"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16918"	"4"	"16"	"9"	"2"	"0"	"40"	"32"	"81"	"2"	"4"	"62"	"3"	"7"	"0"	"0"	"1"	"0"	"1"	"3"	"11"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"36"	"18"	"0"	"304"	"304"	"1"	"0"
"16919"	"4"	"16"	"9"	"2"	"378"	"36"	"20"	"63"	"1"	"5"	"59"	"9"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"10"	"1"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"59"	"16"	"0"	"293"	"293"	"1"	"0"
"16920"	"4"	"16"	"9"	"2"	"380"	"43"	"17"	"58"	"3"	"6"	"62"	"6"	"3"	"1"	"4"	"0"	"0"	"1"	"0"	"6"	"1"	"6"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"32"	"17"	"0"	"272"	"272"	"1"	"0"
"16921"	"4"	"16"	"9"	"2"	"380"	"33"	"18"	"107"	"0"	"9"	"44"	"7"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"14"	"12"	"0"	"257"	"257"	"1"	"0"
"16922"	"4"	"16"	"9"	"2"	"380"	"56"	"18"	"80"	"7"	"21"	"37"	"13"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"23"	"16"	"0"	"283"	"283"	"1"	"0"
"16923"	"4"	"16"	"9"	"2"	"380"	"53"	"12"	"66"	"1"	"18"	"48"	"14"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"3"	"1"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"45"	"11"	"0"	"286"	"286"	"1"	"0"
"16924"	"4"	"16"	"9"	"2"	"380"	"53"	"10"	"75"	"4"	"15"	"37"	"7"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"41"	"22"	"0"	"280"	"280"	"1"	"0"
"16925"	"4"	"16"	"9"	"2"	"380"	"55"	"11"	"81"	"1"	"11"	"30"	"9"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"25"	"20"	"0"	"255"	"255"	"1"	"0"
"16926"	"4"	"16"	"9"	"2"	"347"	"31"	"8"	"55"	"1"	"7"	"36"	"12"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"37"	"11"	"0"	"210"	"210"	"1"	"0"
"16927"	"4"	"16"	"9"	"2"	"346"	"24"	"26"	"103"	"1"	"14"	"33"	"6"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"17"	"7"	"0"	"243"	"243"	"1"	"0"
