"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNE"	"TODOS"	"CONVERGENCIA"	"WINAQ"	"PC"	"UCN"	"VIVA"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIDOS"	"PPT"	"UNIONISTA"	"VICTORIA"	"MLP"	"PODEMOS"	"PHG"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16426"	"4"	"16"	"3"	"2"	"386"	"12"	"12"	"10"	"66"	"26"	"3"	"7"	"2"	"20"	"4"	"5"	"7"	"3"	"5"	"0"	"6"	"4"	"5"	"5"	"36"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"4"	"0"	"0"	"253"	"253"	"1"	"0"
"16427"	"4"	"16"	"3"	"2"	"396"	"16"	"24"	"10"	"54"	"30"	"6"	"5"	"1"	"4"	"8"	"15"	"10"	"3"	"3"	"0"	"3"	"5"	"10"	"7"	"34"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"24"	"5"	"0"	"278"	"278"	"1"	"0"
"16428"	"4"	"16"	"3"	"2"	"396"	"16"	"25"	"9"	"75"	"31"	"3"	"4"	"3"	"12"	"3"	"6"	"12"	"5"	"0"	"0"	"0"	"7"	"7"	"7"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"22"	"8"	"0"	"283"	"283"	"1"	"0"
"16429"	"4"	"16"	"3"	"2"	"400"	"26"	"20"	"7"	"64"	"51"	"8"	"7"	"0"	"3"	"7"	"6"	"11"	"2"	"2"	"0"	"2"	"6"	"5"	"10"	"30"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"29"	"10"	"0"	"308"	"308"	"1"	"0"
"16430"	"4"	"16"	"3"	"2"	"396"	"19"	"12"	"15"	"79"	"43"	"2"	"1"	"3"	"5"	"5"	"7"	"15"	"1"	"4"	"0"	"0"	"17"	"19"	"2"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"29"	"8"	"0"	"317"	"317"	"1"	"0"
"16431"	"4"	"16"	"3"	"2"	"400"	"29"	"32"	"8"	"87"	"22"	"7"	"5"	"2"	"6"	"4"	"6"	"7"	"0"	"0"	"0"	"1"	"12"	"16"	"8"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"28"	"8"	"0"	"302"	"302"	"1"	"0"
"16432"	"4"	"16"	"3"	"2"	"396"	"18"	"32"	"36"	"64"	"28"	"5"	"1"	"2"	"0"	"5"	"8"	"6"	"3"	"7"	"2"	"0"	"3"	"26"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"40"	"6"	"0"	"316"	"316"	"1"	"0"
"16433"	"4"	"16"	"3"	"2"	"396"	"10"	"30"	"12"	"71"	"26"	"6"	"4"	"0"	"4"	"1"	"3"	"8"	"4"	"0"	"0"	"0"	"12"	"12"	"5"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"23"	"3"	"0"	"260"	"260"	"1"	"0"
"16434"	"4"	"16"	"3"	"2"	"396"	"9"	"25"	"15"	"53"	"25"	"3"	"4"	"2"	"6"	"4"	"6"	"10"	"5"	"1"	"0"	"0"	"13"	"8"	"6"	"36"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"15"	"7"	"0"	"257"	"257"	"1"	"0"
"16435"	"4"	"16"	"3"	"2"	"230"	"7"	"16"	"10"	"40"	"16"	"4"	"3"	"0"	"1"	"2"	"6"	"2"	"1"	"1"	"0"	"2"	"2"	"13"	"3"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"7"	"3"	"0"	"159"	"159"	"1"	"0"
