"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VALOR"	"MLP"	"PHG"	"BIEN"	"COCIYAC"	"PODEMOS"	"WINAQ_URNG"	"PC"	"FCN_NACION"	"AVANZA"	"FUERZA"	"UNIONISTA"	"LIBRE"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15952"	"4"	"15"	"4"	"2"	"380"	"9"	"27"	"28"	"2"	"2"	"3"	"48"	"6"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"12"	"13"	"0"	"157"	"157"	"1"	"0"
"15953"	"4"	"15"	"4"	"2"	"0"	"11"	"18"	"47"	"1"	"1"	"2"	"72"	"2"	"2"	"1"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"19"	"17"	"0"	"198"	"198"	"1"	"0"
"15954"	"4"	"15"	"4"	"2"	"383"	"13"	"14"	"32"	"2"	"1"	"4"	"52"	"2"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"25"	"10"	"0"	"160"	"160"	"1"	"0"
"15955"	"4"	"15"	"4"	"2"	"347"	"4"	"17"	"27"	"1"	"0"	"3"	"38"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"95"	"2"	"4"	"12"	"103"	"101"	"0"	"0"
"15956"	"4"	"15"	"4"	"2"	"347"	"3"	"15"	"29"	"1"	"1"	"1"	"51"	"0"	"5"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"13"	"8"	"0"	"130"	"130"	"1"	"0"
"15957"	"4"	"15"	"4"	"2"	"380"	"21"	"42"	"59"	"2"	"15"	"9"	"19"	"2"	"2"	"3"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"23"	"14"	"0"	"217"	"217"	"1"	"0"
"15958"	"4"	"15"	"4"	"2"	"380"	"15"	"63"	"81"	"2"	"13"	"21"	"8"	"3"	"2"	"10"	"4"	"2"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"20"	"10"	"0"	"263"	"263"	"1"	"0"
"15959"	"4"	"15"	"4"	"2"	"380"	"17"	"49"	"62"	"1"	"20"	"13"	"7"	"4"	"1"	"5"	"3"	"4"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"20"	"17"	"0"	"231"	"231"	"1"	"0"
"15960"	"4"	"15"	"4"	"2"	"380"	"30"	"46"	"60"	"0"	"3"	"6"	"21"	"3"	"4"	"3"	"1"	"7"	"0"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"23"	"5"	"0"	"219"	"219"	"1"	"0"
"15961"	"4"	"15"	"4"	"2"	"326"	"11"	"41"	"57"	"0"	"7"	"9"	"12"	"0"	"1"	"3"	"2"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"19"	"6"	"0"	"175"	"175"	"1"	"0"
"15962"	"4"	"15"	"4"	"2"	"325"	"14"	"37"	"57"	"0"	"7"	"11"	"12"	"2"	"2"	"2"	"0"	"0"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"5"	"9"	"0"	"167"	"167"	"1"	"0"
"15963"	"4"	"15"	"4"	"2"	"382"	"28"	"27"	"98"	"3"	"1"	"16"	"10"	"6"	"4"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"25"	"7"	"0"	"230"	"230"	"1"	"0"
"15964"	"4"	"15"	"4"	"2"	"380"	"17"	"33"	"94"	"2"	"2"	"13"	"11"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"25"	"10"	"0"	"214"	"214"	"1"	"0"
"15965"	"4"	"15"	"4"	"2"	"249"	"4"	"21"	"53"	"1"	"3"	"7"	"21"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"11"	"2"	"0"	"130"	"130"	"1"	"0"
"15966"	"4"	"15"	"4"	"2"	"248"	"8"	"25"	"44"	"1"	"0"	"6"	"16"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"5"	"5"	"0"	"113"	"113"	"1"	"0"
"15967"	"4"	"15"	"4"	"2"	"521"	"7"	"15"	"15"	"2"	"1"	"2"	"17"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"66"	"66"	"7"	"2"	"0"	"75"	"75"	"1"	"0"
"15968"	"4"	"15"	"4"	"2"	"571"	"3"	"18"	"13"	"0"	"3"	"2"	"15"	"1"	"2"	"0"	"3"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"65"	"65"	"3"	"3"	"0"	"71"	"71"	"1"	"0"
