"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VENADO"	"TODOS"	"UNE"	"VALOR"	"UCN"	"FUERZA"	"VAMOS"	"SEMILLA"	"CCML"	"UNIONISTA"	"LIBRE"	"EG"	"PODEMOS"	"URNG_MAIZ"	"VIVA"	"CREO"	"PC"	"CC_PER_DO_MO"	"BIEN"	"C_C_C_"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10227"	"4"	"10"	"1"	"2"	"361"	"16"	"34"	"16"	"11"	"8"	"11"	"6"	"8"	"10"	"4"	"1"	"1"	"12"	"2"	"7"	"9"	"15"	"14"	"3"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"5"	"0"	"0"	"219"	"219"	"1"	"0"
"10228"	"4"	"10"	"1"	"2"	"400"	"14"	"38"	"31"	"5"	"10"	"6"	"2"	"11"	"19"	"7"	"3"	"1"	"3"	"7"	"9"	"7"	"13"	"12"	"0"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"4"	"0"	"248"	"248"	"1"	"0"
"10229"	"4"	"10"	"1"	"2"	"0"	"23"	"51"	"34"	"6"	"14"	"8"	"10"	"16"	"16"	"8"	"1"	"2"	"6"	"2"	"6"	"5"	"8"	"9"	"2"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"12"	"1"	"0"	"289"	"289"	"1"	"0"
"10230"	"4"	"10"	"1"	"2"	"400"	"19"	"59"	"17"	"6"	"7"	"5"	"8"	"26"	"7"	"3"	"3"	"2"	"9"	"3"	"11"	"7"	"5"	"10"	"2"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"2"	"0"	"276"	"276"	"1"	"0"
"10231"	"4"	"10"	"1"	"2"	"400"	"18"	"51"	"15"	"9"	"12"	"6"	"5"	"17"	"15"	"6"	"1"	"1"	"4"	"9"	"7"	"8"	"13"	"23"	"3"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"25"	"5"	"0"	"300"	"300"	"1"	"0"
"10232"	"4"	"10"	"1"	"2"	"400"	"15"	"37"	"20"	"6"	"13"	"5"	"5"	"18"	"18"	"4"	"1"	"1"	"7"	"13"	"11"	"11"	"8"	"16"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"18"	"1"	"0"	"273"	"273"	"1"	"0"
"10233"	"4"	"10"	"1"	"2"	"401"	"24"	"31"	"19"	"4"	"10"	"7"	"10"	"17"	"16"	"2"	"0"	"2"	"5"	"2"	"11"	"5"	"9"	"5"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"7"	"3"	"0"	"224"	"224"	"1"	"0"
"10234"	"4"	"10"	"1"	"2"	"400"	"28"	"53"	"14"	"5"	"10"	"5"	"5"	"16"	"11"	"8"	"0"	"0"	"5"	"9"	"12"	"7"	"7"	"6"	"0"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"3"	"0"	"0"	"254"	"254"	"1"	"0"
"10235"	"4"	"10"	"1"	"2"	"0"	"26"	"37"	"23"	"6"	"9"	"2"	"5"	"19"	"18"	"7"	"0"	"0"	"6"	"6"	"9"	"6"	"6"	"15"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"6"	"3"	"0"	"258"	"258"	"1"	"0"
"10236"	"4"	"10"	"1"	"2"	"400"	"23"	"43"	"22"	"9"	"6"	"4"	"7"	"18"	"10"	"4"	"5"	"2"	"7"	"5"	"3"	"3"	"11"	"8"	"1"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"7"	"0"	"0"	"230"	"230"	"1"	"0"
"10237"	"4"	"10"	"1"	"2"	"0"	"16"	"35"	"18"	"2"	"5"	"2"	"2"	"15"	"7"	"3"	"5"	"1"	"3"	"4"	"10"	"4"	"5"	"7"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"8"	"0"	"0"	"176"	"176"	"1"	"0"
"10238"	"4"	"10"	"1"	"2"	"0"	"27"	"27"	"14"	"5"	"4"	"3"	"3"	"16"	"12"	"6"	"0"	"3"	"5"	"4"	"5"	"6"	"11"	"5"	"0"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"5"	"1"	"0"	"193"	"193"	"1"	"0"
"10239"	"4"	"10"	"1"	"2"	"403"	"25"	"24"	"37"	"2"	"13"	"6"	"4"	"16"	"17"	"6"	"1"	"0"	"6"	"12"	"11"	"4"	"23"	"10"	"0"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"2"	"0"	"269"	"269"	"1"	"0"
"10240"	"4"	"10"	"1"	"2"	"401"	"27"	"20"	"35"	"6"	"15"	"9"	"4"	"21"	"14"	"6"	"1"	"1"	"5"	"6"	"19"	"4"	"20"	"8"	"0"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"15"	"0"	"1"	"270"	"270"	"1"	"0"
"10241"	"4"	"10"	"1"	"2"	"398"	"22"	"27"	"37"	"12"	"17"	"2"	"9"	"27"	"13"	"14"	"5"	"1"	"10"	"8"	"7"	"5"	"20"	"10"	"2"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"9"	"1"	"0"	"294"	"294"	"1"	"0"
"10242"	"4"	"10"	"1"	"2"	"400"	"33"	"15"	"43"	"7"	"12"	"4"	"12"	"20"	"14"	"3"	"2"	"2"	"8"	"5"	"15"	"10"	"16"	"15"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"10"	"0"	"114"	"286"	"286"	"1"	"0"
"10243"	"4"	"10"	"1"	"2"	"0"	"22"	"11"	"45"	"7"	"13"	"5"	"3"	"19"	"17"	"7"	"3"	"2"	"6"	"4"	"15"	"5"	"12"	"8"	"2"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"6"	"0"	"0"	"273"	"0"	"0"
"10244"	"4"	"10"	"1"	"2"	"400"	"22"	"20"	"30"	"3"	"14"	"5"	"3"	"20"	"12"	"9"	"2"	"1"	"3"	"3"	"23"	"6"	"13"	"7"	"1"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"3"	"0"	"256"	"256"	"1"	"0"
"10245"	"4"	"10"	"1"	"2"	"400"	"30"	"26"	"29"	"5"	"22"	"9"	"3"	"17"	"12"	"6"	"1"	"1"	"4"	"6"	"16"	"6"	"16"	"5"	"3"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"4"	"0"	"0"	"264"	"264"	"1"	"0"
