"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VICTORIA"	"VALOR"	"PHG"	"FCN_NACION"	"PC"	"VIVA"	"SEMILLA"	"BIEN"	"MLP"	"UCN"	"PODEMOS"	"UNE"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8958"	"4"	"8"	"6"	"2"	"399"	"59"	"88"	"0"	"6"	"7"	"3"	"4"	"7"	"65"	"4"	"6"	"10"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"13"	"14"	"0"	"301"	"301"	"1"	"0"
"8959"	"4"	"8"	"6"	"2"	"400"	"56"	"94"	"1"	"7"	"13"	"0"	"9"	"5"	"49"	"3"	"6"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"16"	"12"	"0"	"295"	"295"	"1"	"0"
"8960"	"4"	"8"	"6"	"2"	"400"	"57"	"64"	"0"	"6"	"7"	"0"	"3"	"0"	"38"	"10"	"7"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"24"	"16"	"0"	"266"	"266"	"1"	"0"
"8961"	"4"	"8"	"6"	"2"	"400"	"56"	"32"	"2"	"16"	"5"	"1"	"2"	"5"	"36"	"1"	"6"	"9"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"7"	"7"	"0"	"212"	"212"	"1"	"0"
"8962"	"4"	"8"	"6"	"2"	"400"	"50"	"34"	"3"	"7"	"7"	"2"	"16"	"2"	"45"	"2"	"10"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"19"	"13"	"0"	"236"	"236"	"1"	"0"
"8963"	"4"	"8"	"6"	"2"	"400"	"47"	"52"	"1"	"7"	"10"	"0"	"8"	"3"	"43"	"3"	"4"	"5"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"21"	"12"	"0"	"246"	"246"	"1"	"0"
"8964"	"4"	"8"	"6"	"2"	"396"	"58"	"41"	"0"	"8"	"7"	"1"	"9"	"7"	"38"	"8"	"5"	"7"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"17"	"5"	"0"	"242"	"242"	"1"	"0"
"8965"	"4"	"8"	"6"	"2"	"400"	"48"	"47"	"1"	"11"	"6"	"3"	"9"	"2"	"37"	"6"	"9"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"10"	"17"	"0"	"227"	"227"	"1"	"0"
"8966"	"4"	"8"	"6"	"2"	"397"	"38"	"58"	"2"	"10"	"10"	"0"	"4"	"3"	"46"	"0"	"10"	"3"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"3"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"11"	"7"	"0"	"236"	"236"	"1"	"0"
"8967"	"4"	"8"	"6"	"2"	"256"	"45"	"34"	"2"	"9"	"3"	"1"	"7"	"1"	"34"	"1"	"3"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"5"	"3"	"0"	"175"	"175"	"1"	"0"
