"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"VAMOS"	"UNE"	"TODOS"	"FCN_NACION"	"BIEN"	"AVANZA"	"EG"	"PAN"	"UNIDOS"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19535"	"4"	"20"	"5"	"1"	"380"	"3"	"7"	"56"	"83"	"74"	"2"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"19"	"13"	"0"	"270"	"270"	"1"	"0"
"19536"	"4"	"20"	"5"	"1"	"376"	"3"	"9"	"48"	"116"	"82"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"116"	"6"	"0"	"293"	"393"	"0"	"0"
"19537"	"4"	"20"	"5"	"2"	"376"	"0"	"12"	"77"	"82"	"71"	"2"	"7"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"16"	"17"	"0"	"286"	"286"	"1"	"0"
"19538"	"4"	"20"	"5"	"2"	"376"	"1"	"7"	"58"	"76"	"90"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"7"	"0"	"260"	"260"	"1"	"0"
"19539"	"4"	"20"	"5"	"2"	"376"	"4"	"9"	"60"	"91"	"65"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"13"	"5"	"0"	"257"	"257"	"1"	"0"
"19540"	"4"	"20"	"5"	"2"	"249"	"0"	"11"	"47"	"61"	"44"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"4"	"5"	"0"	"183"	"183"	"1"	"0"
"19541"	"4"	"20"	"5"	"2"	"248"	"2"	"9"	"42"	"59"	"46"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"9"	"5"	"1"	"177"	"177"	"1"	"0"
"19542"	"4"	"20"	"5"	"2"	"377"	"0"	"31"	"120"	"87"	"37"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"20"	"5"	"0"	"310"	"310"	"1"	"0"
"19543"	"4"	"20"	"5"	"2"	"376"	"2"	"35"	"134"	"73"	"51"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"11"	"11"	"0"	"322"	"321"	"0"	"0"
"19544"	"4"	"20"	"5"	"2"	"257"	"0"	"15"	"80"	"68"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"9"	"5"	"0"	"198"	"198"	"1"	"0"
"19545"	"4"	"20"	"5"	"2"	"254"	"1"	"21"	"65"	"59"	"24"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"7"	"6"	"0"	"185"	"185"	"1"	"0"
"19546"	"4"	"20"	"5"	"2"	"451"	"0"	"7"	"13"	"30"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"59"	"59"	"7"	"0"	"0"	"66"	"66"	"1"	"0"
