"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"UNE"	"PHG"	"UCN"	"SEMILLA"	"UNIONISTA"	"LIBRE"	"CREO"	"FCN_NACION"	"MLP"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10950"	"4"	"10"	"21"	"2"	"400"	"24"	"5"	"20"	"63"	"42"	"76"	"2"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"4"	"0"	"0"	"242"	"242"	"1"	"0"
"10951"	"4"	"10"	"21"	"2"	"231"	"10"	"8"	"15"	"32"	"30"	"49"	"2"	"0"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"0"	"1"	"0"	"158"	"158"	"1"	"0"
"10952"	"4"	"10"	"21"	"2"	"232"	"9"	"3"	"9"	"31"	"33"	"33"	"0"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"7"	"2"	"0"	"138"	"138"	"1"	"0"
"10953"	"4"	"10"	"21"	"2"	"380"	"17"	"2"	"60"	"66"	"36"	"28"	"1"	"1"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"17"	"9"	"0"	"247"	"247"	"1"	"0"
"10954"	"4"	"10"	"21"	"2"	"380"	"15"	"6"	"48"	"63"	"50"	"24"	"1"	"3"	"2"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"19"	"5"	"0"	"246"	"246"	"1"	"0"
"10955"	"4"	"10"	"21"	"2"	"380"	"23"	"4"	"34"	"90"	"33"	"28"	"0"	"3"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"2"	"0"	"242"	"242"	"1"	"0"
"10956"	"4"	"10"	"21"	"2"	"378"	"23"	"3"	"41"	"74"	"33"	"33"	"0"	"0"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"21"	"3"	"0"	"244"	"244"	"1"	"0"
"10957"	"4"	"10"	"21"	"2"	"380"	"16"	"4"	"42"	"73"	"40"	"21"	"1"	"2"	"6"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"9"	"4"	"0"	"229"	"229"	"1"	"0"
"10958"	"4"	"10"	"21"	"2"	"380"	"25"	"4"	"41"	"84"	"35"	"30"	"1"	"1"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"21"	"0"	"0"	"253"	"253"	"1"	"1"
"10959"	"4"	"10"	"21"	"2"	"279"	"17"	"3"	"34"	"44"	"23"	"25"	"0"	"0"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"6"	"3"	"0"	"162"	"162"	"1"	"0"
"10960"	"4"	"10"	"21"	"2"	"278"	"13"	"2"	"22"	"67"	"35"	"20"	"0"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"5"	"1"	"0"	"172"	"172"	"1"	"0"
