"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VALOR"	"UCN"	"CREO"	"FCN_NACION"	"LIBRE"	"MLP"	"SEMILLA"	"BIEN"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18486"	"4"	"18"	"2"	"2"	"380"	"2"	"67"	"0"	"80"	"15"	"0"	"1"	"24"	"0"	"47"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"16"	"9"	"0"	"265"	"265"	"1"	"1"
"18487"	"4"	"18"	"2"	"2"	"376"	"4"	"38"	"0"	"60"	"11"	"0"	"4"	"26"	"1"	"58"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"9"	"5"	"0"	"221"	"221"	"1"	"0"
"18488"	"4"	"18"	"2"	"2"	"376"	"2"	"39"	"0"	"70"	"6"	"1"	"0"	"16"	"0"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"7"	"7"	"0"	"198"	"198"	"1"	"0"
"18489"	"4"	"18"	"2"	"2"	"380"	"3"	"40"	"0"	"58"	"11"	"0"	"1"	"22"	"0"	"44"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"21"	"2"	"0"	"205"	"205"	"1"	"0"
"18490"	"4"	"18"	"2"	"2"	"377"	"2"	"38"	"1"	"76"	"8"	"1"	"2"	"19"	"1"	"44"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"11"	"6"	"0"	"212"	"212"	"1"	"0"
"18491"	"4"	"18"	"2"	"2"	"380"	"1"	"52"	"0"	"53"	"13"	"0"	"1"	"15"	"0"	"41"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"11"	"1"	"0"	"191"	"191"	"1"	"0"
"18492"	"4"	"18"	"2"	"2"	"371"	"2"	"42"	"1"	"75"	"18"	"0"	"2"	"18"	"1"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"8"	"4"	"0"	"217"	"217"	"1"	"0"
"18493"	"4"	"18"	"2"	"2"	"364"	"2"	"38"	"0"	"60"	"10"	"0"	"1"	"27"	"0"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"4"	"4"	"1"	"180"	"180"	"1"	"0"
"18494"	"4"	"18"	"2"	"2"	"380"	"0"	"83"	"0"	"173"	"2"	"0"	"0"	"0"	"0"	"37"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"11"	"4"	"1"	"311"	"311"	"1"	"0"
"18495"	"4"	"18"	"2"	"2"	"380"	"3"	"86"	"0"	"152"	"1"	"1"	"0"	"1"	"0"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"9"	"5"	"1"	"309"	"309"	"1"	"0"
"18496"	"4"	"18"	"2"	"2"	"378"	"1"	"65"	"1"	"160"	"2"	"0"	"0"	"2"	"1"	"59"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"14"	"3"	"1"	"310"	"310"	"1"	"0"
"18497"	"4"	"18"	"2"	"2"	"380"	"0"	"87"	"0"	"147"	"5"	"0"	"0"	"0"	"0"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"9"	"0"	"296"	"296"	"1"	"0"
"18498"	"4"	"18"	"2"	"2"	"380"	"0"	"96"	"0"	"131"	"3"	"0"	"0"	"0"	"0"	"36"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"4"	"9"	"0"	"280"	"280"	"1"	"0"
"18499"	"4"	"18"	"2"	"2"	"321"	"0"	"52"	"0"	"133"	"1"	"0"	"0"	"0"	"0"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"5"	"2"	"0"	"229"	"229"	"1"	"0"
"18500"	"4"	"18"	"2"	"2"	"316"	"0"	"61"	"0"	"141"	"2"	"0"	"0"	"0"	"0"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"1"	"0"	"254"	"254"	"1"	"0"
"18501"	"4"	"18"	"2"	"2"	"377"	"1"	"79"	"0"	"100"	"9"	"1"	"1"	"2"	"0"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"16"	"6"	"0"	"261"	"261"	"1"	"0"
"18502"	"4"	"18"	"2"	"2"	"390"	"2"	"72"	"0"	"101"	"3"	"0"	"4"	"1"	"0"	"48"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"21"	"2"	"0"	"256"	"256"	"1"	"0"
"18503"	"4"	"18"	"2"	"2"	"313"	"0"	"55"	"0"	"80"	"5"	"1"	"2"	"1"	"1"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"7"	"3"	"0"	"190"	"190"	"1"	"0"
"18504"	"4"	"18"	"2"	"2"	"316"	"1"	"67"	"0"	"75"	"5"	"0"	"1"	"0"	"0"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"4"	"4"	"2"	"190"	"190"	"1"	"0"
"18505"	"4"	"18"	"2"	"2"	"596"	"2"	"16"	"0"	"37"	"0"	"3"	"2"	"0"	"0"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"3"	"2"	"0"	"87"	"87"	"1"	"0"
"18506"	"4"	"18"	"2"	"2"	"533"	"1"	"8"	"0"	"26"	"0"	"2"	"1"	"1"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"55"	"5"	"0"	"0"	"60"	"60"	"1"	"0"
"18507"	"4"	"18"	"2"	"2"	"531"	"0"	"7"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"30"	"3"	"2"	"0"	"35"	"35"	"1"	"0"
