"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"COCERNA"	"COCIECH"	"URNG_MAIZ"	"PHG"	"BIEN"	"COCIEAR"	"PODEMOS"	"UNIDOS"	"VAMOS"	"MLP"	"FCN_NACION"	"SEMILLA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15880"	"4"	"15"	"3"	"1"	"380"	"15"	"19"	"34"	"3"	"2"	"2"	"88"	"1"	"6"	"34"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"39"	"2"	"0"	"248"	"248"	"1"	"0"
"15881"	"4"	"15"	"3"	"1"	"244"	"6"	"9"	"8"	"1"	"0"	"5"	"44"	"0"	"7"	"26"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"21"	"1"	"0"	"133"	"133"	"1"	"0"
"15882"	"4"	"15"	"3"	"1"	"243"	"2"	"12"	"19"	"1"	"0"	"3"	"46"	"0"	"3"	"18"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"7"	"2"	"0"	"115"	"115"	"1"	"0"
"15883"	"4"	"15"	"3"	"1"	"381"	"34"	"4"	"28"	"3"	"6"	"1"	"44"	"3"	"0"	"39"	"8"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"176"	"33"	"5"	"0"	"211"	"214"	"0"	"0"
"15884"	"4"	"15"	"3"	"1"	"380"	"46"	"5"	"28"	"4"	"8"	"2"	"44"	"5"	"1"	"42"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"38"	"13"	"0"	"242"	"242"	"1"	"0"
"15885"	"4"	"15"	"3"	"1"	"380"	"26"	"11"	"25"	"3"	"10"	"7"	"61"	"3"	"0"	"48"	"4"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"50"	"6"	"0"	"259"	"259"	"1"	"0"
"15886"	"4"	"15"	"3"	"1"	"316"	"17"	"6"	"20"	"1"	"3"	"3"	"35"	"1"	"1"	"27"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"21"	"1"	"0"	"144"	"144"	"1"	"0"
"15887"	"4"	"15"	"3"	"1"	"316"	"13"	"6"	"18"	"1"	"3"	"2"	"19"	"0"	"2"	"35"	"11"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"9"	"1"	"0"	"123"	"123"	"1"	"0"
"15888"	"4"	"15"	"3"	"2"	"600"	"12"	"15"	"36"	"2"	"6"	"2"	"19"	"2"	"1"	"26"	"7"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"15"	"9"	"0"	"156"	"156"	"1"	"0"
"15889"	"4"	"15"	"3"	"2"	"517"	"5"	"33"	"22"	"3"	"8"	"4"	"15"	"1"	"3"	"27"	"6"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"6"	"2"	"0"	"140"	"140"	"1"	"0"
"15890"	"4"	"15"	"3"	"2"	"516"	"9"	"21"	"19"	"3"	"6"	"2"	"16"	"4"	"0"	"20"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"12"	"3"	"0"	"123"	"123"	"1"	"0"
