"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"VAMOS"	"PC"	"FUERZA"	"CREO"	"VALOR"	"PPT"	"VICTORIA"	"PODEMOS"	"MLP"	"UCN"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16502"	"4"	"16"	"4"	"2"	"392"	"111"	"32"	"8"	"88"	"3"	"2"	"6"	"0"	"1"	"1"	"1"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"6"	"2"	"0"	"275"	"275"	"1"	"0"
"16503"	"4"	"16"	"4"	"2"	"376"	"76"	"41"	"7"	"118"	"0"	"1"	"3"	"1"	"1"	"22"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"16"	"9"	"0"	"306"	"306"	"1"	"0"
"16504"	"4"	"16"	"4"	"2"	"380"	"95"	"51"	"2"	"132"	"0"	"3"	"2"	"1"	"1"	"10"	"6"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"16"	"5"	"0"	"335"	"335"	"1"	"2"
"16505"	"4"	"16"	"4"	"2"	"377"	"99"	"78"	"1"	"115"	"0"	"2"	"8"	"0"	"1"	"7"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"319"	"0"	"7"	"12"	"321"	"326"	"0"	"0"
"16506"	"4"	"16"	"4"	"2"	"380"	"118"	"48"	"2"	"111"	"0"	"0"	"3"	"2"	"1"	"12"	"11"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"0"	"4"	"9"	"332"	"323"	"0"	"0"
"16507"	"4"	"16"	"4"	"2"	"328"	"72"	"38"	"2"	"91"	"1"	"1"	"1"	"0"	"1"	"4"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"4"	"2"	"0"	"229"	"228"	"0"	"1"
"16508"	"4"	"16"	"4"	"2"	"327"	"82"	"39"	"2"	"105"	"0"	"0"	"5"	"0"	"1"	"11"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"3"	"2"	"0"	"256"	"256"	"1"	"0"
"16509"	"4"	"16"	"4"	"2"	"380"	"92"	"55"	"3"	"120"	"1"	"0"	"3"	"0"	"4"	"12"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"6"	"3"	"0"	"312"	"312"	"1"	"0"
"16510"	"4"	"16"	"4"	"2"	"380"	"80"	"64"	"3"	"132"	"4"	"0"	"1"	"0"	"3"	"4"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"14"	"7"	"0"	"327"	"327"	"1"	"0"
"16511"	"4"	"16"	"4"	"2"	"376"	"97"	"83"	"5"	"93"	"4"	"0"	"2"	"0"	"4"	"8"	"6"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"19"	"2"	"0"	"340"	"340"	"1"	"0"
