"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"FUERZA"	"NUEVO_AMANECER_SUMPANGO"	"CCSS"	"PC"	"VAMOS"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4835"	"4"	"2"	"4"	"2"	"400"	"4"	"19"	"8"	"57"	"59"	"53"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"12"	"1"	"0"	"230"	"230"	"1"	"0"
"4836"	"4"	"2"	"4"	"2"	"400"	"7"	"12"	"9"	"65"	"62"	"45"	"14"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"8"	"2"	"0"	"233"	"233"	"1"	"0"
"4837"	"4"	"2"	"4"	"2"	"400"	"3"	"26"	"12"	"102"	"73"	"45"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"6"	"3"	"0"	"288"	"288"	"1"	"0"
"4838"	"4"	"2"	"4"	"2"	"349"	"4"	"26"	"8"	"88"	"73"	"50"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"1"	"1"	"0"	"269"	"269"	"1"	"0"
"4839"	"4"	"2"	"4"	"2"	"354"	"1"	"24"	"12"	"64"	"66"	"52"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"8"	"1"	"0"	"247"	"247"	"1"	"0"
"4840"	"4"	"2"	"4"	"2"	"400"	"49"	"23"	"14"	"49"	"68"	"33"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"19"	"15"	"0"	"273"	"273"	"1"	"0"
"4841"	"4"	"2"	"4"	"2"	"400"	"55"	"29"	"20"	"51"	"51"	"33"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"20"	"7"	"0"	"270"	"270"	"1"	"0"
"4842"	"4"	"2"	"4"	"2"	"400"	"43"	"18"	"19"	"59"	"56"	"34"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"19"	"14"	"0"	"267"	"267"	"1"	"0"
"4843"	"4"	"2"	"4"	"2"	"400"	"70"	"17"	"11"	"61"	"40"	"30"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"28"	"8"	"0"	"270"	"270"	"1"	"0"
"4844"	"4"	"2"	"4"	"2"	"400"	"41"	"31"	"25"	"43"	"65"	"32"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"11"	"8"	"0"	"264"	"264"	"1"	"0"
"4845"	"4"	"2"	"4"	"2"	"400"	"51"	"27"	"9"	"57"	"42"	"35"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"15"	"5"	"0"	"248"	"248"	"1"	"0"
"4846"	"4"	"2"	"4"	"2"	"400"	"52"	"19"	"16"	"43"	"43"	"34"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"0"	"11"	"20"	"227"	"227"	"1"	"0"
"4847"	"4"	"2"	"4"	"2"	"400"	"57"	"14"	"10"	"50"	"50"	"27"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"19"	"8"	"0"	"241"	"241"	"1"	"0"
"4848"	"4"	"2"	"4"	"2"	"325"	"49"	"14"	"5"	"47"	"23"	"28"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"19"	"4"	"0"	"194"	"194"	"1"	"0"
"4849"	"4"	"2"	"4"	"2"	"335"	"44"	"19"	"5"	"43"	"32"	"34"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"14"	"5"	"0"	"202"	"202"	"1"	"0"
"4850"	"4"	"2"	"4"	"2"	"650"	"10"	"21"	"21"	"72"	"85"	"39"	"12"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"15"	"7"	"0"	"291"	"291"	"1"	"0"
"4851"	"4"	"2"	"4"	"2"	"600"	"13"	"22"	"19"	"60"	"105"	"33"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"7"	"9"	"0"	"287"	"287"	"1"	"0"
"4852"	"4"	"2"	"4"	"2"	"505"	"14"	"19"	"20"	"55"	"72"	"29"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"4"	"0"	"230"	"230"	"1"	"0"
"4853"	"4"	"2"	"4"	"2"	"504"	"19"	"15"	"15"	"44"	"60"	"24"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"8"	"4"	"0"	"204"	"204"	"1"	"0"
