"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CRECER"	"URNG_MAIZ"	"FUERZA"	"VALOR"	"UNE"	"VIVA"	"PPT"	"HUGO"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"CREO"	"VICTORIA"	"PHG"	"MLP"	"SEMILLA"	"PODEMOS"	"AL_CAMBIO"	"AVANZA"	"PC"	"UCN"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10040"	"4"	"9"	"20"	"2"	"380"	"4"	"4"	"13"	"42"	"29"	"1"	"1"	"5"	"4"	"24"	"1"	"2"	"1"	"13"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"149"	"33"	"5"	"0"	"186"	"187"	"0"	"0"
"10041"	"4"	"9"	"20"	"2"	"380"	"8"	"10"	"8"	"52"	"25"	"3"	"0"	"9"	"4"	"15"	"1"	"3"	"1"	"8"	"1"	"1"	"0"	"0"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"21"	"9"	"0"	"186"	"186"	"1"	"0"
"10042"	"4"	"9"	"20"	"2"	"380"	"9"	"21"	"6"	"44"	"17"	"5"	"1"	"7"	"3"	"15"	"0"	"0"	"6"	"7"	"0"	"3"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"12"	"8"	"0"	"169"	"169"	"1"	"0"
"10043"	"4"	"9"	"20"	"2"	"380"	"9"	"13"	"8"	"38"	"22"	"3"	"2"	"6"	"1"	"18"	"1"	"2"	"1"	"8"	"1"	"4"	"2"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"16"	"8"	"0"	"171"	"171"	"1"	"0"
"10044"	"4"	"9"	"20"	"2"	"359"	"9"	"21"	"5"	"25"	"28"	"6"	"0"	"3"	"4"	"16"	"1"	"1"	"1"	"7"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"24"	"5"	"0"	"163"	"163"	"1"	"0"
"10045"	"4"	"9"	"20"	"2"	"359"	"9"	"9"	"6"	"40"	"26"	"2"	"0"	"6"	"5"	"15"	"0"	"3"	"3"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"8"	"5"	"0"	"145"	"145"	"1"	"0"
"10046"	"4"	"9"	"20"	"2"	"600"	"20"	"6"	"9"	"15"	"17"	"32"	"4"	"22"	"6"	"12"	"0"	"3"	"1"	"2"	"1"	"2"	"1"	"2"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"15"	"8"	"0"	"189"	"189"	"1"	"0"
"10047"	"4"	"9"	"20"	"2"	"600"	"18"	"10"	"1"	"19"	"27"	"27"	"3"	"34"	"2"	"13"	"0"	"3"	"2"	"5"	"1"	"7"	"0"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"13"	"3"	"0"	"200"	"200"	"1"	"0"
"10048"	"4"	"9"	"20"	"2"	"600"	"19"	"17"	"2"	"14"	"19"	"26"	"0"	"10"	"7"	"9"	"1"	"2"	"1"	"3"	"1"	"3"	"0"	"0"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"10"	"2"	"0"	"155"	"155"	"1"	"0"
"10049"	"4"	"9"	"20"	"2"	"600"	"17"	"19"	"2"	"14"	"10"	"14"	"0"	"17"	"4"	"14"	"0"	"2"	"1"	"3"	"1"	"5"	"0"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"13"	"8"	"0"	"153"	"153"	"1"	"0"
"10050"	"4"	"9"	"20"	"2"	"600"	"18"	"8"	"9"	"23"	"13"	"24"	"3"	"29"	"7"	"12"	"1"	"3"	"3"	"1"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"10"	"4"	"0"	"175"	"175"	"1"	"0"
"10051"	"4"	"9"	"20"	"2"	"600"	"18"	"4"	"4"	"18"	"12"	"30"	"1"	"21"	"7"	"11"	"1"	"5"	"4"	"3"	"1"	"2"	"0"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"13"	"3"	"0"	"167"	"167"	"1"	"0"
"10052"	"4"	"9"	"20"	"2"	"600"	"18"	"4"	"3"	"13"	"22"	"36"	"3"	"40"	"5"	"10"	"0"	"1"	"5"	"2"	"0"	"3"	"0"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"4"	"1"	"0"	"181"	"181"	"1"	"0"
"10053"	"4"	"9"	"20"	"2"	"600"	"12"	"2"	"0"	"8"	"26"	"31"	"4"	"29"	"4"	"12"	"0"	"3"	"3"	"9"	"1"	"3"	"1"	"5"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"11"	"3"	"0"	"172"	"172"	"1"	"0"
"10054"	"4"	"9"	"20"	"2"	"600"	"18"	"4"	"3"	"12"	"22"	"40"	"1"	"26"	"5"	"14"	"0"	"1"	"0"	"3"	"0"	"3"	"3"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"12"	"5"	"0"	"180"	"180"	"1"	"0"
"10055"	"4"	"9"	"20"	"2"	"600"	"16"	"2"	"10"	"16"	"26"	"39"	"3"	"33"	"4"	"10"	"0"	"1"	"1"	"4"	"0"	"2"	"1"	"4"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"11"	"4"	"0"	"197"	"197"	"1"	"0"
"10056"	"4"	"9"	"20"	"2"	"600"	"17"	"2"	"3"	"9"	"12"	"29"	"2"	"19"	"5"	"16"	"0"	"4"	"3"	"6"	"4"	"6"	"0"	"6"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"12"	"4"	"0"	"164"	"164"	"1"	"0"
"10057"	"4"	"9"	"20"	"2"	"600"	"9"	"5"	"3"	"8"	"18"	"24"	"1"	"14"	"4"	"11"	"0"	"4"	"0"	"6"	"1"	"1"	"0"	"5"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"8"	"3"	"469"	"131"	"131"	"1"	"0"
"10058"	"4"	"9"	"20"	"2"	"600"	"9"	"5"	"3"	"7"	"9"	"21"	"1"	"14"	"2"	"11"	"0"	"2"	"2"	"3"	"4"	"2"	"1"	"3"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"12"	"3"	"0"	"119"	"119"	"1"	"0"
"10059"	"4"	"9"	"20"	"2"	"600"	"5"	"2"	"1"	"4"	"14"	"6"	"2"	"8"	"3"	"4"	"1"	"2"	"0"	"3"	"0"	"1"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"4"	"2"	"6"	"70"	"70"	"1"	"0"
"10060"	"4"	"9"	"20"	"2"	"331"	"1"	"1"	"1"	"2"	"2"	"4"	"0"	"2"	"1"	"5"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"23"	"3"	"0"	"0"	"26"	"26"	"1"	"0"
"10061"	"4"	"9"	"20"	"2"	"328"	"2"	"2"	"0"	"1"	"2"	"2"	"1"	"2"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22"	"22"	"1"	"1"	"0"	"24"	"24"	"1"	"0"
