"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VAMOS"	"FCN_NACION"	"UNIONISTA"	"TODOS"	"PAN"	"PC"	"MLP"	"VALOR"	"BIEN"	"PHG"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20374"	"4"	"22"	"1"	"2"	"374"	"1"	"28"	"4"	"20"	"8"	"0"	"1"	"33"	"7"	"33"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"12"	"2"	"0"	"157"	"157"	"1"	"0"
"20375"	"4"	"22"	"1"	"2"	"341"	"1"	"26"	"4"	"12"	"11"	"0"	"1"	"43"	"4"	"48"	"2"	"3"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"4"	"2"	"6"	"170"	"170"	"1"	"0"
"20376"	"4"	"22"	"1"	"2"	"336"	"3"	"47"	"1"	"33"	"9"	"0"	"1"	"27"	"5"	"26"	"2"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"5"	"2"	"7"	"173"	"173"	"1"	"0"
"20377"	"4"	"22"	"1"	"2"	"374"	"4"	"26"	"27"	"44"	"12"	"4"	"5"	"15"	"0"	"24"	"3"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"15"	"4"	"0"	"194"	"194"	"1"	"0"
"20378"	"4"	"22"	"1"	"2"	"376"	"5"	"33"	"23"	"47"	"18"	"2"	"6"	"18"	"1"	"17"	"5"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"10"	"9"	"0"	"209"	"209"	"1"	"0"
"20379"	"4"	"22"	"1"	"2"	"368"	"4"	"29"	"34"	"41"	"21"	"2"	"1"	"14"	"1"	"22"	"2"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"18"	"5"	"0"	"202"	"202"	"1"	"0"
"20380"	"4"	"22"	"1"	"2"	"368"	"5"	"29"	"25"	"33"	"18"	"0"	"2"	"19"	"1"	"26"	"2"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"6"	"6"	"0"	"190"	"190"	"1"	"0"
"20381"	"4"	"22"	"1"	"2"	"381"	"1"	"61"	"11"	"48"	"3"	"1"	"1"	"30"	"3"	"8"	"3"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"27"	"12"	"0"	"217"	"217"	"1"	"0"
"20382"	"4"	"22"	"1"	"2"	"377"	"1"	"51"	"7"	"52"	"2"	"1"	"0"	"43"	"2"	"18"	"11"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"27"	"4"	"0"	"230"	"230"	"1"	"0"
"20383"	"4"	"22"	"1"	"2"	"376"	"1"	"52"	"7"	"51"	"7"	"0"	"3"	"47"	"3"	"11"	"13"	"2"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"34"	"10"	"0"	"256"	"256"	"1"	"0"
"20384"	"4"	"22"	"1"	"2"	"376"	"0"	"52"	"7"	"51"	"6"	"0"	"2"	"56"	"5"	"15"	"12"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"23"	"9"	"0"	"246"	"246"	"1"	"0"
"20385"	"4"	"22"	"1"	"2"	"373"	"1"	"65"	"11"	"43"	"7"	"1"	"1"	"51"	"3"	"12"	"12"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"32"	"9"	"0"	"257"	"257"	"1"	"0"
"20386"	"4"	"22"	"1"	"2"	"373"	"0"	"50"	"15"	"44"	"9"	"1"	"2"	"31"	"5"	"12"	"8"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"22"	"10"	"0"	"223"	"223"	"1"	"0"
"20387"	"4"	"22"	"1"	"2"	"373"	"1"	"39"	"4"	"71"	"5"	"1"	"1"	"36"	"3"	"12"	"9"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"8"	"1"	"0"	"200"	"200"	"1"	"0"
"20388"	"4"	"22"	"1"	"2"	"376"	"1"	"41"	"10"	"59"	"7"	"0"	"0"	"31"	"3"	"12"	"17"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"16"	"8"	"0"	"213"	"213"	"1"	"0"
"20389"	"4"	"22"	"1"	"2"	"376"	"3"	"48"	"11"	"43"	"5"	"2"	"0"	"35"	"5"	"12"	"9"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"28"	"8"	"0"	"215"	"215"	"1"	"0"
