"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"MLP"	"UCN"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5794"	"4"	"3"	"12"	"2"	"398"	"178"	"4"	"10"	"97"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"10"	"5"	"0"	"304"	"304"	"1"	"0"
"5795"	"4"	"3"	"12"	"2"	"401"	"170"	"7"	"11"	"122"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"10"	"1"	"0"	"321"	"321"	"1"	"0"
"5796"	"4"	"3"	"12"	"2"	"396"	"184"	"6"	"5"	"105"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"8"	"8"	"0"	"316"	"316"	"1"	"0"
"5797"	"4"	"3"	"12"	"2"	"398"	"170"	"8"	"6"	"102"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"14"	"6"	"0"	"306"	"306"	"1"	"0"
"5798"	"4"	"3"	"12"	"2"	"400"	"159"	"1"	"3"	"113"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"6"	"6"	"0"	"288"	"288"	"1"	"0"
"5799"	"4"	"3"	"12"	"2"	"398"	"170"	"7"	"6"	"109"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"5"	"2"	"0"	"299"	"299"	"1"	"0"
"5800"	"4"	"3"	"12"	"2"	"396"	"173"	"7"	"2"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"2"	"0"	"0"	"301"	"301"	"1"	"0"
"5801"	"4"	"3"	"12"	"2"	"396"	"166"	"2"	"5"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"4"	"1"	"0"	"295"	"295"	"1"	"0"
"5802"	"4"	"3"	"12"	"2"	"396"	"153"	"3"	"4"	"118"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"2"	"3"	"1"	"283"	"283"	"1"	"0"
"5803"	"4"	"3"	"12"	"2"	"285"	"128"	"1"	"3"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"1"	"3"	"0"	"212"	"212"	"1"	"0"
"5804"	"4"	"3"	"12"	"2"	"281"	"93"	"2"	"14"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"4"	"2"	"0"	"193"	"193"	"1"	"0"
"5805"	"4"	"3"	"12"	"2"	"380"	"186"	"3"	"6"	"90"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"13"	"2"	"0"	"300"	"300"	"1"	"0"
"5806"	"4"	"3"	"12"	"2"	"376"	"182"	"2"	"3"	"90"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"11"	"12"	"0"	"300"	"300"	"1"	"0"
"5807"	"4"	"3"	"12"	"2"	"380"	"176"	"1"	"10"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"7"	"4"	"0"	"290"	"290"	"1"	"0"
"5808"	"4"	"3"	"12"	"2"	"380"	"142"	"2"	"3"	"109"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"7"	"11"	"0"	"274"	"274"	"1"	"0"
"5809"	"4"	"3"	"12"	"2"	"380"	"165"	"1"	"5"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"6"	"0"	"271"	"271"	"1"	"0"
"5810"	"4"	"3"	"12"	"2"	"235"	"92"	"2"	"2"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"2"	"0"	"0"	"171"	"171"	"1"	"0"
"5811"	"4"	"3"	"12"	"2"	"235"	"97"	"0"	"0"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"3"	"0"	"0"	"152"	"152"	"1"	"0"
"5812"	"4"	"3"	"12"	"2"	"380"	"124"	"5"	"22"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"25"	"17"	"0"	"276"	"276"	"1"	"0"
"5813"	"4"	"3"	"12"	"2"	"376"	"102"	"2"	"24"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"29"	"11"	"0"	"260"	"260"	"1"	"0"
"5814"	"4"	"3"	"12"	"2"	"268"	"58"	"2"	"26"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"21"	"6"	"0"	"183"	"183"	"1"	"0"
"5815"	"4"	"3"	"12"	"2"	"268"	"60"	"2"	"18"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"6"	"6"	"0"	"152"	"152"	"1"	"0"
"5816"	"4"	"3"	"12"	"2"	"469"	"92"	"7"	"3"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"14"	"2"	"0"	"193"	"193"	"1"	"0"
"5817"	"4"	"3"	"12"	"2"	"469"	"61"	"5"	"6"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"10"	"5"	"0"	"139"	"139"	"1"	"0"
