"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"WINAQ"	"VAMOS"	"MLP"	"UNE"	"PODEMOS"	"CREO"	"SEMILLA"	"VIVA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11357"	"4"	"11"	"8"	"2"	"213"	"44"	"74"	"2"	"1"	"0"	"4"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"4"	"1"	"0"	"139"	"139"	"1"	"0"
"11358"	"4"	"11"	"8"	"2"	"400"	"61"	"100"	"4"	"5"	"0"	"41"	"10"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"29"	"11"	"0"	"268"	"268"	"1"	"0"
"11359"	"4"	"11"	"8"	"2"	"400"	"76"	"79"	"2"	"8"	"8"	"33"	"14"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"3"	"6"	"25"	"238"	"238"	"1"	"0"
"11360"	"4"	"11"	"8"	"2"	"400"	"81"	"97"	"4"	"7"	"1"	"22"	"12"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"48"	"8"	"0"	"290"	"290"	"1"	"0"
"11361"	"4"	"11"	"8"	"2"	"400"	"71"	"106"	"4"	"8"	"5"	"34"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"38"	"4"	"0"	"282"	"282"	"1"	"0"
"11362"	"4"	"11"	"8"	"2"	"397"	"95"	"98"	"2"	"0"	"2"	"23"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"41"	"8"	"0"	"278"	"278"	"1"	"0"
"11363"	"4"	"11"	"8"	"2"	"400"	"48"	"101"	"3"	"3"	"0"	"23"	"16"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"21"	"6"	"0"	"226"	"226"	"1"	"0"
"11364"	"4"	"11"	"8"	"2"	"400"	"50"	"92"	"3"	"9"	"3"	"25"	"14"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"27"	"8"	"0"	"238"	"238"	"1"	"0"
"11365"	"4"	"11"	"8"	"2"	"226"	"40"	"71"	"4"	"3"	"4"	"14"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"5"	"1"	"0"	"154"	"154"	"1"	"0"
"11366"	"4"	"11"	"8"	"2"	"225"	"39"	"77"	"1"	"6"	"1"	"11"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"7"	"0"	"0"	"150"	"150"	"1"	"0"
"11367"	"4"	"11"	"8"	"2"	"380"	"99"	"80"	"3"	"3"	"3"	"4"	"9"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"32"	"9"	"0"	"247"	"247"	"1"	"0"
"11368"	"4"	"11"	"8"	"2"	"380"	"112"	"100"	"7"	"2"	"2"	"5"	"20"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"20"	"5"	"0"	"282"	"282"	"1"	"0"
"11369"	"4"	"11"	"8"	"2"	"383"	"126"	"89"	"8"	"0"	"5"	"3"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"34"	"5"	"0"	"280"	"280"	"1"	"0"
"11370"	"4"	"11"	"8"	"2"	"299"	"88"	"66"	"5"	"0"	"4"	"2"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"9"	"5"	"0"	"189"	"189"	"1"	"0"
"11371"	"4"	"11"	"8"	"2"	"299"	"77"	"91"	"6"	"0"	"3"	"3"	"11"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"3"	"0"	"0"	"198"	"198"	"1"	"0"
"11372"	"4"	"11"	"8"	"2"	"600"	"30"	"55"	"6"	"5"	"4"	"8"	"5"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"7"	"3"	"0"	"130"	"130"	"1"	"0"
"11373"	"4"	"11"	"8"	"2"	"306"	"17"	"20"	"3"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"48"	"3"	"3"	"0"	"54"	"54"	"1"	"0"
"11374"	"4"	"11"	"8"	"2"	"305"	"14"	"11"	"1"	"0"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"35"	"2"	"3"	"0"	"40"	"40"	"1"	"0"
