"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"EG"	"VAMOS"	"VALOR"	"TODOS"	"SEMILLA"	"COCITRA"	"PC"	"BIEN"	"PODEMOS"	"FCN_NACION"	"PHG"	"MLP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15772"	"4"	"15"	"1"	"2"	"380"	"22"	"5"	"6"	"1"	"35"	"7"	"9"	"0"	"24"	"0"	"33"	"0"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"41"	"10"	"0"	"226"	"226"	"1"	"0"
"15773"	"4"	"15"	"1"	"2"	"378"	"16"	"0"	"6"	"2"	"22"	"6"	"6"	"1"	"14"	"0"	"59"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"24"	"17"	"0"	"193"	"193"	"1"	"0"
"15774"	"4"	"15"	"1"	"2"	"197"	"5"	"1"	"3"	"6"	"17"	"1"	"1"	"0"	"21"	"1"	"10"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"10"	"5"	"0"	"96"	"96"	"1"	"0"
"15775"	"4"	"15"	"1"	"2"	"197"	"16"	"0"	"3"	"2"	"23"	"2"	"2"	"1"	"11"	"0"	"12"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"80"	"80"	"1"	"5"	"0"	"86"	"86"	"1"	"0"
"15776"	"4"	"15"	"1"	"2"	"376"	"35"	"12"	"13"	"4"	"18"	"21"	"11"	"15"	"6"	"0"	"50"	"3"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"40"	"13"	"0"	"274"	"274"	"1"	"0"
"15777"	"4"	"15"	"1"	"2"	"380"	"40"	"7"	"10"	"2"	"12"	"17"	"13"	"11"	"14"	"2"	"68"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"39"	"9"	"0"	"261"	"261"	"1"	"0"
"15778"	"4"	"15"	"1"	"2"	"255"	"26"	"4"	"5"	"1"	"7"	"11"	"6"	"8"	"10"	"0"	"41"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"22"	"4"	"0"	"153"	"153"	"1"	"0"
"15779"	"4"	"15"	"1"	"2"	"255"	"19"	"11"	"3"	"2"	"15"	"8"	"9"	"9"	"6"	"2"	"26"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"4"	"5"	"1"	"126"	"126"	"1"	"0"
"15780"	"4"	"15"	"1"	"2"	"376"	"23"	"4"	"4"	"2"	"26"	"34"	"3"	"18"	"22"	"8"	"75"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"20"	"9"	"0"	"257"	"257"	"1"	"1"
"15781"	"4"	"15"	"1"	"2"	"380"	"27"	"2"	"6"	"1"	"8"	"38"	"5"	"25"	"30"	"4"	"73"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"27"	"10"	"0"	"276"	"276"	"1"	"0"
"15782"	"4"	"15"	"1"	"2"	"400"	"33"	"3"	"4"	"2"	"11"	"33"	"2"	"27"	"45"	"4"	"75"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"18"	"7"	"0"	"284"	"284"	"1"	"0"
"15783"	"4"	"15"	"1"	"2"	"352"	"24"	"3"	"4"	"2"	"13"	"28"	"3"	"20"	"9"	"9"	"52"	"18"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"14"	"4"	"0"	"214"	"214"	"1"	"1"
"15784"	"4"	"15"	"1"	"2"	"351"	"29"	"2"	"2"	"0"	"7"	"24"	"3"	"29"	"20"	"3"	"54"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"8"	"2"	"10"	"194"	"194"	"1"	"0"
"15785"	"4"	"15"	"1"	"2"	"600"	"21"	"1"	"13"	"9"	"15"	"17"	"3"	"2"	"8"	"0"	"27"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"12"	"4"	"0"	"137"	"137"	"1"	"0"
"15786"	"4"	"15"	"1"	"2"	"600"	"27"	"1"	"9"	"6"	"11"	"19"	"3"	"10"	"14"	"1"	"27"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"13"	"7"	"0"	"153"	"153"	"1"	"0"
"15787"	"4"	"15"	"1"	"2"	"596"	"24"	"1"	"15"	"16"	"14"	"39"	"4"	"4"	"5"	"1"	"21"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"11"	"4"	"0"	"169"	"169"	"1"	"0"
"15788"	"4"	"15"	"1"	"2"	"349"	"14"	"2"	"6"	"6"	"11"	"11"	"1"	"1"	"8"	"1"	"10"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"75"	"75"	"8"	"3"	"0"	"86"	"86"	"1"	"0"
"15789"	"4"	"15"	"1"	"1"	"348"	"4"	"1"	"1"	"3"	"4"	"9"	"1"	"1"	"4"	"0"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"36"	"36"	"2"	"1"	"0"	"39"	"39"	"1"	"0"
