"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"MLP"	"TUC"	"WINAQ"	"PHG"	"SEMILLA"	"PAN"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7683"	"4"	"6"	"9"	"2"	"380"	"39"	"157"	"16"	"89"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"14"	"2"	"0"	"323"	"323"	"1"	"0"
"7684"	"4"	"6"	"9"	"2"	"380"	"50"	"151"	"14"	"93"	"0"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"7"	"3"	"0"	"327"	"327"	"1"	"0"
"7685"	"4"	"6"	"9"	"2"	"380"	"36"	"140"	"9"	"85"	"1"	"5"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"9"	"5"	"0"	"296"	"296"	"1"	"0"
"7686"	"4"	"6"	"9"	"2"	"380"	"59"	"133"	"19"	"70"	"0"	"6"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"8"	"7"	"0"	"308"	"308"	"1"	"0"
"7687"	"4"	"6"	"9"	"2"	"213"	"27"	"93"	"8"	"56"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"1"	"0"	"0"	"188"	"188"	"1"	"0"
"7688"	"4"	"6"	"9"	"2"	"212"	"34"	"90"	"4"	"50"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"0"	"1"	"0"	"183"	"183"	"1"	"0"
"7689"	"4"	"6"	"9"	"2"	"380"	"72"	"111"	"2"	"23"	"4"	"8"	"0"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"5"	"0"	"252"	"252"	"1"	"0"
"7690"	"4"	"6"	"9"	"2"	"382"	"94"	"119"	"3"	"34"	"0"	"6"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"2"	"0"	"280"	"280"	"1"	"0"
"7691"	"4"	"6"	"9"	"2"	"379"	"86"	"119"	"2"	"33"	"3"	"14"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"5"	"0"	"282"	"282"	"1"	"0"
"7692"	"4"	"6"	"9"	"2"	"380"	"71"	"111"	"1"	"32"	"0"	"6"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"17"	"2"	"0"	"244"	"244"	"1"	"0"
