"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"FUERZA"	"EG"	"UNIONISTA"	"BIEN"	"VICTORIA"	"URNG_MAIZ"	"LIBRE"	"WINAQ"	"VIVA"	"PAN"	"SEMILLA"	"PPT"	"PHG"	"UCN"	"CONVERGENCIA"	"AVANZA"	"UNE"	"VALOR"	"UNIDOS"	"PODEMOS"	"CREO"	"PC"	"MLP"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3856"	"4"	"1"	"15"	"1"	"400"	"27"	"8"	"20"	"4"	"10"	"10"	"34"	"5"	"2"	"3"	"11"	"7"	"5"	"0"	"2"	"3"	"0"	"3"	"22"	"8"	"1"	"0"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"13"	"1"	"0"	"209"	"209"	"1"	"0"
"3857"	"4"	"1"	"15"	"1"	"392"	"24"	"12"	"27"	"1"	"8"	"8"	"60"	"1"	"2"	"2"	"7"	"2"	"2"	"0"	"5"	"2"	"0"	"1"	"18"	"8"	"0"	"0"	"5"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"7"	"4"	"0"	"215"	"215"	"1"	"0"
"3858"	"4"	"1"	"15"	"2"	"400"	"24"	"9"	"18"	"1"	"7"	"7"	"43"	"3"	"1"	"3"	"11"	"4"	"2"	"4"	"5"	"3"	"0"	"2"	"21"	"2"	"0"	"0"	"3"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"10"	"4"	"0"	"202"	"202"	"1"	"0"
"3859"	"4"	"1"	"15"	"1"	"396"	"26"	"5"	"18"	"3"	"9"	"12"	"32"	"0"	"3"	"3"	"11"	"7"	"2"	"1"	"1"	"4"	"0"	"4"	"23"	"0"	"0"	"0"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"10"	"3"	"1"	"194"	"194"	"1"	"0"
"3860"	"4"	"1"	"15"	"1"	"400"	"19"	"15"	"20"	"2"	"11"	"19"	"40"	"1"	"3"	"3"	"8"	"7"	"2"	"0"	"1"	"3"	"0"	"2"	"18"	"5"	"0"	"0"	"2"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"13"	"4"	"0"	"209"	"209"	"1"	"0"
"3861"	"4"	"1"	"15"	"2"	"400"	"19"	"11"	"22"	"0"	"4"	"11"	"34"	"2"	"6"	"6"	"8"	"10"	"1"	"0"	"2"	"8"	"0"	"1"	"14"	"3"	"0"	"0"	"5"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"9"	"4"	"0"	"196"	"196"	"1"	"0"
"3862"	"4"	"1"	"15"	"1"	"400"	"16"	"12"	"17"	"1"	"10"	"10"	"33"	"1"	"2"	"1"	"7"	"4"	"4"	"4"	"3"	"6"	"0"	"1"	"24"	"5"	"0"	"1"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"13"	"3"	"0"	"194"	"194"	"1"	"0"
"3863"	"4"	"1"	"15"	"2"	"400"	"17"	"9"	"26"	"3"	"8"	"21"	"45"	"3"	"2"	"2"	"15"	"10"	"6"	"1"	"8"	"2"	"0"	"1"	"18"	"0"	"0"	"0"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"6"	"2"	"0"	"218"	"218"	"1"	"0"
"3864"	"4"	"1"	"15"	"2"	"400"	"30"	"6"	"30"	"2"	"20"	"13"	"29"	"1"	"3"	"9"	"6"	"6"	"3"	"0"	"4"	"1"	"0"	"4"	"22"	"2"	"1"	"0"	"3"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"6"	"1"	"0"	"228"	"228"	"1"	"0"
"3865"	"4"	"1"	"15"	"1"	"400"	"36"	"0"	"28"	"5"	"17"	"9"	"41"	"0"	"3"	"10"	"10"	"2"	"9"	"0"	"17"	"1"	"1"	"4"	"11"	"5"	"0"	"0"	"7"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"259"	"242"	"6"	"1"	"0"	"266"	"249"	"0"	"0"
"3866"	"4"	"1"	"15"	"1"	"400"	"18"	"7"	"33"	"4"	"12"	"7"	"53"	"3"	"4"	"7"	"4"	"8"	"3"	"2"	"10"	"4"	"1"	"3"	"23"	"5"	"1"	"0"	"8"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"241"	"242"	"1"	"0"	"0"	"242"	"243"	"0"	"0"
"3867"	"4"	"1"	"15"	"2"	"400"	"22"	"5"	"17"	"1"	"10"	"14"	"16"	"1"	"1"	"8"	"9"	"1"	"3"	"0"	"3"	"2"	"0"	"0"	"24"	"3"	"0"	"0"	"6"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"5"	"1"	"0"	"170"	"170"	"1"	"0"
"3868"	"4"	"1"	"15"	"1"	"325"	"11"	"8"	"22"	"3"	"7"	"5"	"31"	"0"	"0"	"3"	"7"	"5"	"3"	"3"	"8"	"0"	"1"	"1"	"9"	"0"	"0"	"0"	"1"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"5"	"0"	"0"	"152"	"152"	"1"	"0"
"3869"	"4"	"1"	"15"	"2"	"398"	"7"	"29"	"43"	"10"	"8"	"13"	"4"	"2"	"3"	"2"	"7"	"6"	"0"	"1"	"2"	"2"	"0"	"4"	"41"	"2"	"1"	"0"	"0"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"11"	"7"	"0"	"221"	"221"	"1"	"0"
"3870"	"4"	"1"	"15"	"2"	"243"	"10"	"25"	"42"	"10"	"9"	"9"	"3"	"3"	"6"	"2"	"18"	"4"	"6"	"0"	"2"	"0"	"3"	"0"	"39"	"3"	"0"	"0"	"5"	"16"	"7"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"11"	"9"	"1"	"242"	"242"	"1"	"0"
"3871"	"4"	"1"	"15"	"2"	"396"	"9"	"25"	"46"	"6"	"13"	"3"	"2"	"3"	"7"	"1"	"14"	"8"	"2"	"0"	"5"	"5"	"0"	"2"	"33"	"3"	"0"	"1"	"4"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"12"	"8"	"0"	"237"	"237"	"1"	"0"
"3872"	"4"	"1"	"15"	"2"	"398"	"12"	"31"	"32"	"11"	"9"	"14"	"5"	"0"	"10"	"1"	"10"	"8"	"2"	"0"	"5"	"5"	"1"	"0"	"42"	"3"	"0"	"0"	"6"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"8"	"6"	"0"	"245"	"245"	"1"	"0"
"3873"	"4"	"1"	"15"	"2"	"398"	"12"	"34"	"39"	"14"	"16"	"8"	"4"	"4"	"9"	"4"	"14"	"4"	"1"	"0"	"4"	"3"	"1"	"3"	"43"	"2"	"0"	"0"	"4"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"13"	"4"	"0"	"263"	"263"	"1"	"0"
"3874"	"4"	"1"	"15"	"2"	"400"	"10"	"17"	"52"	"8"	"9"	"11"	"2"	"1"	"6"	"0"	"14"	"6"	"2"	"0"	"6"	"1"	"0"	"3"	"46"	"2"	"0"	"0"	"4"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"11"	"7"	"0"	"230"	"230"	"1"	"0"
"3875"	"4"	"1"	"15"	"2"	"400"	"21"	"21"	"48"	"10"	"14"	"8"	"2"	"2"	"10"	"0"	"8"	"4"	"3"	"0"	"3"	"3"	"1"	"3"	"40"	"4"	"1"	"0"	"1"	"19"	"5"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"8"	"1"	"0"	"240"	"240"	"1"	"0"
"3876"	"4"	"1"	"15"	"2"	"400"	"17"	"25"	"43"	"9"	"12"	"9"	"3"	"3"	"3"	"1"	"9"	"2"	"3"	"1"	"6"	"1"	"1"	"3"	"35"	"5"	"0"	"1"	"3"	"19"	"5"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"5"	"0"	"0"	"224"	"224"	"1"	"0"
"3877"	"4"	"1"	"15"	"2"	"394"	"16"	"27"	"44"	"4"	"16"	"7"	"3"	"4"	"2"	"4"	"12"	"3"	"3"	"0"	"4"	"2"	"0"	"2"	"39"	"3"	"0"	"1"	"2"	"21"	"6"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"8"	"3"	"0"	"236"	"236"	"1"	"0"
"3878"	"4"	"1"	"15"	"2"	"396"	"17"	"25"	"47"	"5"	"13"	"6"	"3"	"0"	"5"	"4"	"17"	"6"	"3"	"0"	"2"	"4"	"1"	"3"	"42"	"4"	"1"	"0"	"1"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"2"	"0"	"234"	"234"	"1"	"0"
