"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"BIEN"	"FUERZA"	"PPT"	"WINAQ_URNG"	"PC"	"VALOR"	"MLP"	"UCN"	"FCN_NACION"	"EG"	"UNIDOS"	"SEMILLA"	"VAMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11841"	"4"	"12"	"6"	"2"	"0"	"46"	"3"	"100"	"8"	"0"	"0"	"0"	"1"	"5"	"0"	"0"	"48"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"28"	"13"	"0"	"260"	"260"	"1"	"0"
"11842"	"4"	"12"	"6"	"2"	"0"	"57"	"5"	"109"	"8"	"0"	"0"	"5"	"2"	"3"	"4"	"2"	"35"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"23"	"10"	"0"	"272"	"272"	"1"	"0"
"11843"	"4"	"12"	"6"	"2"	"380"	"26"	"2"	"83"	"9"	"0"	"1"	"3"	"4"	"5"	"1"	"2"	"20"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"10"	"10"	"0"	"185"	"185"	"1"	"0"
"11844"	"4"	"12"	"6"	"2"	"0"	"15"	"4"	"50"	"2"	"0"	"1"	"2"	"1"	"3"	"0"	"0"	"13"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"12"	"3"	"1"	"111"	"110"	"0"	"0"
"11845"	"4"	"12"	"6"	"2"	"194"	"23"	"1"	"57"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"16"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"2"	"1"	"0"	"111"	"111"	"1"	"0"
"11846"	"4"	"12"	"6"	"2"	"380"	"15"	"8"	"30"	"6"	"1"	"11"	"6"	"5"	"8"	"0"	"1"	"45"	"0"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"23"	"14"	"0"	"186"	"186"	"1"	"0"
"11847"	"4"	"12"	"6"	"2"	"380"	"23"	"6"	"30"	"17"	"2"	"8"	"4"	"6"	"4"	"4"	"0"	"45"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"39"	"17"	"0"	"216"	"216"	"1"	"0"
"11848"	"4"	"12"	"6"	"2"	"380"	"19"	"8"	"55"	"5"	"0"	"5"	"2"	"15"	"12"	"4"	"1"	"32"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"15"	"25"	"0"	"206"	"206"	"1"	"0"
"11849"	"4"	"12"	"6"	"2"	"379"	"18"	"10"	"23"	"5"	"0"	"2"	"4"	"3"	"5"	"0"	"0"	"37"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"14"	"8"	"0"	"137"	"137"	"1"	"0"
"11850"	"4"	"12"	"6"	"2"	"206"	"9"	"7"	"29"	"2"	"0"	"3"	"2"	"3"	"4"	"0"	"0"	"23"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"85"	"85"	"2"	"3"	"0"	"90"	"90"	"1"	"0"
"11851"	"4"	"12"	"6"	"2"	"203"	"5"	"3"	"27"	"4"	"1"	"4"	"1"	"5"	"0"	"0"	"2"	"21"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"7"	"7"	"0"	"90"	"90"	"1"	"0"
"11852"	"4"	"12"	"6"	"2"	"380"	"36"	"12"	"51"	"36"	"0"	"2"	"8"	"1"	"4"	"0"	"3"	"25"	"2"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"26"	"11"	"0"	"239"	"239"	"1"	"0"
"11853"	"4"	"12"	"6"	"2"	"380"	"26"	"3"	"64"	"23"	"0"	"4"	"1"	"2"	"5"	"0"	"1"	"28"	"1"	"5"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"21"	"15"	"0"	"222"	"222"	"1"	"0"
