"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"VIVA"	"CONVERGENCIA"	"VAMOS"	"URNG_MAIZ"	"LIBRE"	"PC"	"TODOS"	"JPU"	"MLP"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15386"	"4"	"14"	"15"	"2"	"387"	"160"	"0"	"69"	"3"	"1"	"1"	"0"	"16"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"6"	"0"	"275"	"275"	"1"	"0"
"15387"	"4"	"14"	"15"	"2"	"354"	"132"	"0"	"65"	"3"	"0"	"3"	"0"	"14"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"19"	"12"	"0"	"254"	"254"	"1"	"0"
"15388"	"4"	"14"	"15"	"2"	"353"	"97"	"2"	"64"	"1"	"2"	"0"	"0"	"12"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"5"	"8"	"0"	"195"	"195"	"1"	"0"
"15389"	"4"	"14"	"15"	"2"	"379"	"137"	"3"	"16"	"8"	"22"	"3"	"1"	"17"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"12"	"22"	"0"	"245"	"245"	"1"	"0"
"15390"	"4"	"14"	"15"	"2"	"380"	"149"	"3"	"26"	"8"	"22"	"1"	"0"	"17"	"0"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"30"	"115"	"0"	"380"	"380"	"1"	"0"
"15391"	"4"	"14"	"15"	"2"	"380"	"127"	"3"	"15"	"6"	"31"	"2"	"0"	"13"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"38"	"16"	"0"	"257"	"257"	"1"	"0"
"15392"	"4"	"14"	"15"	"2"	"380"	"104"	"4"	"34"	"7"	"39"	"3"	"0"	"19"	"2"	"9"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"33"	"12"	"0"	"272"	"272"	"1"	"0"
"15393"	"4"	"14"	"15"	"2"	"380"	"109"	"4"	"12"	"13"	"59"	"0"	"1"	"12"	"0"	"5"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"23"	"6"	"0"	"256"	"256"	"1"	"0"
"15394"	"4"	"14"	"15"	"2"	"380"	"115"	"3"	"28"	"13"	"15"	"0"	"0"	"12"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"14"	"10"	"0"	"218"	"219"	"0"	"0"
"15395"	"4"	"14"	"15"	"2"	"316"	"82"	"0"	"14"	"8"	"18"	"2"	"0"	"17"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"12"	"10"	"0"	"170"	"170"	"1"	"0"
"15396"	"4"	"14"	"15"	"2"	"316"	"89"	"5"	"20"	"10"	"16"	"1"	"0"	"19"	"1"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"7"	"9"	"0"	"185"	"185"	"1"	"0"
"15397"	"4"	"14"	"15"	"2"	"380"	"97"	"3"	"16"	"3"	"5"	"4"	"16"	"26"	"3"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"7"	"2"	"0"	"190"	"190"	"1"	"0"
"15398"	"4"	"14"	"15"	"2"	"380"	"85"	"10"	"15"	"2"	"6"	"4"	"18"	"18"	"6"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"9"	"5"	"0"	"185"	"185"	"1"	"0"
"15399"	"4"	"14"	"15"	"2"	"380"	"121"	"10"	"16"	"2"	"0"	"3"	"15"	"15"	"4"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"20"	"14"	"0"	"231"	"231"	"1"	"0"
"15400"	"4"	"14"	"15"	"2"	"380"	"85"	"7"	"11"	"4"	"1"	"4"	"12"	"27"	"7"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"15"	"15"	"0"	"200"	"200"	"1"	"0"
"15401"	"4"	"14"	"15"	"2"	"380"	"78"	"6"	"11"	"2"	"8"	"4"	"12"	"32"	"12"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"27"	"8"	"0"	"209"	"209"	"1"	"0"
"15402"	"4"	"14"	"15"	"2"	"380"	"119"	"8"	"7"	"1"	"4"	"0"	"14"	"16"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"12"	"12"	"0"	"204"	"204"	"1"	"0"
"15403"	"4"	"14"	"15"	"2"	"380"	"109"	"15"	"8"	"0"	"2"	"3"	"5"	"27"	"3"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"5"	"0"	"0"	"193"	"184"	"0"	"0"
"15404"	"4"	"14"	"15"	"2"	"0"	"122"	"6"	"10"	"7"	"4"	"2"	"7"	"18"	"8"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"15"	"13"	"0"	"220"	"220"	"1"	"0"
"15405"	"4"	"14"	"15"	"2"	"380"	"111"	"11"	"12"	"5"	"8"	"4"	"10"	"13"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"12"	"13"	"0"	"205"	"205"	"1"	"0"
"15406"	"4"	"14"	"15"	"2"	"380"	"90"	"4"	"9"	"5"	"5"	"1"	"6"	"14"	"5"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"11"	"14"	"0"	"171"	"171"	"1"	"0"
"15407"	"4"	"14"	"15"	"2"	"215"	"53"	"3"	"11"	"1"	"1"	"1"	"15"	"13"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"5"	"1"	"0"	"110"	"110"	"1"	"0"
"15408"	"4"	"14"	"15"	"2"	"214"	"60"	"2"	"5"	"0"	"3"	"1"	"17"	"16"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"3"	"3"	"0"	"118"	"118"	"1"	"0"
"15409"	"4"	"14"	"15"	"2"	"380"	"85"	"18"	"44"	"1"	"4"	"10"	"0"	"32"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"8"	"12"	"0"	"224"	"224"	"1"	"0"
"15410"	"4"	"14"	"15"	"2"	"380"	"84"	"10"	"27"	"2"	"0"	"8"	"1"	"21"	"2"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"7"	"4"	"0"	"177"	"177"	"1"	"0"
"15411"	"4"	"14"	"15"	"2"	"380"	"84"	"14"	"22"	"4"	"3"	"4"	"2"	"28"	"1"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"13"	"4"	"0"	"191"	"191"	"1"	"0"
"15412"	"4"	"14"	"15"	"2"	"380"	"92"	"10"	"25"	"2"	"5"	"2"	"3"	"8"	"3"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"12"	"38"	"0"	"206"	"206"	"1"	"0"
"15413"	"4"	"14"	"15"	"2"	"377"	"73"	"16"	"38"	"5"	"4"	"5"	"2"	"20"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"18"	"15"	"0"	"203"	"203"	"1"	"0"
"15414"	"4"	"14"	"15"	"2"	"380"	"90"	"18"	"31"	"3"	"4"	"5"	"4"	"15"	"3"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"8"	"8"	"0"	"206"	"206"	"1"	"0"
"15415"	"4"	"14"	"15"	"2"	"380"	"109"	"19"	"25"	"2"	"3"	"1"	"1"	"23"	"1"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"11"	"8"	"0"	"215"	"215"	"1"	"0"
"15416"	"4"	"14"	"15"	"2"	"380"	"98"	"15"	"24"	"3"	"4"	"8"	"2"	"30"	"2"	"18"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"11"	"12"	"0"	"230"	"230"	"1"	"0"
