"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"TODOS"	"UNIONISTA"	"VALOR"	"UNE"	"VAMOS"	"PAN"	"LIBRE"	"FCN_NACION"	"UCN"	"VICTORIA"	"SEMILLA"	"PPT"	"PC"	"AVANZA"	"EG"	"VIVA"	"WINAQ_URNG"	"CREO"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4604"	"4"	"1"	"17"	"1"	"372"	"7"	"7"	"114"	"38"	"25"	"5"	"19"	"3"	"3"	"2"	"0"	"3"	"0"	"2"	"1"	"1"	"9"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"256"	"7"	"0"	"0"	"268"	"263"	"0"	"0"
"4605"	"4"	"1"	"17"	"1"	"370"	"6"	"7"	"113"	"26"	"20"	"1"	"26"	"2"	"0"	"9"	"1"	"8"	"0"	"1"	"0"	"2"	"6"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"2"	"0"	"263"	"263"	"1"	"0"
"4606"	"4"	"1"	"17"	"1"	"380"	"5"	"9"	"98"	"18"	"12"	"5"	"24"	"4"	"0"	"7"	"2"	"5"	"0"	"3"	"1"	"1"	"9"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"11"	"3"	"0"	"235"	"235"	"1"	"0"
"4607"	"4"	"1"	"17"	"1"	"376"	"4"	"6"	"93"	"34"	"18"	"6"	"21"	"4"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"5"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"5"	"0"	"0"	"222"	"222"	"1"	"0"
"4608"	"4"	"1"	"17"	"1"	"272"	"5"	"9"	"96"	"25"	"10"	"8"	"13"	"2"	"0"	"1"	"0"	"5"	"0"	"2"	"0"	"1"	"1"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"6"	"0"	"68"	"204"	"204"	"1"	"0"
"4609"	"4"	"1"	"17"	"1"	"275"	"6"	"6"	"85"	"11"	"9"	"1"	"15"	"0"	"2"	"6"	"3"	"3"	"0"	"0"	"1"	"1"	"6"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"3"	"1"	"0"	"173"	"173"	"1"	"0"
"4610"	"4"	"1"	"17"	"1"	"375"	"27"	"10"	"123"	"9"	"38"	"5"	"4"	"1"	"11"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"16"	"3"	"0"	"265"	"265"	"1"	"0"
"4611"	"4"	"1"	"17"	"1"	"375"	"27"	"12"	"115"	"21"	"39"	"2"	"6"	"0"	"8"	"6"	"0"	"3"	"0"	"1"	"1"	"2"	"8"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"16"	"1"	"0"	"279"	"279"	"1"	"0"
"4612"	"4"	"1"	"17"	"1"	"380"	"25"	"18"	"127"	"12"	"38"	"3"	"6"	"1"	"6"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"10"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"8"	"1"	"0"	"268"	"268"	"1"	"0"
"4613"	"4"	"1"	"17"	"1"	"290"	"29"	"4"	"140"	"11"	"38"	"2"	"9"	"1"	"4"	"1"	"0"	"3"	"0"	"2"	"0"	"3"	"8"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"24"	"3"	"0"	"289"	"289"	"1"	"0"
"4614"	"4"	"1"	"17"	"1"	"376"	"27"	"13"	"103"	"15"	"26"	"6"	"4"	"3"	"5"	"4"	"1"	"3"	"0"	"1"	"0"	"2"	"4"	"6"	"5"	"0"	"1"	"3"	"0"	"1"	"0"	"2"	"4"	"6"	"5"	"0"	"228"	"228"	"12"	"1"	"0"	"241"	"241"	"1"	"0"
