"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"VAMOS"	"UCN"	"UNE"	"URNG_MAIZ"	"TODOS"	"VIVA"	"WINAQ"	"FCN_NACION"	"SEMILLA"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"PHG"	"UNIDOS"	"COMITÉ_CÍVICO_EL_CAMPESINO"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15612"	"4"	"14"	"20"	"2"	"397"	"1"	"9"	"8"	"33"	"11"	"3"	"4"	"3"	"9"	"22"	"4"	"5"	"14"	"6"	"4"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"14"	"4"	"0"	"172"	"172"	"1"	"0"
"15613"	"4"	"14"	"20"	"2"	"400"	"8"	"8"	"9"	"22"	"16"	"3"	"5"	"0"	"7"	"23"	"4"	"2"	"29"	"4"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"9"	"2"	"0"	"165"	"165"	"1"	"0"
"15614"	"4"	"14"	"20"	"2"	"400"	"7"	"7"	"8"	"15"	"19"	"5"	"2"	"1"	"8"	"36"	"5"	"3"	"33"	"5"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"166"	"10"	"5"	"0"	"181"	"181"	"0"	"0"
"15615"	"4"	"14"	"20"	"2"	"400"	"3"	"7"	"10"	"26"	"21"	"4"	"5"	"0"	"15"	"34"	"7"	"0"	"31"	"5"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"0"	"2"	"0"	"190"	"190"	"1"	"0"
"15616"	"4"	"14"	"20"	"2"	"360"	"10"	"9"	"5"	"24"	"23"	"3"	"2"	"1"	"5"	"47"	"5"	"0"	"30"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"6"	"0"	"0"	"182"	"182"	"1"	"0"
"15617"	"4"	"14"	"20"	"2"	"360"	"3"	"6"	"4"	"21"	"11"	"5"	"5"	"0"	"10"	"22"	"2"	"2"	"18"	"4"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"7"	"5"	"0"	"136"	"136"	"1"	"0"
"15618"	"4"	"14"	"20"	"2"	"380"	"6"	"19"	"5"	"50"	"4"	"1"	"3"	"0"	"1"	"12"	"2"	"0"	"8"	"9"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"17"	"3"	"0"	"143"	"143"	"1"	"0"
"15619"	"4"	"14"	"20"	"2"	"380"	"2"	"13"	"1"	"33"	"3"	"2"	"7"	"0"	"1"	"9"	"3"	"1"	"5"	"6"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"14"	"7"	"0"	"114"	"114"	"1"	"0"
"15620"	"4"	"14"	"20"	"2"	"298"	"4"	"8"	"2"	"34"	"3"	"1"	"5"	"0"	"0"	"2"	"0"	"4"	"13"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"84"	"83"	"14"	"9"	"0"	"107"	"106"	"0"	"0"
"15621"	"4"	"14"	"20"	"2"	"298"	"0"	"7"	"1"	"23"	"2"	"0"	"4"	"1"	"0"	"5"	"1"	"1"	"8"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"14"	"6"	"0"	"81"	"81"	"1"	"0"
"15622"	"4"	"14"	"20"	"2"	"380"	"3"	"19"	"3"	"82"	"4"	"3"	"6"	"4"	"4"	"9"	"9"	"0"	"25"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"16"	"9"	"0"	"207"	"207"	"1"	"0"
"15623"	"4"	"14"	"20"	"2"	"380"	"0"	"14"	"4"	"83"	"6"	"3"	"11"	"0"	"10"	"3"	"8"	"1"	"27"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"28"	"9"	"1"	"223"	"222"	"0"	"0"
"15624"	"4"	"14"	"20"	"2"	"380"	"1"	"8"	"1"	"66"	"12"	"13"	"9"	"2"	"13"	"12"	"4"	"1"	"25"	"1"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"24"	"8"	"0"	"225"	"225"	"1"	"0"
"15625"	"4"	"14"	"20"	"2"	"380"	"2"	"9"	"3"	"73"	"7"	"4"	"4"	"1"	"15"	"10"	"6"	"1"	"39"	"1"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"12"	"10"	"0"	"214"	"214"	"1"	"0"
"15626"	"4"	"14"	"20"	"2"	"381"	"2"	"19"	"2"	"52"	"3"	"7"	"5"	"0"	"5"	"4"	"9"	"1"	"18"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"139"	"10"	"9"	"0"	"159"	"158"	"0"	"0"
"15627"	"4"	"14"	"20"	"2"	"377"	"8"	"19"	"3"	"71"	"5"	"7"	"7"	"1"	"13"	"5"	"5"	"2"	"20"	"2"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"19"	"7"	"0"	"216"	"216"	"1"	"0"
"15628"	"4"	"14"	"20"	"2"	"376"	"1"	"10"	"1"	"70"	"5"	"7"	"5"	"0"	"10"	"10"	"9"	"0"	"19"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"16"	"7"	"0"	"186"	"186"	"1"	"0"
