"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"CREO"	"LIBRE"	"VIVA"	"URNG_MAIZ"	"PHG"	"TODOS"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"MLP"	"VICTORIA"	"PC"	"FCN_NACION"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12184"	"4"	"12"	"13"	"2"	"400"	"41"	"68"	"63"	"0"	"2"	"3"	"1"	"15"	"3"	"3"	"1"	"2"	"0"	"2"	"1"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"8"	"2"	"1"	"225"	"225"	"1"	"1"
"12185"	"4"	"12"	"13"	"2"	"400"	"37"	"73"	"46"	"2"	"0"	"1"	"2"	"13"	"3"	"3"	"0"	"3"	"0"	"2"	"1"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"6"	"2"	"1"	"204"	"204"	"1"	"0"
"12186"	"4"	"12"	"13"	"2"	"400"	"46"	"69"	"55"	"0"	"0"	"5"	"2"	"8"	"0"	"2"	"2"	"3"	"1"	"0"	"0"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"5"	"3"	"0"	"212"	"212"	"1"	"0"
"12187"	"4"	"12"	"13"	"2"	"314"	"50"	"67"	"41"	"0"	"2"	"2"	"4"	"9"	"1"	"3"	"0"	"1"	"0"	"1"	"0"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"3"	"0"	"0"	"195"	"195"	"1"	"0"
"12188"	"4"	"12"	"13"	"2"	"314"	"46"	"51"	"50"	"0"	"0"	"2"	"1"	"7"	"6"	"0"	"2"	"3"	"0"	"1"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"1"	"0"	"0"	"179"	"179"	"1"	"0"
"12189"	"4"	"12"	"13"	"2"	"400"	"43"	"55"	"37"	"1"	"1"	"1"	"1"	"31"	"2"	"1"	"2"	"5"	"3"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"21"	"5"	"0"	"214"	"214"	"1"	"0"
"12190"	"4"	"12"	"13"	"2"	"400"	"37"	"75"	"50"	"0"	"0"	"1"	"1"	"43"	"4"	"1"	"3"	"2"	"5"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"17"	"5"	"0"	"250"	"250"	"1"	"0"
"12191"	"4"	"12"	"13"	"2"	"400"	"67"	"47"	"61"	"0"	"2"	"3"	"8"	"23"	"1"	"0"	"2"	"2"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"28"	"4"	"0"	"253"	"253"	"1"	"0"
"12192"	"4"	"12"	"13"	"2"	"400"	"62"	"53"	"63"	"0"	"2"	"0"	"3"	"25"	"1"	"0"	"0"	"2"	"1"	"3"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"20"	"6"	"1"	"248"	"248"	"1"	"0"
"12193"	"4"	"12"	"13"	"2"	"400"	"55"	"85"	"39"	"1"	"3"	"1"	"6"	"31"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"30"	"7"	"0"	"267"	"267"	"1"	"0"
"12194"	"4"	"12"	"13"	"2"	"400"	"71"	"57"	"55"	"1"	"0"	"3"	"2"	"16"	"3"	"4"	"0"	"0"	"2"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"16"	"4"	"0"	"242"	"241"	"0"	"1"
"12195"	"4"	"12"	"13"	"2"	"400"	"56"	"99"	"41"	"0"	"2"	"2"	"3"	"6"	"3"	"3"	"1"	"3"	"0"	"5"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"11"	"0"	"254"	"254"	"1"	"0"
"12196"	"4"	"12"	"13"	"2"	"400"	"60"	"97"	"67"	"2"	"2"	"9"	"4"	"10"	"2"	"4"	"1"	"5"	"1"	"2"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"5"	"0"	"292"	"292"	"1"	"0"
"12197"	"4"	"12"	"13"	"2"	"400"	"47"	"44"	"51"	"0"	"1"	"2"	"1"	"16"	"2"	"0"	"2"	"0"	"2"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"4"	"2"	"0"	"178"	"178"	"1"	"0"
"12198"	"4"	"12"	"13"	"2"	"400"	"45"	"63"	"43"	"0"	"1"	"6"	"5"	"17"	"1"	"3"	"1"	"4"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"17"	"6"	"0"	"217"	"217"	"1"	"0"
"12199"	"4"	"12"	"13"	"2"	"0"	"50"	"58"	"61"	"0"	"0"	"7"	"2"	"13"	"1"	"2"	"2"	"2"	"0"	"4"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"10"	"11"	"0"	"228"	"228"	"1"	"0"
"12200"	"4"	"12"	"13"	"2"	"400"	"41"	"62"	"51"	"1"	"0"	"2"	"3"	"17"	"4"	"1"	"0"	"2"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"16"	"11"	"0"	"217"	"217"	"1"	"0"
