"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"COMITE_CIVICO_EL_CAMINO"	"TRIGO"	"EG"	"CONVERGENCIA"	"BIEN"	"PPT"	"CREO"	"COMITE_CIVICO_NUEVO_AMANECER"	"PHG"	"PC"	"FUERZA"	"PODEMOS"	"VALOR"	"AVANZA"	"MLP"	"FCN_NACION"	"TODOS"	"UNE"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5562"	"4"	"3"	"6"	"2"	"358"	"4"	"54"	"51"	"0"	"10"	"2"	"14"	"6"	"3"	"8"	"3"	"0"	"1"	"5"	"4"	"5"	"1"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"4"	"3"	"7"	"199"	"199"	"1"	"0"
"5563"	"4"	"3"	"6"	"2"	"357"	"3"	"65"	"48"	"5"	"11"	"1"	"15"	"20"	"4"	"2"	"0"	"2"	"0"	"9"	"5"	"2"	"6"	"22"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"3"	"2"	"0"	"231"	"231"	"1"	"0"
"5564"	"4"	"3"	"6"	"2"	"380"	"1"	"17"	"39"	"1"	"0"	"1"	"6"	"2"	"1"	"1"	"7"	"0"	"0"	"10"	"2"	"3"	"1"	"54"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"27"	"11"	"0"	"188"	"188"	"1"	"0"
"5565"	"4"	"3"	"6"	"2"	"380"	"0"	"24"	"31"	"2"	"2"	"5"	"3"	"0"	"0"	"1"	"2"	"0"	"1"	"9"	"3"	"4"	"0"	"56"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"18"	"18"	"0"	"184"	"184"	"1"	"0"
"5566"	"4"	"3"	"6"	"2"	"376"	"5"	"30"	"43"	"1"	"2"	"3"	"7"	"3"	"0"	"11"	"0"	"1"	"2"	"4"	"3"	"6"	"0"	"87"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"17"	"16"	"0"	"244"	"244"	"1"	"0"
"5567"	"4"	"3"	"6"	"2"	"376"	"2"	"45"	"59"	"4"	"2"	"0"	"15"	"2"	"0"	"6"	"1"	"2"	"0"	"8"	"3"	"3"	"0"	"34"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"6"	"10"	"0"	"204"	"204"	"1"	"0"
"5568"	"4"	"3"	"6"	"2"	"380"	"3"	"41"	"55"	"2"	"3"	"2"	"4"	"9"	"0"	"3"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"14"	"9"	"0"	"199"	"199"	"1"	"0"
"5569"	"4"	"3"	"6"	"2"	"380"	"0"	"36"	"43"	"0"	"2"	"2"	"7"	"4"	"1"	"1"	"3"	"1"	"0"	"13"	"2"	"1"	"0"	"47"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"10"	"12"	"0"	"188"	"188"	"1"	"0"
"5570"	"4"	"3"	"6"	"2"	"369"	"2"	"23"	"45"	"0"	"0"	"1"	"6"	"3"	"0"	"3"	"1"	"1"	"1"	"4"	"0"	"1"	"0"	"46"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"9"	"5"	"0"	"152"	"152"	"1"	"0"
"5571"	"4"	"3"	"6"	"2"	"368"	"2"	"25"	"38"	"0"	"1"	"1"	"11"	"1"	"0"	"4"	"1"	"0"	"0"	"12"	"3"	"2"	"0"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"8"	"11"	"0"	"168"	"168"	"1"	"0"
"5572"	"4"	"3"	"6"	"2"	"376"	"8"	"80"	"29"	"3"	"3"	"5"	"28"	"27"	"1"	"4"	"2"	"1"	"2"	"4"	"0"	"2"	"2"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"21"	"7"	"0"	"257"	"257"	"1"	"0"
"5573"	"4"	"3"	"6"	"2"	"380"	"6"	"104"	"44"	"6"	"1"	"4"	"33"	"12"	"0"	"9"	"3"	"3"	"1"	"1"	"0"	"1"	"6"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"15"	"7"	"0"	"281"	"281"	"1"	"0"
"5574"	"4"	"3"	"6"	"2"	"325"	"5"	"53"	"17"	"3"	"1"	"1"	"60"	"5"	"1"	"5"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"28"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"8"	"4"	"0"	"200"	"200"	"1"	"0"
"5575"	"4"	"3"	"6"	"2"	"324"	"14"	"69"	"34"	"3"	"1"	"1"	"44"	"16"	"1"	"6"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"3"	"2"	"0"	"225"	"225"	"1"	"0"
"5576"	"4"	"3"	"6"	"2"	"0"	"18"	"47"	"15"	"5"	"23"	"6"	"17"	"15"	"1"	"5"	"2"	"2"	"2"	"2"	"8"	"7"	"8"	"21"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"16"	"7"	"0"	"241"	"241"	"1"	"0"
"5577"	"4"	"3"	"6"	"2"	"600"	"19"	"29"	"26"	"13"	"11"	"6"	"9"	"21"	"14"	"4"	"2"	"1"	"0"	"4"	"3"	"4"	"2"	"24"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"6"	"12"	"0"	"220"	"220"	"1"	"0"
"5578"	"4"	"3"	"6"	"2"	"600"	"19"	"41"	"15"	"8"	"12"	"4"	"15"	"13"	"4"	"5"	"2"	"4"	"5"	"2"	"1"	"3"	"4"	"16"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"11"	"4"	"0"	"199"	"199"	"1"	"0"
"5579"	"4"	"3"	"6"	"2"	"0"	"49"	"48"	"6"	"9"	"24"	"13"	"15"	"7"	"10"	"10"	"2"	"8"	"10"	"0"	"5"	"1"	"8"	"10"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"17"	"3"	"0"	"271"	"271"	"1"	"0"
"5580"	"4"	"3"	"6"	"2"	"505"	"62"	"34"	"6"	"10"	"16"	"12"	"14"	"7"	"6"	"1"	"4"	"4"	"7"	"2"	"2"	"2"	"8"	"10"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"7"	"3"	"0"	"238"	"238"	"1"	"0"
"5581"	"4"	"3"	"6"	"2"	"503"	"36"	"29"	"6"	"9"	"10"	"5"	"5"	"3"	"4"	"3"	"2"	"3"	"4"	"1"	"2"	"1"	"4"	"12"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"8"	"5"	"0"	"162"	"162"	"1"	"0"
