"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"VICTORIA"	"UCN"	"FCN_NACION"	"MLP"	"BIEN"	"SEMILLA"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18760"	"4"	"18"	"5"	"2"	"380"	"25"	"44"	"32"	"14"	"12"	"6"	"5"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"9"	"6"	"0"	"201"	"201"	"1"	"0"
"18761"	"4"	"18"	"5"	"2"	"329"	"19"	"30"	"25"	"14"	"6"	"3"	"8"	"41"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"19"	"4"	"0"	"170"	"170"	"1"	"0"
"18762"	"4"	"18"	"5"	"2"	"332"	"25"	"39"	"19"	"19"	"4"	"3"	"6"	"69"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"8"	"1"	"0"	"195"	"195"	"1"	"0"
"18763"	"4"	"18"	"5"	"2"	"400"	"15"	"96"	"17"	"59"	"5"	"4"	"12"	"31"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"16"	"7"	"0"	"266"	"266"	"1"	"0"
"18764"	"4"	"18"	"5"	"2"	"400"	"18"	"114"	"20"	"49"	"8"	"2"	"7"	"27"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"5"	"2"	"0"	"254"	"254"	"1"	"0"
"18765"	"4"	"18"	"5"	"2"	"378"	"9"	"97"	"23"	"55"	"10"	"2"	"5"	"30"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"17"	"4"	"0"	"257"	"257"	"1"	"0"
"18766"	"4"	"18"	"5"	"2"	"344"	"23"	"63"	"22"	"49"	"6"	"2"	"8"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"7"	"8"	"0"	"206"	"206"	"1"	"0"
"18767"	"4"	"18"	"5"	"2"	"340"	"13"	"96"	"12"	"51"	"15"	"0"	"10"	"32"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"1"	"0"	"0"	"233"	"233"	"1"	"0"
"18768"	"4"	"18"	"5"	"2"	"400"	"23"	"97"	"18"	"56"	"6"	"0"	"14"	"24"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"4"	"1"	"263"	"263"	"1"	"0"
"18769"	"4"	"18"	"5"	"2"	"396"	"24"	"97"	"30"	"44"	"8"	"0"	"9"	"25"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"12"	"3"	"1"	"256"	"256"	"1"	"0"
