"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"CONVERGENCIA"	"VICTORIA"	"BIEN"	"VAMOS"	"VALOR"	"UNIONISTA"	"PHG"	"FCN_NACION"	"UNE"	"PC"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8687"	"4"	"8"	"2"	"2"	"304"	"4"	"27"	"14"	"25"	"19"	"11"	"4"	"25"	"19"	"35"	"14"	"4"	"3"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"14"	"4"	"3"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"219"	"217"	"2"	"0"	"0"	"219"	"219"	"0"	"0"
"8688"	"4"	"8"	"2"	"2"	"304"	"6"	"15"	"12"	"26"	"17"	"4"	"5"	"23"	"35"	"17"	"16"	"9"	"5"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"6"	"1"	"0"	"207"	"207"	"1"	"0"
"8689"	"4"	"8"	"2"	"2"	"380"	"1"	"4"	"28"	"29"	"9"	"4"	"2"	"27"	"47"	"10"	"2"	"1"	"2"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"8"	"24"	"0"	"212"	"212"	"1"	"0"
"8690"	"4"	"8"	"2"	"2"	"380"	"2"	"16"	"31"	"39"	"5"	"3"	"4"	"32"	"37"	"14"	"2"	"0"	"1"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"27"	"4"	"0"	"231"	"231"	"1"	"0"
"8691"	"4"	"8"	"2"	"2"	"380"	"2"	"13"	"32"	"22"	"8"	"1"	"2"	"38"	"50"	"10"	"3"	"1"	"2"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"16"	"5"	"0"	"229"	"229"	"1"	"0"
"8692"	"4"	"8"	"2"	"2"	"380"	"1"	"12"	"41"	"36"	"11"	"1"	"0"	"26"	"36"	"7"	"5"	"2"	"1"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"28"	"18"	"0"	"242"	"242"	"1"	"0"
"8693"	"4"	"8"	"2"	"2"	"380"	"1"	"9"	"24"	"27"	"6"	"3"	"0"	"33"	"68"	"18"	"6"	"1"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"209"	"10"	"12"	"0"	"232"	"231"	"0"	"0"
"8694"	"4"	"8"	"2"	"2"	"377"	"9"	"12"	"20"	"22"	"2"	"2"	"1"	"35"	"61"	"5"	"4"	"7"	"0"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"28"	"8"	"146"	"231"	"231"	"1"	"0"
"8695"	"4"	"8"	"2"	"2"	"380"	"15"	"8"	"16"	"36"	"3"	"4"	"2"	"36"	"55"	"12"	"2"	"4"	"1"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"26"	"9"	"0"	"250"	"250"	"1"	"0"
"8696"	"4"	"8"	"2"	"2"	"380"	"5"	"9"	"30"	"21"	"3"	"1"	"3"	"81"	"45"	"8"	"5"	"1"	"0"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"0"	"17"	"15"	"253"	"253"	"1"	"0"
