"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"UCN"	"TODOS"	"EG"	"SEMILLA"	"VIVA"	"FCN_NACION"	"PODEMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10903"	"4"	"10"	"20"	"2"	"400"	"10"	"132"	"13"	"31"	"4"	"1"	"1"	"55"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"7"	"0"	"268"	"268"	"1"	"0"
"10904"	"4"	"10"	"20"	"2"	"398"	"16"	"104"	"25"	"45"	"5"	"0"	"0"	"52"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"8"	"1"	"0"	"259"	"259"	"1"	"0"
"10905"	"4"	"10"	"20"	"2"	"400"	"11"	"113"	"24"	"40"	"5"	"1"	"1"	"60"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"4"	"0"	"0"	"264"	"264"	"1"	"0"
"10906"	"4"	"10"	"20"	"2"	"400"	"18"	"115"	"23"	"39"	"3"	"0"	"2"	"60"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"13"	"1"	"0"	"281"	"281"	"1"	"0"
"10907"	"4"	"10"	"20"	"2"	"400"	"19"	"110"	"19"	"32"	"8"	"1"	"0"	"66"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"2"	"0"	"277"	"277"	"1"	"0"
"10908"	"4"	"10"	"20"	"2"	"400"	"13"	"114"	"19"	"27"	"2"	"1"	"0"	"60"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"6"	"5"	"0"	"250"	"250"	"1"	"0"
"10909"	"4"	"10"	"20"	"2"	"400"	"28"	"118"	"16"	"19"	"2"	"1"	"0"	"81"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"8"	"0"	"0"	"277"	"277"	"1"	"0"
"10910"	"4"	"10"	"20"	"2"	"307"	"14"	"111"	"22"	"31"	"3"	"0"	"1"	"52"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"0"	"2"	"0"	"240"	"240"	"1"	"0"
"10911"	"4"	"10"	"20"	"2"	"307"	"15"	"104"	"18"	"19"	"4"	"0"	"0"	"37"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"1"	"0"	"208"	"208"	"1"	"0"
"10912"	"4"	"10"	"20"	"2"	"396"	"19"	"95"	"17"	"29"	"3"	"1"	"0"	"51"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"26"	"10"	"1"	"263"	"263"	"1"	"0"
"10913"	"4"	"10"	"20"	"2"	"400"	"14"	"107"	"18"	"54"	"2"	"2"	"2"	"58"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"7"	"0"	"286"	"286"	"1"	"0"
"10914"	"4"	"10"	"20"	"2"	"400"	"23"	"116"	"20"	"42"	"2"	"0"	"1"	"64"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"97"	"7"	"23"	"377"	"377"	"1"	"0"
