"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"BIEN"	"PC"	"VAMOS"	"CREO"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"VIVA"	"MLP"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5419"	"4"	"3"	"4"	"2"	"394"	"98"	"10"	"40"	"64"	"3"	"5"	"6"	"7"	"33"	"5"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"4"	"0"	"298"	"298"	"1"	"0"
"5420"	"4"	"3"	"4"	"2"	"396"	"92"	"17"	"37"	"62"	"2"	"7"	"16"	"5"	"21"	"7"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"5"	"2"	"0"	"295"	"295"	"1"	"0"
"5421"	"4"	"3"	"4"	"2"	"400"	"91"	"12"	"53"	"55"	"5"	"8"	"8"	"4"	"25"	"5"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"2"	"1"	"0"	"280"	"280"	"1"	"0"
"5422"	"4"	"3"	"4"	"2"	"396"	"100"	"13"	"43"	"61"	"9"	"6"	"13"	"3"	"26"	"6"	"5"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"4"	"4"	"0"	"311"	"311"	"1"	"0"
"5423"	"4"	"3"	"4"	"2"	"393"	"69"	"10"	"58"	"69"	"7"	"11"	"12"	"13"	"23"	"6"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"7"	"3"	"0"	"303"	"303"	"1"	"0"
"5424"	"4"	"3"	"4"	"2"	"396"	"94"	"5"	"63"	"47"	"2"	"14"	"18"	"5"	"27"	"8"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"2"	"3"	"0"	"301"	"301"	"1"	"0"
"5425"	"4"	"3"	"4"	"2"	"396"	"84"	"17"	"44"	"60"	"2"	"12"	"7"	"3"	"25"	"5"	"6"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"5"	"3"	"0"	"292"	"292"	"1"	"0"
"5426"	"4"	"3"	"4"	"2"	"391"	"76"	"15"	"59"	"64"	"7"	"5"	"13"	"3"	"33"	"6"	"7"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"3"	"2"	"0"	"307"	"307"	"1"	"0"
"5427"	"4"	"3"	"4"	"2"	"400"	"74"	"8"	"59"	"73"	"7"	"7"	"11"	"3"	"25"	"13"	"7"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"9"	"1"	"0"	"315"	"315"	"1"	"0"
"5428"	"4"	"3"	"4"	"2"	"394"	"81"	"8"	"33"	"64"	"6"	"7"	"14"	"5"	"26"	"6"	"9"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"7"	"5"	"0"	"289"	"289"	"1"	"0"
