"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"FCN_NACION"	"UNE"	"PC"	"VIVA"	"TODOS"	"PPT"	"VICTORIA"	"MLP"	"UCN"	"VAMOS"	"BIEN"	"VALOR"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16386"	"4"	"16"	"2"	"2"	"348"	"27"	"25"	"21"	"47"	"6"	"127"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"12"	"1"	"0"	"272"	"272"	"1"	"0"
"16387"	"4"	"16"	"2"	"2"	"347"	"28"	"42"	"21"	"49"	"16"	"123"	"0"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"7"	"3"	"0"	"294"	"294"	"1"	"1"
"16388"	"4"	"16"	"2"	"2"	"396"	"12"	"79"	"9"	"93"	"2"	"85"	"2"	"14"	"1"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"25"	"11"	"0"	"344"	"344"	"1"	"0"
"16389"	"4"	"16"	"2"	"2"	"400"	"14"	"89"	"10"	"108"	"2"	"95"	"2"	"8"	"6"	"0"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"341"	"341"	"14"	"6"	"20"	"361"	"361"	"1"	"0"
"16390"	"4"	"16"	"2"	"2"	"400"	"17"	"60"	"8"	"79"	"1"	"95"	"1"	"18"	"2"	"2"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"19"	"0"	"0"	"312"	"312"	"1"	"1"
"16391"	"4"	"16"	"2"	"2"	"208"	"13"	"28"	"2"	"41"	"1"	"51"	"2"	"9"	"1"	"1"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"11"	"2"	"0"	"168"	"168"	"1"	"0"
"16392"	"4"	"16"	"2"	"2"	"211"	"8"	"37"	"6"	"70"	"0"	"45"	"0"	"3"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"1"	"2"	"0"	"178"	"178"	"1"	"0"
"16393"	"4"	"16"	"2"	"2"	"400"	"21"	"37"	"11"	"70"	"2"	"122"	"2"	"4"	"1"	"5"	"4"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"26"	"4"	"0"	"327"	"327"	"1"	"0"
"16394"	"4"	"16"	"2"	"2"	"400"	"14"	"50"	"17"	"74"	"2"	"128"	"0"	"1"	"2"	"1"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"19"	"3"	"0"	"329"	"329"	"1"	"0"
"16395"	"4"	"16"	"2"	"2"	"400"	"33"	"33"	"7"	"80"	"0"	"154"	"2"	"10"	"5"	"0"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"332"	"332"	"26"	"6"	"0"	"364"	"364"	"1"	"0"
"16396"	"4"	"16"	"2"	"2"	"399"	"21"	"42"	"6"	"62"	"0"	"155"	"1"	"4"	"1"	"2"	"2"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"16"	"4"	"0"	"326"	"326"	"1"	"0"
"16397"	"4"	"16"	"2"	"2"	"368"	"33"	"31"	"2"	"68"	"2"	"90"	"0"	"3"	"2"	"1"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"16"	"2"	"0"	"263"	"263"	"1"	"0"
"16398"	"4"	"16"	"2"	"2"	"368"	"31"	"40"	"3"	"51"	"3"	"136"	"0"	"4"	"3"	"1"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"2"	"4"	"0"	"298"	"298"	"1"	"0"
"16399"	"4"	"16"	"2"	"2"	"348"	"6"	"14"	"11"	"26"	"3"	"43"	"3"	"4"	"1"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"7"	"2"	"0"	"126"	"126"	"1"	"0"
