"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"UCN"	"FCN_NACION"	"BIEN"	"PC"	"PAN"	"VALOR"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20723"	"4"	"22"	"11"	"2"	"400"	"92"	"3"	"28"	"208"	"0"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"338"	"338"	"2"	"7"	"0"	"347"	"347"	"1"	"0"
"20724"	"4"	"22"	"11"	"2"	"400"	"97"	"3"	"29"	"190"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"8"	"7"	"2"	"337"	"337"	"1"	"0"
"20725"	"4"	"22"	"11"	"2"	"400"	"96"	"2"	"19"	"176"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"13"	"6"	"0"	"317"	"317"	"1"	"0"
"20726"	"4"	"22"	"11"	"2"	"400"	"82"	"3"	"21"	"150"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"1"	"4"	"6"	"267"	"267"	"1"	"0"
"20727"	"4"	"22"	"11"	"2"	"400"	"98"	"2"	"29"	"158"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"7"	"0"	"0"	"301"	"301"	"1"	"0"
"20728"	"4"	"22"	"11"	"2"	"249"	"85"	"1"	"12"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"2"	"1"	"0"	"209"	"209"	"1"	"0"
"20729"	"4"	"22"	"11"	"2"	"248"	"69"	"2"	"13"	"117"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"0"	"1"	"0"	"204"	"204"	"1"	"0"
"20730"	"4"	"22"	"11"	"2"	"380"	"186"	"0"	"9"	"54"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"2"	"6"	"11"	"262"	"262"	"1"	"0"
"20731"	"4"	"22"	"11"	"2"	"380"	"205"	"2"	"7"	"59"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"1"	"5"	"0"	"284"	"284"	"1"	"0"
"20732"	"4"	"22"	"11"	"2"	"380"	"188"	"1"	"15"	"76"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"8"	"9"	"0"	"299"	"299"	"1"	"0"
"20733"	"4"	"22"	"11"	"2"	"380"	"149"	"0"	"24"	"134"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"12"	"7"	"0"	"329"	"329"	"1"	"0"
"20734"	"4"	"22"	"11"	"2"	"380"	"121"	"4"	"19"	"126"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"13"	"6"	"0"	"290"	"290"	"1"	"0"
"20735"	"4"	"22"	"11"	"2"	"380"	"128"	"2"	"7"	"135"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"11"	"4"	"0"	"289"	"289"	"1"	"0"
"20736"	"4"	"22"	"11"	"2"	"380"	"136"	"0"	"11"	"92"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"4"	"3"	"0"	"250"	"250"	"1"	"0"
