"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"UNE"	"FCN_NACION"	"UCN"	"VICTORIA"	"TODOS"	"UNIDOS"	"BIEN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17489"	"4"	"16"	"17"	"2"	"376"	"33"	"48"	"44"	"28"	"3"	"41"	"4"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"32"	"6"	"0"	"247"	"247"	"1"	"0"
"17490"	"4"	"16"	"17"	"2"	"380"	"31"	"50"	"46"	"25"	"4"	"30"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"28"	"3"	"0"	"225"	"225"	"1"	"0"
"17491"	"4"	"16"	"17"	"2"	"380"	"28"	"44"	"34"	"23"	"1"	"33"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"40"	"5"	"0"	"217"	"217"	"1"	"0"
"17492"	"4"	"16"	"17"	"2"	"265"	"16"	"26"	"33"	"15"	"6"	"15"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"29"	"8"	"0"	"155"	"155"	"1"	"0"
"17493"	"4"	"16"	"17"	"2"	"264"	"20"	"37"	"16"	"20"	"2"	"24"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"10"	"3"	"0"	"137"	"137"	"1"	"0"
"17494"	"4"	"16"	"17"	"2"	"376"	"34"	"58"	"72"	"12"	"6"	"29"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"25"	"3"	"0"	"250"	"250"	"1"	"0"
"17495"	"4"	"16"	"17"	"2"	"376"	"20"	"57"	"69"	"23"	"5"	"39"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"31"	"8"	"0"	"258"	"258"	"1"	"0"
"17496"	"4"	"16"	"17"	"2"	"312"	"17"	"41"	"50"	"19"	"7"	"29"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"24"	"10"	"1"	"207"	"206"	"0"	"0"
"17497"	"4"	"16"	"17"	"2"	"312"	"21"	"45"	"46"	"16"	"2"	"25"	"4"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"1"	"4"	"13"	"170"	"170"	"1"	"0"
"17498"	"4"	"16"	"17"	"2"	"376"	"27"	"77"	"20"	"12"	"7"	"79"	"21"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"21"	"12"	"0"	"278"	"278"	"1"	"0"
"17499"	"4"	"16"	"17"	"2"	"380"	"30"	"66"	"22"	"25"	"9"	"74"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"15"	"6"	"0"	"265"	"265"	"1"	"0"
"17500"	"4"	"16"	"17"	"2"	"376"	"28"	"65"	"19"	"12"	"16"	"63"	"11"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"21"	"5"	"0"	"242"	"242"	"1"	"0"
"17501"	"4"	"16"	"17"	"2"	"267"	"18"	"24"	"22"	"24"	"3"	"63"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"20"	"5"	"0"	"192"	"192"	"1"	"0"
"17502"	"4"	"16"	"17"	"2"	"266"	"18"	"40"	"13"	"15"	"9"	"55"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"8"	"3"	"5"	"172"	"172"	"1"	"1"
"17503"	"4"	"16"	"17"	"2"	"0"	"57"	"89"	"21"	"23"	"2"	"19"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"17"	"8"	"0"	"242"	"242"	"1"	"0"
"17504"	"4"	"16"	"17"	"2"	"380"	"41"	"71"	"34"	"17"	"2"	"21"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"16"	"8"	"0"	"216"	"216"	"1"	"0"
"17505"	"4"	"16"	"17"	"2"	"380"	"34"	"72"	"30"	"20"	"2"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"27"	"10"	"6"	"226"	"226"	"1"	"0"
"17506"	"4"	"16"	"17"	"2"	"380"	"19"	"74"	"36"	"19"	"3"	"25"	"8"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"29"	"4"	"0"	"220"	"220"	"1"	"0"
"17507"	"4"	"16"	"17"	"2"	"287"	"13"	"55"	"24"	"17"	"4"	"26"	"7"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"19"	"0"	"0"	"169"	"169"	"1"	"0"
"17508"	"4"	"16"	"17"	"2"	"0"	"38"	"40"	"15"	"14"	"0"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"10"	"1"	"0"	"153"	"153"	"1"	"0"
