"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"BIEN"	"SEMILLA"	"MLP"	"PODEMOS"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17836"	"4"	"17"	"7"	"2"	"217"	"64"	"76"	"1"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"0"	"1"	"0"	"159"	"159"	"1"	"0"
"17837"	"4"	"17"	"7"	"2"	"216"	"42"	"75"	"1"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"3"	"2"	"0"	"133"	"133"	"1"	"0"
"17838"	"4"	"17"	"7"	"2"	"379"	"93"	"133"	"3"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"3"	"0"	"250"	"250"	"1"	"0"
"17839"	"4"	"17"	"7"	"2"	"380"	"116"	"139"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"13"	"6"	"1"	"283"	"283"	"1"	"0"
"17840"	"4"	"17"	"7"	"2"	"380"	"77"	"154"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"10"	"0"	"259"	"259"	"1"	"0"
"17841"	"4"	"17"	"7"	"2"	"380"	"77"	"145"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"5"	"4"	"0"	"239"	"239"	"1"	"0"
"17842"	"4"	"17"	"7"	"2"	"380"	"96"	"125"	"3"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"17"	"6"	"0"	"256"	"256"	"1"	"0"
"17843"	"4"	"17"	"7"	"2"	"380"	"88"	"128"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"11"	"5"	"0"	"238"	"238"	"1"	"0"
"17844"	"4"	"17"	"7"	"2"	"278"	"67"	"116"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"5"	"4"	"0"	"196"	"196"	"1"	"0"
"17845"	"4"	"17"	"7"	"2"	"277"	"91"	"120"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"2"	"2"	"0"	"219"	"219"	"1"	"0"
"17846"	"4"	"17"	"7"	"2"	"401"	"84"	"115"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"13"	"5"	"0"	"227"	"227"	"1"	"0"
"17847"	"4"	"17"	"7"	"2"	"377"	"110"	"71"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"15"	"6"	"0"	"211"	"211"	"1"	"0"
"17848"	"4"	"17"	"7"	"2"	"238"	"55"	"69"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"13"	"6"	"1"	"150"	"150"	"1"	"0"
"17849"	"4"	"17"	"7"	"2"	"238"	"59"	"79"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"5"	"6"	"0"	"158"	"158"	"1"	"0"
"17850"	"4"	"17"	"7"	"2"	"538"	"34"	"37"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"5"	"2"	"0"	"86"	"86"	"1"	"0"
