"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"WINAQ"	"CREO"	"UNE"	"VALOR"	"PODEMOS"	"BIEN"	"FCN_NACION"	"MLP"	"FUERZA"	"TODOS"	"UNIONISTA"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17239"	"4"	"16"	"13"	"2"	"244"	"63"	"11"	"1"	"46"	"3"	"73"	"2"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"0"	"1"	"0"	"207"	"207"	"1"	"0"
"17240"	"4"	"16"	"13"	"2"	"247"	"61"	"11"	"1"	"33"	"3"	"67"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"5"	"2"	"0"	"195"	"195"	"1"	"0"
"17241"	"4"	"16"	"13"	"2"	"400"	"87"	"31"	"3"	"44"	"0"	"83"	"3"	"34"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"15"	"8"	"0"	"313"	"313"	"1"	"0"
"17242"	"4"	"16"	"13"	"2"	"400"	"71"	"36"	"1"	"47"	"1"	"85"	"0"	"43"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"17"	"5"	"0"	"310"	"310"	"1"	"0"
"17243"	"4"	"16"	"13"	"2"	"400"	"66"	"37"	"1"	"55"	"5"	"92"	"2"	"32"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"18"	"4"	"0"	"318"	"318"	"1"	"0"
"17244"	"4"	"16"	"13"	"2"	"400"	"67"	"38"	"1"	"52"	"0"	"102"	"0"	"41"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"21"	"2"	"73"	"327"	"327"	"1"	"0"
"17245"	"4"	"16"	"13"	"2"	"400"	"81"	"51"	"2"	"38"	"1"	"75"	"0"	"47"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"11"	"8"	"0"	"318"	"318"	"1"	"0"
"17246"	"4"	"16"	"13"	"2"	"400"	"85"	"26"	"3"	"67"	"2"	"67"	"2"	"32"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"11"	"5"	"0"	"307"	"307"	"1"	"0"
"17247"	"4"	"16"	"13"	"2"	"400"	"75"	"59"	"1"	"64"	"3"	"68"	"0"	"34"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"14"	"5"	"0"	"328"	"328"	"1"	"0"
"17248"	"4"	"16"	"13"	"2"	"397"	"65"	"54"	"1"	"38"	"0"	"55"	"0"	"64"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"18"	"7"	"0"	"312"	"312"	"1"	"0"
