"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"UNIDOS"	"EG"	"PPT"	"SEMILLA"	"LIBRE"	"URNG_MAIZ"	"UNIONISTA"	"VICTORIA"	"PHG"	"PC"	"FCN_NACION"	"AVANZA"	"PAN"	"VALOR"	"BIEN"	"CREO"	"UNE"	"MLP"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3354"	"4"	"1"	"10"	"1"	"400"	"119"	"4"	"15"	"1"	"2"	"1"	"3"	"0"	"12"	"15"	"3"	"7"	"4"	"9"	"2"	"6"	"0"	"5"	"2"	"17"	"3"	"7"	"4"	"9"	"2"	"6"	"0"	"5"	"2"	"17"	"233"	"233"	"9"	"2"	"0"	"244"	"244"	"1"	"0"
"3355"	"4"	"1"	"10"	"1"	"380"	"115"	"3"	"8"	"2"	"5"	"0"	"1"	"1"	"8"	"19"	"3"	"10"	"6"	"8"	"1"	"4"	"2"	"3"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"14"	"2"	"0"	"232"	"232"	"1"	"0"
"3356"	"4"	"1"	"10"	"1"	"403"	"117"	"5"	"11"	"1"	"2"	"1"	"2"	"0"	"9"	"23"	"3"	"4"	"1"	"6"	"8"	"6"	"1"	"2"	"4"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"13"	"3"	"0"	"244"	"244"	"1"	"0"
"3357"	"4"	"1"	"10"	"1"	"400"	"119"	"6"	"13"	"2"	"4"	"1"	"2"	"0"	"10"	"18"	"2"	"2"	"2"	"8"	"4"	"6"	"2"	"4"	"0"	"25"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"233"	"12"	"2"	"0"	"246"	"247"	"0"	"0"
"3358"	"4"	"1"	"10"	"1"	"402"	"128"	"6"	"14"	"0"	"5"	"1"	"3"	"0"	"8"	"12"	"0"	"7"	"0"	"2"	"1"	"6"	"3"	"3"	"1"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"19"	"5"	"0"	"246"	"246"	"1"	"0"
"3359"	"4"	"1"	"10"	"1"	"404"	"107"	"5"	"21"	"1"	"0"	"0"	"1"	"0"	"8"	"16"	"2"	"5"	"0"	"4"	"3"	"6"	"2"	"0"	"1"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"18"	"3"	"0"	"225"	"225"	"1"	"0"
"3360"	"4"	"1"	"10"	"1"	"400"	"106"	"7"	"12"	"0"	"3"	"0"	"3"	"0"	"5"	"16"	"5"	"2"	"7"	"3"	"8"	"1"	"3"	"2"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"192"	"9"	"4"	"0"	"213"	"205"	"0"	"0"
"3361"	"4"	"1"	"10"	"1"	"403"	"106"	"2"	"16"	"2"	"6"	"0"	"2"	"2"	"6"	"20"	"1"	"4"	"2"	"5"	"2"	"8"	"0"	"2"	"0"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"11"	"2"	"0"	"213"	"213"	"1"	"0"
"3362"	"4"	"1"	"10"	"1"	"402"	"121"	"5"	"11"	"1"	"2"	"1"	"3"	"0"	"6"	"13"	"2"	"5"	"2"	"2"	"5"	"1"	"0"	"3"	"0"	"22"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"5"	"3"	"0"	"216"	"216"	"1"	"0"
"3363"	"4"	"1"	"10"	"1"	"398"	"123"	"3"	"13"	"3"	"1"	"1"	"4"	"2"	"8"	"14"	"0"	"7"	"2"	"5"	"4"	"4"	"1"	"3"	"1"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"9"	"2"	"0"	"229"	"229"	"1"	"0"
