"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PAN"	"UCN"	"TODOS"	"FUERZA"	"PC"	"VIVA"	"BIEN"	"SEMILLA"	"VALOR"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6851"	"4"	"5"	"7"	"2"	"378"	"82"	"3"	"15"	"38"	"13"	"2"	"56"	"10"	"9"	"10"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"3"	"0"	"270"	"270"	"1"	"0"
"6852"	"4"	"5"	"7"	"2"	"377"	"66"	"3"	"3"	"24"	"14"	"1"	"60"	"14"	"9"	"6"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"5"	"4"	"0"	"235"	"235"	"1"	"0"
"6853"	"4"	"5"	"7"	"2"	"400"	"74"	"5"	"12"	"23"	"23"	"0"	"65"	"20"	"8"	"5"	"1"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"16"	"2"	"0"	"291"	"291"	"1"	"0"
"6854"	"4"	"5"	"7"	"2"	"0"	"81"	"4"	"24"	"21"	"23"	"1"	"54"	"15"	"8"	"5"	"10"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"24"	"7"	"0"	"304"	"304"	"1"	"0"
"6855"	"4"	"5"	"7"	"2"	"0"	"72"	"7"	"17"	"22"	"19"	"0"	"77"	"13"	"6"	"6"	"5"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"17"	"5"	"0"	"308"	"308"	"1"	"0"
"6856"	"4"	"5"	"7"	"2"	"396"	"85"	"2"	"8"	"29"	"24"	"2"	"53"	"20"	"6"	"8"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"11"	"3"	"0"	"294"	"294"	"1"	"0"
"6857"	"4"	"5"	"7"	"2"	"396"	"86"	"5"	"15"	"20"	"18"	"3"	"74"	"16"	"5"	"10"	"7"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"9"	"3"	"0"	"295"	"295"	"1"	"0"
"6858"	"4"	"5"	"7"	"2"	"394"	"80"	"4"	"12"	"27"	"29"	"4"	"71"	"19"	"4"	"3"	"5"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"16"	"3"	"0"	"320"	"320"	"1"	"0"
"6859"	"4"	"5"	"7"	"2"	"396"	"67"	"3"	"16"	"37"	"20"	"5"	"91"	"15"	"5"	"7"	"5"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"8"	"5"	"0"	"318"	"318"	"1"	"0"
"6860"	"4"	"5"	"7"	"2"	"396"	"73"	"6"	"14"	"31"	"24"	"3"	"76"	"13"	"11"	"2"	"3"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"15"	"3"	"0"	"302"	"302"	"1"	"0"
