"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"BIEN"	"FUERZA"	"VALOR"	"CONVERGENCIA"	"FCN_NACION"	"CREO"	"SEMILLA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9463"	"4"	"9"	"6"	"2"	"266"	"29"	"139"	"8"	"3"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"2"	"2"	"0"	"188"	"188"	"1"	"0"
"9464"	"4"	"9"	"6"	"2"	"380"	"74"	"45"	"31"	"2"	"113"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"7"	"12"	"0"	"299"	"299"	"1"	"0"
"9465"	"4"	"9"	"6"	"2"	"379"	"73"	"35"	"30"	"2"	"135"	"6"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"12"	"8"	"0"	"310"	"310"	"1"	"0"
"9466"	"4"	"9"	"6"	"2"	"378"	"62"	"45"	"25"	"2"	"137"	"7"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"10"	"9"	"0"	"304"	"304"	"1"	"0"
"9467"	"4"	"9"	"6"	"2"	"375"	"62"	"37"	"36"	"1"	"117"	"7"	"13"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"21"	"9"	"0"	"307"	"307"	"1"	"1"
"9468"	"4"	"9"	"6"	"2"	"380"	"60"	"26"	"52"	"1"	"113"	"3"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"12"	"15"	"0"	"300"	"300"	"1"	"0"
"9469"	"4"	"9"	"6"	"2"	"380"	"50"	"42"	"50"	"1"	"98"	"5"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"9"	"12"	"0"	"278"	"278"	"1"	"0"
"9470"	"4"	"9"	"6"	"2"	"380"	"63"	"38"	"40"	"6"	"90"	"8"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"8"	"10"	"0"	"273"	"273"	"1"	"0"
"9471"	"4"	"9"	"6"	"2"	"378"	"50"	"29"	"28"	"1"	"96"	"5"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"9"	"1"	"0"	"229"	"229"	"1"	"0"
"9472"	"4"	"9"	"6"	"2"	"363"	"50"	"40"	"38"	"1"	"79"	"8"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"7"	"6"	"0"	"236"	"236"	"1"	"0"
"9473"	"4"	"9"	"6"	"2"	"363"	"80"	"34"	"49"	"0"	"87"	"4"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"1"	"0"	"0"	"268"	"268"	"1"	"0"
"9474"	"4"	"9"	"6"	"2"	"312"	"13"	"14"	"17"	"4"	"13"	"2"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"5"	"0"	"0"	"75"	"75"	"1"	"0"
"9475"	"4"	"9"	"6"	"2"	"312"	"24"	"26"	"11"	"3"	"8"	"8"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"84"	"84"	"7"	"2"	"0"	"93"	"93"	"1"	"0"
