"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"LA_MUTA"	"UNE"	"VALOR"	"VIVA"	"LIBRE"	"CONVERGENCIA"	"CREO"	"TODOS"	"PPT"	"PHG"	"CHIQUMULA_VERDE"	"AVANZA"	"PAN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19302"	"4"	"20"	"1"	"2"	"380"	"53"	"36"	"7"	"48"	"2"	"14"	"3"	"5"	"10"	"12"	"1"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"16"	"4"	"0"	"224"	"224"	"1"	"0"
"19303"	"4"	"20"	"1"	"2"	"376"	"58"	"45"	"15"	"29"	"8"	"12"	"1"	"9"	"14"	"15"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"6"	"3"	"0"	"224"	"224"	"1"	"0"
"19304"	"4"	"20"	"1"	"2"	"376"	"32"	"36"	"7"	"37"	"5"	"3"	"2"	"4"	"5"	"13"	"4"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"5"	"1"	"6"	"169"	"169"	"1"	"1"
"19305"	"4"	"20"	"1"	"2"	"383"	"11"	"9"	"55"	"46"	"21"	"8"	"3"	"6"	"8"	"0"	"3"	"14"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"38"	"18"	"0"	"243"	"243"	"1"	"0"
"19306"	"4"	"20"	"1"	"2"	"379"	"7"	"25"	"59"	"48"	"34"	"12"	"1"	"2"	"12"	"1"	"3"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"31"	"15"	"0"	"258"	"258"	"1"	"0"
"19307"	"4"	"20"	"1"	"2"	"380"	"9"	"16"	"63"	"45"	"39"	"4"	"3"	"1"	"11"	"0"	"3"	"14"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"34"	"14"	"1"	"260"	"260"	"1"	"0"
"19308"	"4"	"20"	"1"	"2"	"380"	"6"	"24"	"34"	"47"	"24"	"9"	"1"	"2"	"11"	"0"	"0"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"30"	"11"	"0"	"210"	"210"	"1"	"0"
"19309"	"4"	"20"	"1"	"2"	"380"	"10"	"21"	"49"	"33"	"22"	"4"	"1"	"3"	"17"	"3"	"4"	"4"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"25"	"18"	"0"	"224"	"224"	"1"	"0"
"19310"	"4"	"20"	"1"	"2"	"220"	"4"	"11"	"31"	"16"	"9"	"5"	"1"	"1"	"6"	"0"	"1"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"24"	"4"	"0"	"120"	"120"	"1"	"0"
"19311"	"4"	"20"	"1"	"2"	"219"	"4"	"11"	"23"	"21"	"23"	"5"	"1"	"1"	"4"	"0"	"0"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"20"	"7"	"0"	"128"	"128"	"1"	"0"
"19312"	"4"	"20"	"1"	"2"	"380"	"24"	"15"	"30"	"24"	"3"	"9"	"4"	"4"	"7"	"0"	"8"	"10"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"10"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"16"	"4"	"0"	"164"	"164"	"1"	"0"
"19313"	"4"	"20"	"1"	"2"	"380"	"20"	"18"	"17"	"18"	"13"	"7"	"10"	"8"	"13"	"0"	"8"	"6"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"21"	"6"	"0"	"171"	"171"	"1"	"0"
"19314"	"4"	"20"	"1"	"2"	"380"	"20"	"18"	"30"	"13"	"6"	"2"	"1"	"7"	"7"	"0"	"3"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"9"	"1"	"0"	"128"	"128"	"1"	"0"
"19315"	"4"	"20"	"1"	"2"	"379"	"11"	"27"	"25"	"22"	"5"	"9"	"5"	"11"	"8"	"2"	"2"	"14"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"14"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"21"	"3"	"0"	"168"	"168"	"1"	"0"
"19316"	"4"	"20"	"1"	"2"	"263"	"10"	"6"	"16"	"8"	"4"	"2"	"2"	"6"	"1"	"0"	"1"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"68"	"11"	"3"	"0"	"82"	"82"	"1"	"0"
"19317"	"4"	"20"	"1"	"2"	"263"	"8"	"7"	"11"	"9"	"4"	"3"	"1"	"4"	"2"	"1"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"59"	"59"	"17"	"1"	"0"	"77"	"77"	"1"	"0"
"19318"	"4"	"20"	"1"	"2"	"380"	"14"	"53"	"56"	"0"	"17"	"2"	"0"	"3"	"12"	"1"	"0"	"16"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"34"	"8"	"0"	"228"	"228"	"1"	"0"
"19319"	"4"	"20"	"1"	"2"	"380"	"10"	"45"	"77"	"0"	"12"	"2"	"1"	"2"	"13"	"1"	"1"	"16"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"33"	"10"	"2"	"238"	"238"	"1"	"0"
