"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"VAMOS"	"FUERZA"	"WINAQ"	"CONVERGENCIA"	"TODOS"	"VIVA"	"UNIONISTA"	"SEMILLA"	"LIBRE"	"FCN_NACION"	"BIEN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13500"	"4"	"13"	"9"	"2"	"194"	"16"	"32"	"3"	"4"	"7"	"1"	"26"	"10"	"17"	"4"	"1"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"5"	"6"	"0"	"141"	"141"	"1"	"0"
"13501"	"4"	"13"	"9"	"2"	"193"	"35"	"30"	"3"	"6"	"4"	"2"	"11"	"12"	"11"	"1"	"4"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"7"	"8"	"0"	"146"	"146"	"1"	"0"
"13502"	"4"	"13"	"9"	"2"	"380"	"2"	"123"	"105"	"4"	"3"	"5"	"3"	"19"	"5"	"6"	"1"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"11"	"7"	"0"	"303"	"303"	"1"	"0"
"13503"	"4"	"13"	"9"	"2"	"311"	"1"	"112"	"117"	"4"	"6"	"4"	"3"	"12"	"5"	"5"	"1"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"10"	"10"	"0"	"303"	"303"	"1"	"0"
"13504"	"4"	"13"	"9"	"2"	"380"	"1"	"95"	"97"	"3"	"3"	"0"	"2"	"17"	"3"	"6"	"2"	"0"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"5"	"11"	"0"	"256"	"256"	"1"	"0"
"13505"	"4"	"13"	"9"	"2"	"380"	"3"	"111"	"113"	"5"	"4"	"2"	"5"	"9"	"2"	"3"	"3"	"0"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"9"	"4"	"0"	"285"	"285"	"1"	"0"
"13506"	"4"	"13"	"9"	"2"	"380"	"1"	"107"	"116"	"9"	"2"	"1"	"8"	"11"	"1"	"5"	"2"	"1"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"22"	"9"	"0"	"311"	"311"	"1"	"0"
"13507"	"4"	"13"	"9"	"2"	"380"	"1"	"91"	"101"	"8"	"2"	"4"	"7"	"17"	"2"	"5"	"1"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"18"	"24"	"0"	"290"	"290"	"1"	"0"
"13508"	"4"	"13"	"9"	"2"	"275"	"2"	"59"	"91"	"4"	"3"	"0"	"3"	"5"	"3"	"3"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"10"	"7"	"0"	"198"	"198"	"1"	"0"
"13509"	"4"	"13"	"9"	"2"	"278"	"1"	"67"	"77"	"7"	"1"	"1"	"2"	"7"	"3"	"4"	"1"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"6"	"3"	"0"	"189"	"189"	"1"	"0"
