"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UNIONISTA"	"VAMOS"	"UCN"	"SEMILLA"	"MLP"	"PHG"	"FCN_NACION"	"PAN"	"BIEN"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10766"	"4"	"10"	"14"	"2"	"400"	"45"	"2"	"10"	"4"	"0"	"0"	"27"	"52"	"73"	"8"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"13"	"5"	"0"	"264"	"264"	"1"	"0"
"10767"	"4"	"10"	"14"	"2"	"400"	"43"	"1"	"19"	"6"	"0"	"5"	"43"	"36"	"73"	"18"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"6"	"0"	"279"	"279"	"1"	"0"
"10768"	"4"	"10"	"14"	"2"	"400"	"52"	"1"	"29"	"6"	"0"	"5"	"29"	"25"	"71"	"13"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"16"	"5"	"0"	"274"	"274"	"1"	"0"
"10769"	"4"	"10"	"14"	"2"	"400"	"59"	"1"	"17"	"6"	"0"	"1"	"24"	"31"	"54"	"8"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"20"	"2"	"0"	"249"	"249"	"1"	"0"
"10770"	"4"	"10"	"14"	"2"	"400"	"34"	"1"	"16"	"12"	"1"	"2"	"26"	"25"	"51"	"12"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"4"	"3"	"0"	"200"	"200"	"1"	"0"
"10771"	"4"	"10"	"14"	"2"	"400"	"37"	"2"	"16"	"10"	"2"	"1"	"20"	"29"	"61"	"9"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"3"	"1"	"0"	"211"	"211"	"1"	"0"
"10772"	"4"	"10"	"14"	"2"	"380"	"46"	"1"	"5"	"7"	"3"	"25"	"29"	"19"	"55"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"13"	"6"	"0"	"223"	"223"	"1"	"0"
"10773"	"4"	"10"	"14"	"2"	"380"	"49"	"0"	"14"	"4"	"0"	"29"	"37"	"13"	"55"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"23"	"3"	"0"	"243"	"243"	"1"	"0"
"10774"	"4"	"10"	"14"	"2"	"380"	"36"	"2"	"11"	"14"	"2"	"20"	"23"	"7"	"71"	"11"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"16"	"5"	"0"	"237"	"237"	"1"	"0"
"10775"	"4"	"10"	"14"	"2"	"380"	"43"	"19"	"3"	"5"	"1"	"24"	"0"	"11"	"60"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"15"	"1"	"0"	"198"	"198"	"1"	"0"
"10776"	"4"	"10"	"14"	"2"	"284"	"30"	"1"	"5"	"3"	"0"	"11"	"32"	"11"	"38"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"6"	"5"	"0"	"158"	"158"	"1"	"0"
"10777"	"4"	"10"	"14"	"2"	"283"	"38"	"1"	"8"	"6"	"1"	"13"	"18"	"8"	"54"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"5"	"0"	"0"	"167"	"167"	"1"	"0"
"10778"	"4"	"10"	"14"	"2"	"379"	"32"	"0"	"8"	"7"	"0"	"46"	"24"	"15"	"13"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"23"	"16"	"0"	"189"	"189"	"1"	"0"
"10779"	"4"	"10"	"14"	"2"	"380"	"34"	"1"	"27"	"5"	"2"	"30"	"40"	"40"	"12"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"15"	"7"	"0"	"220"	"220"	"1"	"0"
"10780"	"4"	"10"	"14"	"2"	"251"	"16"	"2"	"2"	"7"	"1"	"26"	"22"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"96"	"12"	"6"	"0"	"114"	"114"	"1"	"0"
"10781"	"4"	"10"	"14"	"2"	"251"	"21"	"4"	"6"	"6"	"0"	"14"	"21"	"17"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"3"	"5"	"0"	"106"	"106"	"1"	"0"
"10782"	"4"	"10"	"14"	"2"	"400"	"86"	"2"	"17"	"4"	"3"	"8"	"26"	"48"	"46"	"10"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"25"	"5"	"0"	"294"	"294"	"1"	"0"
"10783"	"4"	"10"	"14"	"2"	"385"	"68"	"2"	"13"	"1"	"1"	"8"	"27"	"60"	"44"	"14"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"0"	"5"	"23"	"250"	"250"	"1"	"0"
"10784"	"4"	"10"	"14"	"2"	"380"	"74"	"2"	"22"	"4"	"0"	"7"	"20"	"48"	"41"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"16"	"8"	"0"	"263"	"263"	"1"	"0"
"10785"	"4"	"10"	"14"	"2"	"248"	"43"	"1"	"19"	"4"	"0"	"4"	"8"	"34"	"38"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"7"	"1"	"0"	"166"	"166"	"1"	"0"
"10786"	"4"	"10"	"14"	"2"	"247"	"42"	"0"	"7"	"0"	"0"	"1"	"13"	"42"	"29"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"1"	"0"	"0"	"148"	"148"	"1"	"0"
"10787"	"4"	"10"	"14"	"2"	"598"	"39"	"6"	"20"	"5"	"1"	"4"	"40"	"15"	"62"	"7"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"34"	"4"	"0"	"252"	"252"	"1"	"0"
"10788"	"4"	"10"	"14"	"2"	"583"	"41"	"6"	"30"	"4"	"1"	"4"	"28"	"18"	"60"	"10"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"18"	"10"	"0"	"255"	"255"	"1"	"0"
"10789"	"4"	"10"	"14"	"2"	"580"	"24"	"7"	"18"	"7"	"5"	"3"	"8"	"13"	"38"	"8"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"12"	"3"	"0"	"168"	"168"	"1"	"0"
