"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"PC"	"PAN"	"PHG"	"TODOS"	"CREO"	"FCN_NACION"	"MLP"	"LIBRE"	"SEMILLA"	"UNIONISTA"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18518"	"4"	"18"	"3"	"2"	"397"	"19"	"76"	"15"	"12"	"31"	"0"	"7"	"51"	"29"	"1"	"3"	"0"	"20"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"15"	"6"	"0"	"298"	"298"	"1"	"0"
"18519"	"4"	"18"	"3"	"2"	"400"	"17"	"67"	"16"	"16"	"29"	"3"	"10"	"40"	"29"	"0"	"3"	"1"	"9"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"18"	"4"	"0"	"272"	"272"	"1"	"0"
"18520"	"4"	"18"	"3"	"2"	"400"	"16"	"58"	"34"	"17"	"14"	"5"	"9"	"41"	"23"	"3"	"4"	"0"	"17"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"12"	"3"	"0"	"270"	"270"	"1"	"0"
"18521"	"4"	"18"	"3"	"2"	"400"	"11"	"71"	"19"	"9"	"17"	"0"	"12"	"41"	"30"	"2"	"4"	"2"	"7"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"26"	"5"	"0"	"269"	"269"	"1"	"0"
"18522"	"4"	"18"	"3"	"2"	"400"	"16"	"57"	"24"	"13"	"22"	"1"	"7"	"48"	"30"	"4"	"4"	"4"	"9"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"33"	"9"	"0"	"293"	"293"	"1"	"1"
"18523"	"4"	"18"	"3"	"2"	"400"	"14"	"73"	"13"	"12"	"18"	"3"	"13"	"52"	"37"	"5"	"2"	"2"	"16"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"16"	"7"	"0"	"295"	"295"	"1"	"0"
"18524"	"4"	"18"	"3"	"2"	"400"	"18"	"68"	"33"	"29"	"21"	"6"	"10"	"34"	"31"	"5"	"5"	"5"	"12"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"11"	"2"	"0"	"302"	"302"	"1"	"0"
"18525"	"4"	"18"	"3"	"2"	"400"	"13"	"59"	"24"	"16"	"17"	"0"	"15"	"53"	"41"	"0"	"8"	"0"	"12"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"15"	"0"	"0"	"289"	"289"	"1"	"0"
"18526"	"4"	"18"	"3"	"2"	"398"	"13"	"59"	"19"	"24"	"26"	"0"	"16"	"58"	"41"	"2"	"11"	"1"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"11"	"6"	"0"	"307"	"307"	"1"	"0"
"18527"	"4"	"18"	"3"	"2"	"400"	"13"	"76"	"14"	"17"	"34"	"1"	"16"	"47"	"25"	"2"	"7"	"4"	"10"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"28"	"4"	"0"	"305"	"305"	"1"	"0"
