"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"PC"	"PAN"	"PHG"	"TODOS"	"CREO"	"FCN_NACION"	"MLP"	"LIBRE"	"SEMILLA"	"UNIONISTA"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18581"	"4"	"18"	"3"	"2"	"380"	"7"	"73"	"11"	"6"	"37"	"3"	"5"	"24"	"95"	"1"	"3"	"1"	"20"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"11"	"2"	"1"	"300"	"300"	"1"	"0"
"18582"	"4"	"18"	"3"	"2"	"380"	"6"	"97"	"9"	"5"	"35"	"0"	"6"	"22"	"66"	"0"	"9"	"5"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"0"	"0"	"22"	"308"	"286"	"0"	"0"
"18583"	"4"	"18"	"3"	"2"	"380"	"4"	"109"	"8"	"7"	"29"	"0"	"10"	"27"	"68"	"2"	"3"	"1"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"27"	"5"	"0"	"318"	"318"	"1"	"0"
"18584"	"4"	"18"	"3"	"2"	"380"	"4"	"93"	"9"	"5"	"45"	"0"	"9"	"29"	"83"	"0"	"3"	"2"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"13"	"4"	"0"	"323"	"320"	"0"	"0"
"18585"	"4"	"18"	"3"	"2"	"377"	"7"	"93"	"25"	"5"	"29"	"0"	"7"	"21"	"63"	"1"	"0"	"5"	"27"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"285"	"29"	"2"	"0"	"316"	"316"	"0"	"0"
"18586"	"4"	"18"	"3"	"2"	"380"	"1"	"82"	"21"	"3"	"33"	"0"	"10"	"23"	"98"	"0"	"3"	"1"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"15"	"7"	"0"	"317"	"317"	"1"	"0"
"18587"	"4"	"18"	"3"	"2"	"380"	"3"	"107"	"16"	"2"	"36"	"1"	"7"	"22"	"61"	"1"	"3"	"3"	"22"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"28"	"3"	"0"	"317"	"317"	"1"	"0"
"18588"	"4"	"18"	"3"	"2"	"377"	"2"	"105"	"18"	"2"	"35"	"0"	"2"	"31"	"83"	"0"	"1"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"4"	"3"	"4"	"301"	"301"	"1"	"0"
"18589"	"4"	"18"	"3"	"2"	"237"	"3"	"59"	"9"	"3"	"24"	"3"	"4"	"10"	"60"	"0"	"0"	"1"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"1"	"3"	"0"	"199"	"199"	"1"	"0"
"18590"	"4"	"18"	"3"	"2"	"237"	"4"	"57"	"10"	"4"	"20"	"0"	"4"	"16"	"48"	"0"	"0"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"9"	"5"	"0"	"193"	"193"	"1"	"0"
"18591"	"4"	"18"	"3"	"2"	"481"	"6"	"26"	"9"	"4"	"21"	"0"	"6"	"28"	"27"	"2"	"2"	"1"	"14"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"16"	"0"	"0"	"169"	"169"	"1"	"0"
"18592"	"4"	"18"	"3"	"2"	"480"	"5"	"27"	"6"	"8"	"18"	"0"	"4"	"15"	"24"	"2"	"2"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"6"	"6"	"0"	"129"	"129"	"1"	"0"
