"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"URNG_MAIZ"	"CREO"	"VICTORIA"	"UNIDOS"	"FUERZA"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"PC"	"VALOR"	"PHG"	"MLP"	"LIBRE"	"UCN"	"TODOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5647"	"4"	"3"	"7"	"2"	"378"	"88"	"49"	"5"	"1"	"3"	"2"	"0"	"1"	"4"	"6"	"25"	"2"	"20"	"0"	"4"	"5"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"11"	"0"	"239"	"239"	"1"	"0"
"5648"	"4"	"3"	"7"	"2"	"400"	"85"	"41"	"6"	"10"	"5"	"3"	"1"	"0"	"5"	"5"	"43"	"5"	"21"	"4"	"2"	"7"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"12"	"7"	"0"	"270"	"270"	"1"	"0"
"5649"	"4"	"3"	"7"	"2"	"380"	"108"	"53"	"4"	"6"	"4"	"4"	"0"	"0"	"1"	"1"	"38"	"6"	"18"	"1"	"7"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"14"	"6"	"0"	"278"	"278"	"1"	"0"
"5650"	"4"	"3"	"7"	"2"	"376"	"93"	"52"	"6"	"14"	"3"	"2"	"1"	"2"	"1"	"1"	"28"	"10"	"16"	"0"	"10"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"4"	"0"	"254"	"254"	"1"	"0"
"5651"	"4"	"3"	"7"	"2"	"381"	"84"	"49"	"8"	"7"	"4"	"6"	"0"	"3"	"2"	"3"	"27"	"8"	"30"	"0"	"6"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"7"	"5"	"0"	"254"	"254"	"1"	"0"
"5652"	"4"	"3"	"7"	"2"	"400"	"97"	"49"	"6"	"6"	"7"	"3"	"0"	"0"	"3"	"7"	"27"	"9"	"21"	"1"	"11"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"9"	"3"	"0"	"266"	"266"	"1"	"0"
"5653"	"4"	"3"	"7"	"2"	"400"	"81"	"32"	"4"	"5"	"3"	"4"	"0"	"0"	"3"	"2"	"33"	"3"	"27"	"0"	"3"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"2"	"4"	"0"	"218"	"218"	"1"	"0"
"5654"	"4"	"3"	"7"	"2"	"364"	"93"	"55"	"4"	"4"	"3"	"1"	"0"	"1"	"0"	"1"	"25"	"7"	"16"	"0"	"7"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"8"	"7"	"0"	"240"	"240"	"1"	"0"
"5655"	"4"	"3"	"7"	"2"	"379"	"78"	"56"	"4"	"2"	"3"	"3"	"3"	"1"	"1"	"2"	"26"	"6"	"10"	"0"	"11"	"1"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"5"	"8"	"0"	"228"	"228"	"1"	"0"
"5656"	"4"	"3"	"7"	"2"	"286"	"65"	"32"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"2"	"27"	"3"	"17"	"1"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"3"	"4"	"0"	"167"	"167"	"1"	"0"
"5657"	"4"	"3"	"7"	"2"	"285"	"93"	"22"	"2"	"2"	"3"	"2"	"1"	"0"	"3"	"2"	"21"	"11"	"15"	"0"	"1"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"4"	"0"	"0"	"188"	"188"	"1"	"0"
"5658"	"4"	"3"	"7"	"2"	"601"	"19"	"31"	"12"	"6"	"6"	"3"	"2"	"2"	"0"	"5"	"20"	"4"	"6"	"2"	"3"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"7"	"5"	"0"	"145"	"145"	"1"	"0"
"5659"	"4"	"3"	"7"	"2"	"600"	"19"	"59"	"13"	"15"	"8"	"5"	"1"	"5"	"1"	"3"	"21"	"8"	"6"	"5"	"3"	"7"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"5"	"16"	"0"	"207"	"207"	"1"	"0"
"5660"	"4"	"3"	"7"	"2"	"333"	"11"	"21"	"12"	"3"	"5"	"1"	"0"	"2"	"2"	"1"	"11"	"4"	"2"	"2"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"84"	"84"	"3"	"2"	"0"	"89"	"89"	"1"	"0"
"5661"	"4"	"3"	"7"	"2"	"334"	"8"	"28"	"2"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"6"	"1"	"3"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"3"	"4"	"0"	"71"	"71"	"1"	"0"
