"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VALOR"	"UNE"	"FCN_NACION"	"BIEN"	"MLP"	"PODEMOS"	"UNIDOS"	"FUERZA"	"PPT"	"UCN"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11229"	"4"	"11"	"6"	"2"	"380"	"36"	"35"	"14"	"31"	"41"	"4"	"12"	"26"	"1"	"13"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"6"	"6"	"0"	"244"	"244"	"1"	"0"
"11230"	"4"	"11"	"6"	"2"	"380"	"39"	"24"	"13"	"8"	"41"	"4"	"12"	"24"	"0"	"13"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"16"	"5"	"0"	"208"	"208"	"1"	"0"
"11231"	"4"	"11"	"6"	"2"	"380"	"33"	"24"	"15"	"22"	"38"	"3"	"16"	"28"	"1"	"9"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"14"	"9"	"0"	"232"	"232"	"1"	"0"
"11232"	"4"	"11"	"6"	"2"	"380"	"34"	"30"	"14"	"18"	"43"	"1"	"15"	"12"	"0"	"12"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"17"	"8"	"0"	"216"	"216"	"1"	"0"
"11233"	"4"	"11"	"6"	"2"	"348"	"30"	"32"	"12"	"10"	"42"	"4"	"11"	"17"	"1"	"12"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"14"	"2"	"0"	"200"	"200"	"1"	"0"
"11234"	"4"	"11"	"6"	"2"	"348"	"47"	"39"	"10"	"18"	"30"	"2"	"6"	"26"	"0"	"12"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"4"	"6"	"0"	"215"	"215"	"1"	"0"
"11235"	"4"	"11"	"6"	"2"	"380"	"11"	"19"	"55"	"56"	"7"	"8"	"19"	"14"	"1"	"24"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"31"	"6"	"0"	"261"	"261"	"1"	"0"
"11236"	"4"	"11"	"6"	"2"	"380"	"13"	"8"	"70"	"52"	"8"	"4"	"21"	"12"	"2"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"29"	"9"	"0"	"251"	"251"	"1"	"0"
"11237"	"4"	"11"	"6"	"2"	"380"	"14"	"19"	"44"	"72"	"3"	"6"	"11"	"20"	"1"	"18"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"31"	"10"	"0"	"256"	"256"	"1"	"0"
"11238"	"4"	"11"	"6"	"2"	"380"	"26"	"20"	"53"	"65"	"3"	"8"	"12"	"16"	"1"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"31"	"12"	"0"	"261"	"261"	"1"	"0"
"11239"	"4"	"11"	"6"	"2"	"380"	"14"	"19"	"63"	"55"	"9"	"1"	"14"	"15"	"2"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"16"	"5"	"0"	"229"	"229"	"1"	"0"
"11240"	"4"	"11"	"6"	"2"	"311"	"8"	"20"	"50"	"55"	"9"	"0"	"10"	"8"	"0"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"21"	"16"	"0"	"211"	"211"	"1"	"0"
"11241"	"4"	"11"	"6"	"2"	"311"	"6"	"14"	"47"	"51"	"7"	"2"	"12"	"7"	"0"	"17"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"10"	"1"	"0"	"177"	"177"	"1"	"1"
"11242"	"4"	"11"	"6"	"2"	"380"	"20"	"68"	"8"	"16"	"61"	"0"	"8"	"20"	"0"	"22"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"27"	"8"	"0"	"263"	"263"	"1"	"0"
"11243"	"4"	"11"	"6"	"2"	"380"	"16"	"54"	"9"	"11"	"69"	"0"	"18"	"23"	"0"	"19"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"20"	"7"	"0"	"251"	"251"	"1"	"0"
"11244"	"4"	"11"	"6"	"2"	"380"	"15"	"50"	"17"	"10"	"59"	"8"	"14"	"20"	"1"	"22"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"22"	"8"	"0"	"251"	"251"	"1"	"0"
"11245"	"4"	"11"	"6"	"2"	"380"	"19"	"62"	"7"	"14"	"65"	"9"	"5"	"22"	"0"	"24"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"24"	"6"	"0"	"265"	"265"	"1"	"0"
"11246"	"4"	"11"	"6"	"2"	"377"	"11"	"74"	"8"	"9"	"76"	"1"	"8"	"19"	"0"	"26"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"4"	"0"	"252"	"252"	"1"	"0"
"11247"	"4"	"11"	"6"	"2"	"380"	"9"	"78"	"9"	"6"	"66"	"5"	"7"	"14"	"1"	"29"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"10"	"5"	"0"	"244"	"244"	"1"	"0"
"11248"	"4"	"11"	"6"	"2"	"380"	"23"	"81"	"4"	"12"	"68"	"3"	"9"	"17"	"0"	"17"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"13"	"9"	"0"	"265"	"265"	"1"	"0"
"11249"	"4"	"11"	"6"	"2"	"380"	"15"	"72"	"4"	"7"	"47"	"1"	"8"	"20"	"0"	"18"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"6"	"0"	"0"	"203"	"203"	"1"	"0"
"11250"	"4"	"11"	"6"	"2"	"380"	"14"	"76"	"8"	"7"	"62"	"3"	"12"	"14"	"0"	"11"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"9"	"6"	"0"	"231"	"231"	"1"	"0"
"11251"	"4"	"11"	"6"	"2"	"380"	"11"	"58"	"14"	"8"	"61"	"6"	"13"	"24"	"1"	"15"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"8"	"5"	"0"	"231"	"231"	"1"	"0"
"11252"	"4"	"11"	"6"	"2"	"380"	"23"	"75"	"8"	"9"	"48"	"6"	"9"	"31"	"0"	"16"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"16"	"6"	"1"	"256"	"256"	"1"	"0"
"11253"	"4"	"11"	"6"	"2"	"380"	"22"	"68"	"8"	"11"	"53"	"10"	"6"	"17"	"0"	"14"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"10"	"5"	"0"	"229"	"229"	"1"	"0"
"11254"	"4"	"11"	"6"	"2"	"383"	"12"	"65"	"12"	"8"	"52"	"6"	"4"	"22"	"0"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"17"	"4"	"0"	"221"	"221"	"1"	"0"
"11255"	"4"	"11"	"6"	"2"	"380"	"17"	"82"	"7"	"3"	"56"	"3"	"4"	"14"	"2"	"19"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"10"	"6"	"0"	"234"	"234"	"1"	"0"
"11256"	"4"	"11"	"6"	"2"	"298"	"17"	"78"	"6"	"4"	"50"	"2"	"9"	"19"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"4"	"1"	"0"	"202"	"202"	"1"	"0"
"11257"	"4"	"11"	"6"	"2"	"297"	"7"	"77"	"9"	"3"	"53"	"2"	"7"	"21"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"2"	"4"	"0"	"194"	"194"	"1"	"0"
"11258"	"4"	"11"	"6"	"2"	"600"	"8"	"4"	"29"	"23"	"11"	"5"	"4"	"11"	"1"	"3"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"10"	"2"	"0"	"121"	"121"	"1"	"0"
"11259"	"4"	"11"	"6"	"2"	"596"	"7"	"7"	"22"	"19"	"10"	"6"	"9"	"3"	"0"	"6"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"8"	"4"	"0"	"107"	"107"	"1"	"0"
"11260"	"4"	"11"	"6"	"2"	"383"	"3"	"2"	"5"	"16"	"5"	"2"	"2"	"9"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"49"	"49"	"2"	"1"	"0"	"52"	"52"	"1"	"0"
"11261"	"4"	"11"	"6"	"2"	"381"	"2"	"4"	"1"	"6"	"4"	"1"	"1"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"24"	"24"	"1"	"0"	"0"	"25"	"25"	"1"	"0"
