"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"CREO"	"TODOS"	"EG"	"EL_ZOMPOPO"	"PHG"	"FCN_NACION"	"PPT"	"UNE"	"CASA"	"PODEMOS"	"CHICH"	"FUERZA"	"PC"	"BIEN"	"UNIONISTA"	"UCN"	"MLP"	"SOL"	"LIBRE"	"SEMILLA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5233"	"4"	"3"	"1"	"2"	"373"	"63"	"6"	"0"	"1"	"20"	"0"	"1"	"1"	"35"	"11"	"3"	"40"	"3"	"3"	"1"	"1"	"0"	"1"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"7"	"2"	"0"	"216"	"216"	"1"	"0"
"5234"	"4"	"3"	"1"	"2"	"380"	"85"	"5"	"4"	"1"	"25"	"1"	"1"	"1"	"28"	"14"	"1"	"40"	"2"	"4"	"3"	"3"	"1"	"6"	"22"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"3"	"0"	"261"	"261"	"1"	"0"
"5235"	"4"	"3"	"1"	"2"	"376"	"61"	"5"	"2"	"0"	"31"	"0"	"2"	"1"	"44"	"13"	"1"	"31"	"0"	"5"	"4"	"3"	"0"	"3"	"42"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"18"	"3"	"0"	"271"	"271"	"1"	"0"
"5236"	"4"	"3"	"1"	"2"	"376"	"60"	"3"	"4"	"2"	"39"	"0"	"2"	"1"	"34"	"7"	"4"	"24"	"2"	"3"	"0"	"4"	"4"	"6"	"33"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"2"	"0"	"251"	"251"	"1"	"0"
"5237"	"4"	"3"	"1"	"2"	"380"	"59"	"4"	"4"	"3"	"36"	"1"	"0"	"1"	"28"	"9"	"4"	"40"	"1"	"5"	"3"	"0"	"1"	"1"	"41"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"18"	"0"	"0"	"261"	"260"	"0"	"0"
"5238"	"4"	"3"	"1"	"2"	"380"	"55"	"1"	"5"	"1"	"32"	"0"	"1"	"6"	"28"	"10"	"1"	"22"	"1"	"0"	"1"	"1"	"2"	"2"	"24"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"28"	"9"	"0"	"233"	"233"	"1"	"0"
"5239"	"4"	"3"	"1"	"2"	"372"	"64"	"2"	"5"	"1"	"18"	"0"	"2"	"1"	"24"	"11"	"2"	"28"	"1"	"8"	"1"	"1"	"2"	"2"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"13"	"2"	"0"	"216"	"216"	"1"	"0"
"5240"	"4"	"3"	"1"	"2"	"371"	"60"	"4"	"0"	"0"	"29"	"1"	"2"	"1"	"33"	"12"	"1"	"33"	"3"	"4"	"3"	"1"	"1"	"1"	"29"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"5"	"3"	"0"	"232"	"232"	"1"	"0"
"5241"	"4"	"3"	"1"	"2"	"396"	"25"	"8"	"3"	"1"	"19"	"7"	"14"	"0"	"43"	"18"	"5"	"32"	"9"	"7"	"2"	"7"	"2"	"2"	"8"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"20"	"5"	"0"	"248"	"248"	"1"	"0"
"5242"	"4"	"3"	"1"	"2"	"400"	"39"	"5"	"5"	"1"	"15"	"6"	"6"	"1"	"46"	"33"	"8"	"35"	"7"	"5"	"2"	"3"	"1"	"5"	"9"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"11"	"8"	"0"	"259"	"259"	"1"	"0"
"5243"	"4"	"3"	"1"	"2"	"398"	"39"	"12"	"6"	"0"	"16"	"2"	"4"	"2"	"60"	"26"	"4"	"35"	"3"	"7"	"3"	"5"	"2"	"3"	"15"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"8"	"6"	"0"	"262"	"262"	"1"	"0"
"5244"	"4"	"3"	"1"	"2"	"396"	"41"	"4"	"1"	"1"	"18"	"6"	"5"	"3"	"56"	"22"	"11"	"48"	"12"	"8"	"0"	"8"	"2"	"5"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"4"	"0"	"271"	"271"	"1"	"0"
