"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"FUERZA"	"MAS_UNIDOS"	"EG"	"CREO"	"VAMOS"	"PODEMOS"	"PPT"	"BIEN"	"PHG"	"LIBRE"	"FCN_NACION"	"AVANZA"	"UNE"	"MLP"	"PC"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5345"	"4"	"3"	"3"	"2"	"400"	"4"	"18"	"41"	"30"	"28"	"15"	"16"	"8"	"8"	"7"	"5"	"2"	"3"	"9"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"6"	"6"	"0"	"220"	"220"	"1"	"0"
"5346"	"4"	"3"	"3"	"2"	"401"	"3"	"22"	"38"	"36"	"31"	"10"	"15"	"13"	"6"	"5"	"10"	"0"	"0"	"6"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"7"	"2"	"0"	"220"	"220"	"1"	"0"
"5347"	"4"	"3"	"3"	"2"	"400"	"6"	"32"	"53"	"38"	"32"	"17"	"18"	"13"	"12"	"10"	"11"	"4"	"2"	"14"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"2"	"1"	"0"	"283"	"283"	"1"	"0"
"5348"	"4"	"3"	"3"	"2"	"402"	"3"	"29"	"49"	"48"	"25"	"12"	"16"	"16"	"19"	"15"	"8"	"2"	"3"	"6"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"2"	"1"	"0"	"273"	"273"	"1"	"0"
"5349"	"4"	"3"	"3"	"2"	"400"	"5"	"16"	"44"	"62"	"39"	"9"	"7"	"18"	"9"	"15"	"10"	"3"	"2"	"10"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"1"	"0"	"0"	"266"	"266"	"1"	"0"
"5350"	"4"	"3"	"3"	"2"	"225"	"5"	"10"	"25"	"23"	"22"	"9"	"9"	"8"	"3"	"9"	"3"	"0"	"0"	"4"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"5"	"2"	"0"	"145"	"145"	"1"	"0"
"5351"	"4"	"3"	"3"	"2"	"227"	"2"	"7"	"12"	"23"	"19"	"5"	"10"	"11"	"1"	"5"	"5"	"1"	"2"	"3"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"3"	"0"	"0"	"116"	"116"	"1"	"0"
"5352"	"4"	"3"	"3"	"2"	"380"	"2"	"7"	"26"	"57"	"10"	"27"	"9"	"12"	"2"	"5"	"13"	"4"	"5"	"27"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"14"	"13"	"0"	"239"	"239"	"1"	"0"
"5353"	"4"	"3"	"3"	"2"	"383"	"2"	"4"	"18"	"58"	"19"	"25"	"3"	"7"	"8"	"3"	"8"	"2"	"1"	"39"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"13"	"7"	"0"	"238"	"238"	"1"	"0"
"5354"	"4"	"3"	"3"	"2"	"385"	"2"	"6"	"22"	"51"	"21"	"19"	"5"	"5"	"5"	"2"	"7"	"5"	"5"	"39"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"19"	"7"	"0"	"232"	"232"	"1"	"0"
