"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"WINAQ"	"FUERZA"	"UNIDOS"	"PPT"	"TODOS"	"VALOR"	"UCN"	"PC"	"UNIONISTA"	"FCN_NACION"	"UNE"	"URNG_MAIZ"	"PODEMOS"	"VICTORIA"	"PHG"	"SEMILLA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7108"	"4"	"5"	"11"	"2"	"396"	"97"	"1"	"4"	"0"	"4"	"0"	"2"	"2"	"64"	"2"	"1"	"149"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"13"	"7"	"1"	"350"	"350"	"1"	"0"
"7109"	"4"	"5"	"11"	"2"	"354"	"54"	"1"	"7"	"0"	"0"	"1"	"2"	"0"	"53"	"0"	"0"	"155"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"7"	"0"	"300"	"300"	"1"	"0"
"7110"	"4"	"5"	"11"	"2"	"354"	"57"	"1"	"4"	"0"	"2"	"1"	"1"	"0"	"57"	"2"	"1"	"129"	"0"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"10"	"0"	"285"	"285"	"1"	"0"
"7111"	"4"	"5"	"11"	"2"	"0"	"58"	"5"	"1"	"1"	"3"	"2"	"2"	"2"	"97"	"2"	"0"	"48"	"1"	"0"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"9"	"2"	"0"	"243"	"243"	"1"	"0"
"7112"	"4"	"5"	"11"	"2"	"0"	"65"	"6"	"1"	"1"	"3"	"1"	"1"	"3"	"96"	"2"	"3"	"46"	"1"	"1"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"13"	"7"	"0"	"260"	"260"	"1"	"0"
"7113"	"4"	"5"	"11"	"2"	"379"	"58"	"6"	"1"	"1"	"2"	"3"	"2"	"0"	"108"	"2"	"2"	"39"	"0"	"1"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"11"	"1"	"0"	"246"	"246"	"1"	"0"
"7114"	"4"	"5"	"11"	"2"	"375"	"74"	"10"	"0"	"2"	"5"	"4"	"0"	"2"	"104"	"1"	"2"	"31"	"2"	"1"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"4"	"2"	"0"	"251"	"251"	"1"	"0"
"7115"	"4"	"5"	"11"	"2"	"0"	"60"	"7"	"4"	"1"	"7"	"1"	"1"	"3"	"45"	"4"	"20"	"100"	"1"	"0"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"26"	"7"	"0"	"296"	"296"	"1"	"0"
"7116"	"4"	"5"	"11"	"2"	"400"	"61"	"6"	"5"	"4"	"13"	"4"	"0"	"1"	"37"	"1"	"16"	"101"	"4"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"11"	"8"	"0"	"278"	"278"	"1"	"0"
"7117"	"4"	"5"	"11"	"2"	"396"	"64"	"3"	"5"	"1"	"6"	"1"	"0"	"3"	"60"	"0"	"14"	"91"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"22"	"10"	"0"	"285"	"285"	"1"	"0"
"7118"	"4"	"5"	"11"	"2"	"232"	"36"	"2"	"2"	"0"	"4"	"0"	"2"	"0"	"34"	"0"	"11"	"47"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"9"	"5"	"0"	"155"	"155"	"1"	"0"
"7119"	"4"	"5"	"11"	"2"	"0"	"34"	"4"	"0"	"2"	"15"	"2"	"0"	"3"	"27"	"0"	"6"	"43"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"6"	"2"	"0"	"147"	"147"	"1"	"0"
"7120"	"4"	"5"	"11"	"2"	"600"	"133"	"13"	"8"	"5"	"9"	"2"	"4"	"2"	"96"	"1"	"0"	"83"	"7"	"1"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"370"	"370"	"9"	"7"	"0"	"386"	"386"	"1"	"0"
"7121"	"4"	"5"	"11"	"2"	"600"	"130"	"12"	"5"	"5"	"6"	"6"	"4"	"0"	"82"	"2"	"2"	"74"	"1"	"1"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"343"	"342"	"19"	"8"	"0"	"369"	"369"	"0"	"0"
"7122"	"4"	"5"	"11"	"2"	"457"	"99"	"8"	"6"	"1"	"4"	"1"	"2"	"1"	"68"	"1"	"1"	"59"	"5"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"15"	"7"	"0"	"283"	"283"	"1"	"0"
"7123"	"4"	"5"	"11"	"2"	"452"	"77"	"8"	"4"	"4"	"7"	"2"	"0"	"3"	"53"	"1"	"1"	"43"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"8"	"8"	"0"	"226"	"226"	"1"	"0"
