"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"VIVA"	"VAMOS"	"TODOS"	"FUERZA"	"EG"	"PHG"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15338"	"4"	"14"	"14"	"2"	"276"	"45"	"3"	"43"	"46"	"0"	"19"	"1"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"10"	"10"	"20"	"191"	"191"	"1"	"0"
"15339"	"4"	"14"	"14"	"2"	"276"	"50"	"5"	"46"	"47"	"0"	"13"	"0"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"7"	"13"	"0"	"192"	"192"	"1"	"0"
"15340"	"4"	"14"	"14"	"2"	"380"	"47"	"47"	"33"	"31"	"2"	"38"	"2"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"19"	"15"	"0"	"286"	"286"	"1"	"0"
"15341"	"4"	"14"	"14"	"2"	"377"	"76"	"44"	"28"	"44"	"1"	"24"	"0"	"52"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"25"	"10"	"0"	"308"	"308"	"1"	"0"
"15342"	"4"	"14"	"14"	"2"	"380"	"50"	"92"	"17"	"39"	"0"	"16"	"2"	"69"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"19"	"14"	"0"	"324"	"324"	"1"	"0"
"15343"	"4"	"14"	"14"	"2"	"380"	"39"	"56"	"22"	"40"	"3"	"24"	"1"	"45"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"14"	"14"	"0"	"260"	"260"	"1"	"0"
"15344"	"4"	"14"	"14"	"2"	"220"	"31"	"28"	"23"	"26"	"2"	"18"	"1"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"7"	"6"	"4"	"166"	"166"	"1"	"0"
"15345"	"4"	"14"	"14"	"2"	"216"	"26"	"33"	"15"	"21"	"2"	"17"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"6"	"4"	"0"	"154"	"154"	"1"	"0"
"15346"	"4"	"14"	"14"	"2"	"400"	"94"	"36"	"15"	"83"	"1"	"43"	"1"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"19"	"21"	"0"	"324"	"324"	"1"	"0"
"15347"	"4"	"14"	"14"	"2"	"356"	"98"	"26"	"7"	"107"	"0"	"19"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"18"	"16"	"0"	"302"	"302"	"1"	"0"
"15348"	"4"	"14"	"14"	"2"	"351"	"91"	"19"	"6"	"121"	"0"	"30"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"10"	"0"	"291"	"291"	"1"	"0"
"15349"	"4"	"14"	"14"	"2"	"314"	"28"	"9"	"33"	"33"	"0"	"17"	"1"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"18"	"12"	"0"	"161"	"161"	"1"	"0"
"15350"	"4"	"14"	"14"	"2"	"313"	"24"	"7"	"34"	"28"	"1"	"9"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"9"	"7"	"0"	"124"	"124"	"1"	"0"
