"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"FCN_NACION"	"VAMOS"	"PC"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20898"	"4"	"22"	"14"	"2"	"380"	"19"	"61"	"103"	"2"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"17"	"0"	"0"	"253"	"253"	"1"	"0"
"20899"	"4"	"22"	"14"	"2"	"380"	"10"	"59"	"131"	"3"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"6"	"2"	"6"	"278"	"278"	"1"	"0"
"20900"	"4"	"22"	"14"	"2"	"380"	"17"	"63"	"118"	"4"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"1"	"0"	"270"	"270"	"1"	"1"
"20901"	"4"	"22"	"14"	"2"	"380"	"6"	"50"	"94"	"3"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"20"	"9"	"0"	"224"	"224"	"1"	"0"
"20902"	"4"	"22"	"14"	"2"	"377"	"10"	"52"	"98"	"5"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"30"	"5"	"0"	"240"	"240"	"1"	"0"
"20903"	"4"	"22"	"14"	"2"	"349"	"11"	"46"	"96"	"2"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"12"	"5"	"0"	"217"	"217"	"1"	"1"
"20904"	"4"	"22"	"14"	"2"	"346"	"10"	"58"	"84"	"5"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"5"	"2"	"0"	"217"	"217"	"1"	"0"
"20905"	"4"	"22"	"14"	"2"	"624"	"7"	"38"	"48"	"9"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"14"	"3"	"0"	"155"	"155"	"1"	"1"
"20906"	"4"	"22"	"14"	"2"	"603"	"4"	"24"	"36"	"8"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"11"	"4"	"4"	"122"	"122"	"1"	"0"
"20907"	"4"	"22"	"14"	"2"	"518"	"4"	"20"	"27"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"77"	"77"	"4"	"4"	"0"	"85"	"85"	"1"	"0"
"20908"	"4"	"22"	"14"	"2"	"505"	"2"	"12"	"12"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"44"	"44"	"9"	"1"	"1"	"54"	"54"	"1"	"2"
