"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"VIVA"	"BIEN"	"MLP"	"UNIDOS"	"UCN"	"VALOR"	"PHG"	"EG"	"PC"	"TODOS"	"SEMILLA"	"CONVERGENCIA"	"LIBRE"	"FCN_NACION"	"UNE"	"VICTORIA"	"URNG_MAIZ"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15246"	"4"	"14"	"13"	"2"	"400"	"2"	"16"	"38"	"6"	"1"	"0"	"1"	"26"	"0"	"87"	"2"	"1"	"2"	"1"	"3"	"73"	"1"	"0"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"9"	"17"	"0"	"336"	"336"	"1"	"0"
"15247"	"4"	"14"	"13"	"2"	"400"	"0"	"12"	"27"	"3"	"0"	"0"	"1"	"37"	"3"	"83"	"0"	"0"	"2"	"0"	"0"	"93"	"0"	"1"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"13"	"8"	"0"	"327"	"327"	"1"	"0"
"15248"	"4"	"14"	"13"	"2"	"400"	"1"	"15"	"44"	"6"	"1"	"3"	"3"	"19"	"0"	"83"	"1"	"0"	"2"	"0"	"0"	"61"	"2"	"0"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"5"	"29"	"0"	"312"	"312"	"1"	"0"
"15249"	"4"	"14"	"13"	"2"	"400"	"2"	"13"	"27"	"1"	"1"	"2"	"1"	"35"	"0"	"113"	"3"	"1"	"4"	"0"	"0"	"50"	"1"	"6"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"12"	"18"	"0"	"328"	"328"	"1"	"0"
"15250"	"4"	"14"	"13"	"2"	"400"	"0"	"21"	"27"	"2"	"1"	"0"	"2"	"23"	"0"	"68"	"2"	"1"	"6"	"0"	"1"	"74"	"1"	"5"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"12"	"20"	"0"	"304"	"304"	"1"	"0"
"15251"	"4"	"14"	"13"	"2"	"400"	"0"	"22"	"32"	"4"	"0"	"0"	"0"	"25"	"0"	"58"	"0"	"0"	"3"	"1"	"0"	"56"	"2"	"3"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"1"	"5"	"0"	"252"	"252"	"1"	"0"
"15252"	"4"	"14"	"13"	"2"	"400"	"0"	"13"	"29"	"4"	"1"	"0"	"0"	"31"	"0"	"68"	"1"	"1"	"2"	"0"	"1"	"54"	"3"	"3"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"17"	"8"	"0"	"275"	"275"	"1"	"0"
"15253"	"4"	"14"	"13"	"2"	"400"	"0"	"13"	"34"	"6"	"0"	"0"	"4"	"27"	"0"	"72"	"1"	"1"	"5"	"0"	"1"	"46"	"1"	"5"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"4"	"9"	"0"	"270"	"270"	"1"	"0"
"15254"	"4"	"14"	"13"	"2"	"400"	"0"	"24"	"23"	"1"	"1"	"0"	"2"	"33"	"0"	"55"	"1"	"0"	"0"	"1"	"1"	"63"	"1"	"5"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"12"	"0"	"271"	"271"	"1"	"0"
"15255"	"4"	"14"	"13"	"2"	"282"	"0"	"14"	"22"	"1"	"2"	"0"	"0"	"19"	"0"	"41"	"0"	"0"	"0"	"0"	"1"	"29"	"1"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"5"	"9"	"0"	"169"	"169"	"1"	"0"
"15256"	"4"	"14"	"13"	"2"	"281"	"1"	"11"	"15"	"2"	"2"	"1"	"0"	"24"	"0"	"49"	"1"	"2"	"3"	"0"	"0"	"36"	"1"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"1"	"3"	"0"	"172"	"172"	"1"	"0"
"15257"	"4"	"14"	"13"	"2"	"376"	"0"	"7"	"38"	"1"	"0"	"1"	"7"	"47"	"1"	"63"	"0"	"0"	"4"	"0"	"1"	"77"	"2"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"21"	"0"	"295"	"295"	"1"	"0"
"15258"	"4"	"14"	"13"	"2"	"376"	"3"	"8"	"28"	"2"	"0"	"1"	"3"	"39"	"0"	"61"	"0"	"1"	"1"	"0"	"1"	"74"	"0"	"11"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"13"	"16"	"0"	"285"	"285"	"1"	"0"
"15259"	"4"	"14"	"13"	"2"	"380"	"3"	"12"	"31"	"2"	"0"	"2"	"2"	"36"	"2"	"84"	"1"	"1"	"5"	"3"	"3"	"76"	"0"	"7"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"9"	"18"	"0"	"324"	"324"	"1"	"0"
"15260"	"4"	"14"	"13"	"2"	"380"	"3"	"19"	"24"	"5"	"0"	"2"	"8"	"38"	"0"	"94"	"2"	"2"	"2"	"1"	"4"	"62"	"0"	"6"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"8"	"19"	"0"	"321"	"321"	"1"	"0"
"15261"	"4"	"14"	"13"	"2"	"376"	"3"	"10"	"35"	"1"	"1"	"0"	"13"	"42"	"0"	"44"	"2"	"0"	"2"	"0"	"2"	"80"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"5"	"0"	"263"	"263"	"1"	"0"
"15262"	"4"	"14"	"13"	"2"	"380"	"0"	"11"	"47"	"2"	"1"	"3"	"2"	"39"	"0"	"53"	"2"	"1"	"4"	"0"	"2"	"57"	"0"	"10"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"7"	"0"	"265"	"265"	"1"	"0"
"15263"	"4"	"14"	"13"	"2"	"209"	"0"	"5"	"18"	"1"	"0"	"2"	"3"	"21"	"0"	"27"	"0"	"1"	"0"	"1"	"2"	"26"	"0"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"22"	"5"	"0"	"145"	"145"	"1"	"0"
"15264"	"4"	"14"	"13"	"2"	"209"	"2"	"3"	"20"	"1"	"1"	"0"	"3"	"28"	"0"	"38"	"0"	"0"	"0"	"0"	"1"	"36"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"4"	"3"	"0"	"158"	"158"	"1"	"0"
"15265"	"4"	"14"	"13"	"2"	"380"	"0"	"13"	"33"	"12"	"0"	"4"	"2"	"6"	"0"	"108"	"0"	"1"	"2"	"0"	"1"	"29"	"1"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"9"	"24"	"0"	"288"	"288"	"1"	"0"
"15266"	"4"	"14"	"13"	"2"	"379"	"0"	"7"	"59"	"15"	"1"	"2"	"1"	"12"	"0"	"62"	"0"	"1"	"3"	"1"	"0"	"38"	"0"	"2"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"18"	"0"	"274"	"274"	"1"	"0"
"15267"	"4"	"14"	"13"	"2"	"377"	"1"	"10"	"25"	"7"	"0"	"5"	"3"	"8"	"1"	"94"	"2"	"1"	"11"	"0"	"0"	"28"	"0"	"3"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"7"	"18"	"0"	"308"	"308"	"1"	"0"
"15268"	"4"	"14"	"13"	"2"	"375"	"0"	"9"	"37"	"18"	"0"	"1"	"2"	"13"	"0"	"73"	"0"	"1"	"4"	"0"	"0"	"20"	"0"	"2"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"14"	"0"	"271"	"271"	"1"	"0"
"15269"	"4"	"14"	"13"	"2"	"300"	"0"	"7"	"18"	"7"	"0"	"0"	"2"	"9"	"1"	"69"	"0"	"0"	"2"	"0"	"0"	"19"	"0"	"3"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"9"	"9"	"0"	"208"	"208"	"1"	"0"
"15270"	"4"	"14"	"13"	"2"	"300"	"0"	"7"	"22"	"8"	"0"	"1"	"0"	"10"	"0"	"79"	"1"	"0"	"0"	"0"	"0"	"28"	"0"	"0"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"3"	"9"	"0"	"230"	"230"	"1"	"0"
"15271"	"4"	"14"	"13"	"2"	"380"	"0"	"22"	"36"	"4"	"1"	"1"	"2"	"45"	"2"	"38"	"1"	"1"	"1"	"0"	"1"	"63"	"1"	"6"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"11"	"17"	"0"	"278"	"278"	"1"	"0"
"15272"	"4"	"14"	"13"	"2"	"380"	"2"	"23"	"22"	"5"	"1"	"0"	"4"	"53"	"0"	"43"	"3"	"0"	"3"	"1"	"1"	"58"	"1"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"21"	"19"	"0"	"281"	"281"	"1"	"0"
"15273"	"4"	"14"	"13"	"2"	"376"	"0"	"40"	"30"	"6"	"1"	"1"	"1"	"28"	"3"	"67"	"3"	"1"	"2"	"0"	"1"	"63"	"1"	"4"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"11"	"9"	"0"	"301"	"301"	"1"	"0"
"15274"	"4"	"14"	"13"	"2"	"380"	"0"	"27"	"29"	"6"	"0"	"4"	"1"	"42"	"2"	"83"	"1"	"0"	"4"	"0"	"1"	"58"	"1"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"15"	"0"	"301"	"301"	"1"	"0"
"15275"	"4"	"14"	"13"	"2"	"376"	"1"	"31"	"32"	"2"	"1"	"1"	"1"	"43"	"0"	"63"	"0"	"0"	"1"	"0"	"1"	"54"	"2"	"3"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"2"	"3"	"0"	"265"	"265"	"1"	"0"
"15276"	"4"	"14"	"13"	"2"	"380"	"0"	"34"	"27"	"6"	"0"	"1"	"4"	"43"	"2"	"37"	"0"	"0"	"2"	"0"	"1"	"41"	"2"	"11"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"9"	"0"	"249"	"249"	"1"	"0"
"15277"	"4"	"14"	"13"	"2"	"300"	"1"	"21"	"25"	"5"	"0"	"1"	"4"	"30"	"1"	"38"	"1"	"0"	"2"	"0"	"1"	"33"	"0"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"6"	"7"	"0"	"188"	"188"	"1"	"0"
"15278"	"4"	"14"	"13"	"2"	"300"	"1"	"30"	"24"	"5"	"0"	"2"	"4"	"37"	"0"	"37"	"1"	"3"	"1"	"0"	"1"	"40"	"0"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"3"	"0"	"0"	"208"	"208"	"1"	"0"
"15279"	"4"	"14"	"13"	"2"	"376"	"1"	"3"	"51"	"1"	"1"	"2"	"1"	"12"	"1"	"54"	"0"	"0"	"4"	"0"	"2"	"100"	"0"	"6"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"22"	"0"	"289"	"289"	"1"	"0"
