"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"PC"	"VIVA"	"VAMOS"	"LIBRE"	"SEMILLA"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14609"	"4"	"14"	"2"	"2"	"400"	"41"	"20"	"3"	"42"	"46"	"69"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"14"	"11"	"0"	"252"	"252"	"1"	"0"
"14610"	"4"	"14"	"2"	"2"	"400"	"70"	"13"	"8"	"23"	"39"	"77"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"10"	"9"	"0"	"254"	"254"	"1"	"0"
"14611"	"4"	"14"	"2"	"2"	"400"	"65"	"18"	"11"	"41"	"15"	"72"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"14"	"11"	"0"	"253"	"253"	"1"	"0"
"14612"	"4"	"14"	"2"	"2"	"400"	"49"	"19"	"8"	"43"	"19"	"84"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"19"	"8"	"0"	"257"	"257"	"1"	"0"
"14613"	"4"	"14"	"2"	"2"	"400"	"48"	"15"	"7"	"30"	"26"	"86"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"7"	"4"	"0"	"227"	"227"	"1"	"0"
"14614"	"4"	"14"	"2"	"2"	"295"	"38"	"9"	"2"	"33"	"18"	"63"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"3"	"1"	"0"	"169"	"169"	"1"	"0"
"14615"	"4"	"14"	"2"	"2"	"291"	"34"	"17"	"4"	"38"	"14"	"69"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"1"	"3"	"0"	"182"	"182"	"1"	"0"
"14616"	"4"	"14"	"2"	"2"	"380"	"61"	"6"	"3"	"103"	"19"	"45"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"24"	"11"	"0"	"275"	"275"	"1"	"0"
"14617"	"4"	"14"	"2"	"2"	"400"	"89"	"12"	"4"	"51"	"12"	"75"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"7"	"0"	"266"	"266"	"1"	"0"
"14618"	"4"	"14"	"2"	"2"	"380"	"71"	"8"	"1"	"67"	"28"	"69"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"21"	"15"	"0"	"282"	"282"	"1"	"0"
