"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"FUERZA"	"UNE"	"UCN"	"TODOS"	"WINAQ"	"VIVA"	"VAMOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13733"	"4"	"13"	"13"	"2"	"331"	"0"	"17"	"30"	"16"	"6"	"36"	"86"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"2"	"8"	"0"	"201"	"201"	"1"	"0"
"13734"	"4"	"13"	"13"	"2"	"380"	"5"	"52"	"47"	"83"	"16"	"25"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"6"	"0"	"264"	"264"	"1"	"0"
"13735"	"4"	"13"	"13"	"2"	"380"	"2"	"70"	"40"	"54"	"17"	"53"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"4"	"6"	"0"	"260"	"260"	"1"	"0"
"13736"	"4"	"13"	"13"	"2"	"380"	"0"	"48"	"56"	"58"	"21"	"30"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"5"	"2"	"0"	"243"	"243"	"1"	"0"
"13737"	"4"	"13"	"13"	"2"	"380"	"5"	"63"	"57"	"35"	"12"	"28"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"8"	"7"	"0"	"238"	"238"	"1"	"0"
"13738"	"4"	"13"	"13"	"2"	"380"	"8"	"47"	"55"	"42"	"12"	"23"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"6"	"0"	"238"	"238"	"1"	"0"
"13739"	"4"	"13"	"13"	"2"	"380"	"1"	"42"	"55"	"47"	"14"	"36"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"6"	"11"	"0"	"231"	"231"	"1"	"0"
"13740"	"4"	"13"	"13"	"2"	"380"	"4"	"79"	"46"	"41"	"15"	"21"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"4"	"10"	"0"	"248"	"248"	"1"	"0"
"13741"	"4"	"13"	"13"	"2"	"380"	"6"	"50"	"36"	"76"	"23"	"30"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"8"	"15"	"0"	"263"	"263"	"1"	"0"
"13742"	"4"	"13"	"13"	"2"	"380"	"0"	"56"	"56"	"37"	"16"	"24"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"4"	"2"	"0"	"227"	"227"	"1"	"0"
"13743"	"4"	"13"	"13"	"2"	"196"	"1"	"33"	"22"	"27"	"13"	"21"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"1"	"2"	"0"	"144"	"144"	"1"	"0"
"13744"	"4"	"13"	"13"	"2"	"196"	"3"	"19"	"24"	"13"	"10"	"15"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"2"	"2"	"0"	"108"	"108"	"1"	"0"
"13745"	"4"	"13"	"13"	"2"	"380"	"7"	"13"	"66"	"63"	"58"	"47"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"11"	"0"	"284"	"284"	"1"	"0"
"13746"	"4"	"13"	"13"	"2"	"380"	"4"	"20"	"60"	"53"	"70"	"63"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"3"	"6"	"0"	"285"	"285"	"1"	"0"
"13747"	"4"	"13"	"13"	"2"	"380"	"10"	"10"	"61"	"52"	"58"	"51"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"1"	"2"	"0"	"252"	"252"	"1"	"0"
"13748"	"4"	"13"	"13"	"2"	"350"	"6"	"12"	"50"	"47"	"46"	"49"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"4"	"5"	"0"	"231"	"231"	"1"	"0"
"13749"	"4"	"13"	"13"	"2"	"350"	"2"	"14"	"63"	"43"	"69"	"58"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"0"	"4"	"0"	"257"	"257"	"1"	"0"
"13750"	"4"	"13"	"13"	"2"	"511"	"1"	"9"	"8"	"13"	"6"	"15"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"59"	"59"	"1"	"5"	"1"	"65"	"65"	"1"	"0"
