"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FCN_NACION"	"UCN"	"TODOS"	"PAN"	"SEMILLA"	"PC"	"VALOR"	"UNE"	"BIEN"	"PHG"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14364"	"4"	"13"	"27"	"2"	"376"	"1"	"96"	"6"	"6"	"1"	"10"	"0"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"7"	"3"	"0"	"146"	"146"	"1"	"0"
"14365"	"4"	"13"	"27"	"2"	"376"	"0"	"103"	"7"	"2"	"2"	"3"	"0"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"8"	"5"	"0"	"146"	"146"	"1"	"0"
"14366"	"4"	"13"	"27"	"2"	"375"	"1"	"121"	"8"	"1"	"3"	"4"	"0"	"1"	"18"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"6"	"5"	"0"	"170"	"170"	"1"	"0"
"14367"	"4"	"13"	"27"	"2"	"374"	"8"	"53"	"6"	"4"	"5"	"16"	"0"	"23"	"38"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"12"	"16"	"0"	"192"	"192"	"1"	"0"
"14368"	"4"	"13"	"27"	"2"	"376"	"6"	"55"	"21"	"6"	"4"	"27"	"2"	"13"	"28"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"15"	"14"	"0"	"194"	"194"	"1"	"0"
"14369"	"4"	"13"	"27"	"2"	"380"	"6"	"93"	"22"	"6"	"3"	"12"	"0"	"13"	"21"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"16"	"10"	"0"	"207"	"207"	"1"	"0"
"14370"	"4"	"13"	"27"	"2"	"350"	"6"	"49"	"8"	"2"	"3"	"14"	"0"	"13"	"24"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"6"	"3"	"0"	"135"	"135"	"1"	"0"
"14371"	"4"	"13"	"27"	"2"	"350"	"7"	"53"	"10"	"8"	"5"	"23"	"1"	"17"	"21"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"3"	"8"	"0"	"162"	"162"	"1"	"0"
"14372"	"4"	"13"	"27"	"2"	"374"	"6"	"29"	"24"	"4"	"17"	"21"	"2"	"1"	"32"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"25"	"9"	"0"	"172"	"172"	"1"	"0"
"14373"	"4"	"13"	"27"	"2"	"376"	"8"	"30"	"21"	"7"	"21"	"23"	"0"	"4"	"40"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"19"	"9"	"0"	"184"	"184"	"1"	"0"
"14374"	"4"	"13"	"27"	"2"	"272"	"2"	"10"	"16"	"3"	"13"	"14"	"1"	"2"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"4"	"1"	"0"	"81"	"81"	"1"	"0"
"14375"	"4"	"13"	"27"	"2"	"273"	"5"	"8"	"8"	"6"	"14"	"12"	"0"	"2"	"20"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"78"	"78"	"6"	"2"	"0"	"86"	"86"	"1"	"0"
"14376"	"4"	"13"	"27"	"2"	"380"	"5"	"55"	"24"	"8"	"9"	"8"	"0"	"6"	"39"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"26"	"4"	"0"	"188"	"188"	"1"	"0"
"14377"	"4"	"13"	"27"	"2"	"376"	"8"	"67"	"31"	"0"	"4"	"12"	"1"	"5"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"22"	"7"	"0"	"190"	"190"	"1"	"0"
"14378"	"4"	"13"	"27"	"2"	"375"	"10"	"63"	"42"	"8"	"9"	"7"	"1"	"9"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"14"	"9"	"0"	"206"	"206"	"1"	"0"
